Uniprot_arabadopsis	Uniprot_cerevisiae	AlphaFold_arabadopsis	AlphaFold_cerevisiae	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q9SL42	P22696	AF-Q9SL42-F1-model_v3	AF-P22696-F1-model_v3	6.1e-31	106.3	0.00e+00	286.59	2.606E-15	584	platinum
Q9SL48	P22213	AF-Q9SL48-F1-model_v3	AF-P22213-F1-model_v3	2.3e-111	347.1	0.00e+00	1357.97	2.910E-47	2195	platinum
Q9SL76	P07278	AF-Q9SL76-F1-model_v3	AF-P07278-F1-model_v3	4.3e-29	119.4	NA	NA	NA	NA	silver
Q9SL92	P48445	AF-Q9SL92-F1-model_v3	AF-P48445-F1-model_v3	4.7e-24	101.7	7.99e-09	621.07	3.500E-21	881	platinum
Q9SLN0	P40350	AF-Q9SLN0-F1-model_v3	AF-P40350-F1-model_v3	8.7e-53	175.3	0.00e+00	758.38	4.935E-28	1149	platinum
Q9SLN5	Q01662	AF-Q9SLN5-F1-model_v3	AF-Q01662-F1-model_v3	1.9e-131	380.9	0.00e+00	943.19	2.913E-51	2070	platinum
Q9SMT7	P38137	AF-Q9SMT7-F1-model_v3	AF-P38137-F1-model_v3	3.4e-129	385.2	0.00e+00	1309.81	3.508E-65	2584	platinum
Q9SMZ4	P38999	AF-Q9SMZ4-F1-model_v3	AF-P38999-F1-model_v3	7.1e-75	252.7	0.00e+00	1131.70	3.215E-42	2049	platinum
Q9SN90	P38989	AF-Q9SN90-F1-model_v3	AF-P38989-F1-model_v3	2.2e-211	640.6	0.00e+00	3161.50	1.839E-100	4349	platinum
Q9SP08	P46948	AF-Q9SP08-F1-model_v3	AF-P46948-F1-model_v3	1.0e-43	146.0	0.00e+00	652.88	2.739E-27	1131	platinum
Q9SPM5	P32621	AF-Q9SPM5-F1-model_v3	AF-P32621-F1-model_v3	6.6e-40	148.7	1.20e-12	883.32	8.358E-35	1518	platinum
Q9SPU7	Q06163	AF-Q9SPU7-F1-model_v3	AF-Q06163-F1-model_v3	6.0e-18	87.4	8.68e-14	1563.21	1.312E-30	1799	platinum
Q9SR06	Q08685	AF-Q9SR06-F1-model_v3	AF-Q08685-F1-model_v3	3.6e-42	152.9	0.00e+00	917.51	4.498E-40	1657	platinum
Q9SR15	Q12109	AF-Q9SR15-F1-model_v3	AF-Q12109-F1-model_v3	3.8e-143	412.5	0.00e+00	1111.81	1.311E-50	2246	platinum
Q9SR71	Q03761	AF-Q9SR71-F1-model_v3	AF-Q03761-F1-model_v3	3.8e-24	104.0	NA	NA	NA	NA	silver
Q9SRP6	P53722	AF-Q9SRP6-F1-model_v3	AF-P53722-F1-model_v3	4.7e-32	113.6	2.22e-16	439.73	5.858E-13	661	platinum
Q9SRY6	P29547	AF-Q9SRY6-F1-model_v3	AF-P29547-F1-model_v3	3.2e-08	51.6	NA	NA	NA	NA	silver
Q9SS48	P32191	AF-Q9SS48-F1-model_v3	AF-P32191-F1-model_v3	2.5e-138	416.4	0.00e+00	1518.15	1.102E-57	2724	platinum
Q9SS94	Q07844	AF-Q9SS94-F1-model_v3	AF-Q07844-F1-model_v3	9.6e-162	489.6	3.33e-15	1699.07	8.032E-65	2966	platinum
Q9SSB5	P33299	AF-Q9SSB5-F1-model_v3	AF-P33299-F1-model_v3	9.7e-231	637.1	0.00e+00	1192.31	6.215E-72	2846	platinum
Q9STG6	P33317	AF-Q9STG6-F1-model_v3	AF-P33317-F1-model_v3	9.0e-51	157.9	0.00e+00	416.68	1.543E-19	871	platinum
Q9STS3	P16522	AF-Q9STS3-F1-model_v3	AF-P16522-F1-model_v3	2.1e-45	167.9	0.00e+00	1335.41	7.163E-29	1777	platinum
Q9STT2	P38759	AF-Q9STT2-F1-model_v3	AF-P38759-F1-model_v3	1.1e-30	111.3	4.36e-12	407.48	1.414E-21	910	platinum
Q9STY7	Q05016	AF-Q9STY7-F1-model_v3	AF-Q05016-F1-model_v3	7.1e-24	96.3	NA	NA	NA	NA	silver
Q9SU27	P36039	AF-Q9SU27-F1-model_v3	AF-P36039-F1-model_v3	1.2e-38	133.3	0.00e+00	523.13	2.539E-13	620	platinum
Q9SU29	P39940	AF-Q9SU29-F1-model_v3	AF-P39940-F1-model_v3	3.1e-54	200.3	NA	NA	NA	NA	silver
Q9SU83	P25353	AF-Q9SU83-F1-model_v3	AF-P25353-F1-model_v3	5.9e-44	163.3	1.26e-11	885.65	2.083E-34	1360	platinum
Q9SU94	P38074	AF-Q9SU94-F1-model_v3	AF-P38074-F1-model_v3	7.0e-120	349.7	0.00e+00	910.54	3.211E-49	1951	platinum
Q9SUJ6	P38987	AF-Q9SUJ6-F1-model_v3	AF-P38987-F1-model_v3	2.2e-42	144.1	1.11e-16	549.71	6.668E-22	892	platinum
Q9SV06	P38260	AF-Q9SV06-F1-model_v3	AF-P38260-F1-model_v3	7.5e-09	54.3	NA	NA	2.816E-10	640	gold
Q9SV12	P38889	AF-Q9SV12-F1-model_v3	AF-P38889-F1-model_v3	4.0e-19	84.7	NA	NA	NA	NA	silver
Q9SVN5	P00958	AF-Q9SVN5-F1-model_v3	AF-P00958-F1-model_v3	8.7e-216	624.8	0.00e+00	1586.81	2.751E-78	3429	platinum
Q9SVW7	P53875	AF-Q9SVW7-F1-model_v3	AF-P53875-F1-model_v3	8.3e-36	119.8	0.00e+00	378.71	8.895E-17	678	platinum
Q9SVY0	P10964	AF-Q9SVY0-F1-model_v3	AF-P10964-F1-model_v3	4.6e-297	895.2	0.00e+00	3612.64	0.000E+00	6624	platinum
Q9SW44	Q06218	AF-Q9SW44-F1-model_v3	AF-Q06218-F1-model_v3	8.0e-109	338.2	1.74e-14	1209.85	2.517E-45	1937	platinum
Q9SWE5	P36076	AF-Q9SWE5-F1-model_v3	AF-P36076-F1-model_v3	5.3e-41	144.4	2.23e-07	501.90	4.820E-23	889	platinum
Q9SXA1	P37297	AF-Q9SXA1-F1-model_v3	AF-P37297-F1-model_v3	2.5e-106	377.1	0.00e+00	3447.63	3.336E-57	3884	platinum
Q9SXY1	Q04199	AF-Q9SXY1-F1-model_v3	AF-Q04199-F1-model_v3	1.5e-73	238.0	1.11e-16	930.75	1.139E-38	1859	platinum
Q9SY09	Q02260	AF-Q9SY09-F1-model_v3	AF-Q02260-F1-model_v3	4.6e-19	75.1	NA	NA	8.652E-10	454	gold
Q9SYA6	P22139	AF-Q9SYA6-F1-model_v3	AF-P22139-F1-model_v3	3.4e-34	109.4	0.00e+00	190.87	2.618E-09	385	platinum
Q9SYB8	Q03630	AF-Q9SYB8-F1-model_v3	AF-Q03630-F1-model_v3	1.2e-11	57.8	1.67e-12	317.77	5.878E-11	452	platinum
Q9SYG4	P32588	AF-Q9SYG4-F1-model_v3	AF-P32588-F1-model_v3	3.8e-40	147.1	NA	NA	9.957E-29	1156	gold
Q9SYG9	P47144	AF-Q9SYG9-F1-model_v3	AF-P47144-F1-model_v3	5.9e-12	66.6	NA	NA	1.245E-13	864	gold
Q9SYH2	Q05027	AF-Q9SYH2-F1-model_v3	AF-Q05027-F1-model_v3	2.2e-22	86.3	2.21e-14	324.16	6.313E-09	349	platinum
Q9SYM4	Q00764	AF-Q9SYM4-F1-model_v3	AF-Q00764-F1-model_v3	8.0e-154	461.1	NA	NA	NA	NA	silver
Q9SYU4	Q05568	AF-Q9SYU4-F1-model_v3	AF-Q05568-F1-model_v3	8.6e-33	123.6	3.78e-09	669.71	6.196E-22	914	platinum
Q9SZ30	P33734	AF-Q9SZ30-F1-model_v3	AF-P33734-F1-model_v3	2.5e-182	524.2	0.00e+00	1296.58	2.928E-72	2916	platinum
Q9SZ54	P40581	AF-Q9SZ54-F1-model_v3	AF-P40581-F1-model_v3	7.3e-53	166.4	NA	NA	NA	NA	silver
Q9SZI2	P25293	AF-Q9SZI2-F1-model_v3	AF-P25293-F1-model_v3	4.4e-43	152.9	8.22e-11	805.98	6.870E-26	1051	platinum
Q9SZJ5	P37291	AF-Q9SZJ5-F1-model_v3	AF-P37291-F1-model_v3	1.6e-193	546.6	NA	NA	3.424E-67	2960	gold
Q9SZX3	P22768	AF-Q9SZX3-F1-model_v3	AF-P22768-F1-model_v3	1.7e-103	314.3	0.00e+00	1094.98	4.992E-47	1972	platinum
Q9T034	P15625	AF-Q9T034-F1-model_v3	AF-P15625-F1-model_v3	3.5e-160	461.8	0.00e+00	1259.25	3.850E-59	2568	platinum
Q9T091	P40335	AF-Q9T091-F1-model_v3	AF-P40335-F1-model_v3	2.0e-47	161.4	0.00e+00	729.34	7.470E-33	1663	platinum
Q9T0J6	Q06053	AF-Q9T0J6-F1-model_v3	AF-Q06053-F1-model_v3	4.3e-109	343.2	1.72e-14	1233.02	1.077E-48	2163	platinum
Q9XEA0	P11325	AF-Q9XEA0-F1-model_v3	AF-P11325-F1-model_v3	1.1e-148	462.2	0.00e+00	1866.74	4.241E-74	3369	platinum
Q9XEE9	P53954	AF-Q9XEE9-F1-model_v3	AF-P53954-F1-model_v3	5.2e-68	224.9	0.00e+00	1107.41	4.557E-35	1662	platinum
Q9XF57	P39108	AF-Q9XF57-F1-model_v3	AF-P39108-F1-model_v3	1.2e-32	122.5	0.00e+00	813.48	1.658E-35	1579	platinum
Q9XFD1	Q08920	AF-Q9XFD1-F1-model_v3	AF-Q08920-F1-model_v3	1.8e-45	149.8	9.09e-08	384.57	9.368E-19	703	platinum
Q9XFK7	P14306	AF-Q9XFK7-F1-model_v3	AF-P14306-F1-model_v3	6.6e-09	51.2	NA	NA	NA	NA	silver
Q9XGM1	P32610	AF-Q9XGM1-F1-model_v3	AF-P32610-F1-model_v3	2.6e-69	212.6	0.00e+00	694.06	1.293E-23	966	platinum
Q9XGM2	P32829	AF-Q9XGM2-F1-model_v3	AF-P32829-F1-model_v3	2.2e-104	332.4	2.55e-12	1448.38	3.189E-61	2458	platinum
Q9XGX9	O74700	AF-Q9XGX9-F1-model_v3	AF-O74700-F1-model_v3	2.7e-26	90.9	2.29e-14	237.34	1.261E-06	267	platinum
Q9XIK4	P53914	AF-Q9XIK4-F1-model_v3	AF-P53914-F1-model_v3	1.2e-313	894.8	0.00e+00	2481.06	0.000E+00	5111	platinum
Q9XIL5	P03882	AF-Q9XIL5-F1-model_v3	AF-P03882-F1-model_v3	1.3e-09	57.4	NA	NA	NA	NA	silver
Q9XIM2	Q3E840	AF-Q9XIM2-F1-model_v3	AF-Q3E840-F1-model_v3	6.5e-20	81.3	8.13e-04	181.75	3.099E-08	364	platinum
Q9ZNT0	P52917	AF-Q9ZNT0-F1-model_v3	AF-P52917-F1-model_v3	1.3e-153	440.7	0.00e+00	1131.68	5.148E-54	2336	platinum
Q9ZNW0	P38820	AF-Q9ZNW0-F1-model_v3	AF-P38820-F1-model_v3	9.1e-94	288.9	0.00e+00	1066.73	7.402E-46	1841	platinum
Q9ZPH2	P32642	AF-Q9ZPH2-F1-model_v3	AF-P32642-F1-model_v3	5.0e-49	166.8	5.88e-11	554.80	1.072E-19	937	platinum
Q9ZPI1	P15180	AF-Q9ZPI1-F1-model_v3	AF-P15180-F1-model_v3	5.2e-198	567.0	0.00e+00	1486.61	2.284E-74	3174	platinum
Q9ZPV8	P53332	AF-Q9ZPV8-F1-model_v3	AF-P53332-F1-model_v3	1.1e-30	111.3	7.88e-13	426.83	3.626E-18	683	platinum
Q9ZPW2	P53068	AF-Q9ZPW2-F1-model_v3	AF-P53068-F1-model_v3	5.3e-28	103.6	1.05e-09	408.93	4.419E-17	777	platinum
Q9ZPY1	P53210	AF-Q9ZPY1-F1-model_v3	AF-P53210-F1-model_v3	1.1e-12	63.2	NA	NA	5.554E-13	587	gold
Q9ZPY7	P33307	AF-Q9ZPY7-F1-model_v3	AF-P33307-F1-model_v3	5.3e-143	449.1	0.00e+00	2415.54	3.428E-43	2899	platinum
Q9ZQH0	Q03941	AF-Q9ZQH0-F1-model_v3	AF-Q03941-F1-model_v3	1.3e-40	137.5	0.00e+00	608.02	3.603E-22	904	platinum
Q9ZQX4	P39111	AF-Q9ZQX4-F1-model_v3	AF-P39111-F1-model_v3	2.6e-34	113.6	0.00e+00	307.20	6.143E-15	559	platinum
Q9ZR07	Q07540	AF-Q9ZR07-F1-model_v3	AF-Q07540-F1-model_v3	4.3e-20	80.9	4.89e-07	342.02	3.450E-11	464	platinum
Q9ZRD6	P36015	AF-Q9ZRD6-F1-model_v3	AF-P36015-F1-model_v3	3.8e-60	184.9	0.00e+00	498.40	9.968E-24	962	platinum
Q9ZRV4	P38920	AF-Q9ZRV4-F1-model_v3	AF-P38920-F1-model_v3	2.2e-91	300.4	0.00e+00	1555.30	1.821E-65	2954	platinum
Q9ZRZ8	P32892	AF-Q9ZRZ8-F1-model_v3	AF-P32892-F1-model_v3	1.1e-134	415.6	9.01e-13	1440.60	NA	NA	gold
Q9ZSS6	P00927	AF-Q9ZSS6-F1-model_v3	AF-P00927-F1-model_v3	5.0e-153	450.3	0.00e+00	1443.55	1.740E-66	2877	platinum
Q9ZT71	P19735	AF-Q9ZT71-F1-model_v3	AF-P19735-F1-model_v3	1.3e-25	112.1	5.42e-14	1924.14	1.242E-38	2338	platinum
Q9ZT87	P33309	AF-Q9ZT87-F1-model_v3	AF-P33309-F1-model_v3	5.2e-61	199.5	0.00e+00	1009.02	4.367E-41	1716	platinum
Q9ZT91	P02992	AF-Q9ZT91-F1-model_v3	AF-P02992-F1-model_v3	4.5e-191	536.6	0.00e+00	1208.58	1.455E-68	2821	platinum
Q9ZU97	Q06708	AF-Q9ZU97-F1-model_v3	AF-Q06708-F1-model_v3	1.0e-103	336.3	0.00e+00	1663.26	7.106E-35	2349	platinum
Q9ZUA5	P47818	AF-Q9ZUA5-F1-model_v3	AF-P47818-F1-model_v3	5.7e-40	138.7	0.00e+00	607.37	4.930E-15	845	platinum
Q9ZUC1	P28625	AF-Q9ZUC1-F1-model_v3	AF-P28625-F1-model_v3	4.0e-15	73.9	NA	NA	NA	NA	silver
Q9ZUG4	Q06489	AF-Q9ZUG4-F1-model_v3	AF-Q06489-F1-model_v3	1.6e-79	248.1	0.00e+00	912.58	1.225E-39	1719	platinum
Q9ZUL5	P31380	AF-Q9ZUL5-F1-model_v3	AF-P31380-F1-model_v3	1.2e-98	328.2	7.18e-08	1391.64	NA	NA	gold
Q9ZUN8	Q04225	AF-Q9ZUN8-F1-model_v3	AF-Q04225-F1-model_v3	1.4e-60	204.5	0.00e+00	992.58	4.130E-42	1945	platinum
Q9ZUR7	Q04728	AF-Q9ZUR7-F1-model_v3	AF-Q04728-F1-model_v3	2.0e-61	204.9	0.00e+00	1038.49	1.173E-47	1893	platinum
Q9ZUX7	P07884	AF-Q9ZUX7-F1-model_v3	AF-P07884-F1-model_v3	3.0e-43	156.0	7.77e-16	841.69	6.260E-26	1169	platinum
Q9ZV43	P40352	AF-Q9ZV43-F1-model_v3	AF-P40352-F1-model_v3	1.6e-208	630.9	1.02e-09	1783.21	3.668E-75	3517	platinum
Q9ZV56	P13259	AF-Q9ZV56-F1-model_v3	AF-P13259-F1-model_v3	2.6e-68	218.0	2.15e-11	732.38	8.616E-28	1045	platinum
Q9ZV90	P32915	AF-Q9ZV90-F1-model_v3	AF-P32915-F1-model_v3	7.0e-177	503.1	0.00e+00	1364.89	4.801E-47	2535	platinum
Q9ZVH8	P07273	AF-Q9ZVH8-F1-model_v3	AF-P07273-F1-model_v3	1.2e-31	119.8	1.25e-10	650.55	6.141E-16	804	platinum
Q9ZVI9	P33412	AF-Q9ZVI9-F1-model_v3	AF-P33412-F1-model_v3	9.1e-44	153.7	9.99e-16	573.25	2.188E-26	1038	platinum
Q9ZVJ2	Q12012	AF-Q9ZVJ2-F1-model_v3	AF-Q12012-F1-model_v3	9.2e-34	119.4	0.00e+00	466.14	1.678E-22	890	platinum
Q9ZVN9	Q04673	AF-Q9ZVN9-F1-model_v3	AF-Q04673-F1-model_v3	1.5e-97	297.7	0.00e+00	933.63	1.434E-46	1856	platinum
Q9ZVT7	P38792	AF-Q9ZVT7-F1-model_v3	AF-P38792-F1-model_v3	4.3e-47	160.6	0.00e+00	688.29	1.730E-29	1218	platinum
Q9ZVU5	P40962	AF-Q9ZVU5-F1-model_v3	AF-P40962-F1-model_v3	3.7e-28	109.0	2.18e-06	498.64	2.861E-13	557	platinum
Q9ZW12	Q06417	AF-Q9ZW12-F1-model_v3	AF-Q06417-F1-model_v3	3.0e-12	64.3	NA	NA	NA	NA	silver
Q9ZW33	P87108	AF-Q9ZW33-F1-model_v3	AF-P87108-F1-model_v3	1.7e-18	70.9	2.88e-14	215.11	4.150E-05	232	platinum
Q9ZW36	P38241	AF-Q9ZW36-F1-model_v3	AF-P38241-F1-model_v3	7.6e-19	85.9	1.59e-04	482.15	NA	NA	gold
A0A1I9LN01	Q07729	AF-A0A1I9LN01-F1-model_v3	AF-Q07729-F1-model_v3	NA	NA	1.30e-05	525.14	1.943E-13	587	gold
A0A1I9LQF4	P40395	AF-A0A1I9LQF4-F1-model_v3	AF-P40395-F1-model_v3	NA	NA	3.42e-09	1404.37	1.060E-26	1535	gold
A0A1I9LR82	Q04659	AF-A0A1I9LR82-F1-model_v3	AF-Q04659-F1-model_v3	NA	NA	4.60e-06	464.95	1.365E-07	332	gold
A0A1I9LSC0	P53218	AF-A0A1I9LSC0-F1-model_v3	AF-P53218-F1-model_v3	NA	NA	3.75e-04	222.01	1.091E-05	274	gold
A0A1I9LTA1	P53127	AF-A0A1I9LTA1-F1-model_v3	AF-P53127-F1-model_v3	NA	NA	7.77e-01	394.22	NA	NA	silver
A0A1P8AQU0	Q05541	AF-A0A1P8AQU0-F1-model_v3	AF-Q05541-F1-model_v3	NA	NA	4.30e-07	396.10	2.651E-10	457	gold
A0A1P8AT79	P07249	AF-A0A1P8AT79-F1-model_v3	AF-P07249-F1-model_v3	NA	NA	6.82e-04	275.53	1.877E-07	297	gold
A0A1P8ATB1	Q04751	AF-A0A1P8ATB1-F1-model_v3	AF-Q04751-F1-model_v3	NA	NA	1.03e-06	375.40	1.022E-09	400	gold
A0A1P8AVJ4	P36097	AF-A0A1P8AVJ4-F1-model_v3	AF-P36097-F1-model_v3	NA	NA	6.70e-11	1638.20	1.068E-17	1258	gold
A0A1P8AW53	Q12488	AF-A0A1P8AW53-F1-model_v3	AF-Q12488-F1-model_v3	NA	NA	0.00e+00	441.08	5.252E-12	549	gold
A0A1P8AWF3	P38850	AF-A0A1P8AWF3-F1-model_v3	AF-P38850-F1-model_v3	NA	NA	3.79e-03	842.06	4.396E-17	788	gold
A0A1P8AY88	P36057	AF-A0A1P8AY88-F1-model_v3	AF-P36057-F1-model_v3	NA	NA	6.85e-13	475.96	2.121E-18	716	gold
A0A1P8AZS5	P53242	AF-A0A1P8AZS5-F1-model_v3	AF-P53242-F1-model_v3	NA	NA	3.06e-07	398.80	3.715E-14	641	gold
A0A1P8B420	P15703	AF-A0A1P8B420-F1-model_v3	AF-P15703-F1-model_v3	NA	NA	1.72e-09	511.69	4.163E-15	629	gold
A0A1P8B4T0	P32458	AF-A0A1P8B4T0-F1-model_v3	AF-P32458-F1-model_v3	NA	NA	2.05e-03	421.28	NA	NA	silver
A0A1P8B4Y6	Q02554	AF-A0A1P8B4Y6-F1-model_v3	AF-Q02554-F1-model_v3	NA	NA	2.76e-03	553.47	1.072E-15	666	gold
A0A1P8B7B4	P46973	AF-A0A1P8B7B4-F1-model_v3	AF-P46973-F1-model_v3	NA	NA	2.69e-05	254.58	6.846E-06	263	gold
A0A1P8BA81	P40555	AF-A0A1P8BA81-F1-model_v3	AF-P40555-F1-model_v3	NA	NA	1.45e-10	451.01	4.979E-14	587	gold
A0A1P8BD18	Q06631	AF-A0A1P8BD18-F1-model_v3	AF-Q06631-F1-model_v3	NA	NA	6.49e-05	611.77	1.062E-12	544	gold
A0A1P8BD97	P36106	AF-A0A1P8BD97-F1-model_v3	AF-P36106-F1-model_v3	NA	NA	4.08e-02	494.75	2.699E-15	699	gold
A0A1P8BF18	P40025	AF-A0A1P8BF18-F1-model_v3	AF-P40025-F1-model_v3	NA	NA	7.44e-11	551.08	NA	NA	silver
A2RVP7	Q12328	AF-A2RVP7-F1-model_v3	AF-Q12328-F1-model_v3	NA	NA	2.22e-16	383.06	2.087E-08	447	gold
A5HEI1	Q04002	AF-A5HEI1-F1-model_v3	AF-Q04002-F1-model_v3	NA	NA	1.66e-12	2449.08	2.758E-32	2196	gold
A7UL74	P43605	AF-A7UL74-F1-model_v3	AF-P43605-F1-model_v3	NA	NA	8.70e-06	464.50	5.980E-14	575	gold
A8MQD8	P53073	AF-A8MQD8-F1-model_v3	AF-P53073-F1-model_v3	NA	NA	3.68e-06	313.46	2.577E-05	258	gold
A8MRG8	Q05635	AF-A8MRG8-F1-model_v3	AF-Q05635-F1-model_v3	NA	NA	3.28e-06	384.58	1.841E-09	417	gold
A8MS85	P23615	AF-A8MS85-F1-model_v3	AF-P23615-F1-model_v3	NA	NA	2.89e-15	2792.12	1.969E-67	3653	gold
B0M1H3	P40511	AF-B0M1H3-F1-model_v3	AF-P40511-F1-model_v3	NA	NA	0.00e+00	1727.98	1.105E-16	1136	gold
B3H615	P38806	AF-B3H615-F1-model_v3	AF-P38806-F1-model_v3	NA	NA	1.30e-06	440.94	3.344E-11	486	gold
B3H6T0	P53934	AF-B3H6T0-F1-model_v3	AF-P53934-F1-model_v3	NA	NA	0.00e+00	823.44	5.905E-26	1163	gold
B3H6Y2	P40518	AF-B3H6Y2-F1-model_v3	AF-P40518-F1-model_v3	NA	NA	5.77e-14	297.20	2.774E-05	283	gold
B5X0I6	P89105	AF-B5X0I6-F1-model_v3	AF-P89105-F1-model_v3	NA	NA	0.00e+00	2362.31	1.636E-36	2176	gold
B5X503	Q04177	AF-B5X503-F1-model_v3	AF-Q04177-F1-model_v3	NA	NA	3.87e-09	924.73	4.978E-25	1113	gold
B5X564	P23293	AF-B5X564-F1-model_v3	AF-P23293-F1-model_v3	NA	NA	5.78e-07	1086.69	4.003E-31	1452	gold
B7SY83	P41813	AF-B7SY83-F1-model_v3	AF-P41813-F1-model_v3	NA	NA	2.57e-01	746.71	1.473E-04	229	gold
B9DHD3	P07172	AF-B9DHD3-F1-model_v3	AF-P07172-F1-model_v3	NA	NA	0.00e+00	772.49	5.087E-28	1177	gold
C0LU16	P47822	AF-C0LU16-F1-model_v3	AF-P47822-F1-model_v3	NA	NA	1.67e-13	320.46	4.202E-04	188	gold
C0SUT9	P39956	AF-C0SUT9-F1-model_v3	AF-P39956-F1-model_v3	NA	NA	1.30e-02	1007.01	NA	NA	silver
F4HRS2	P39526	AF-F4HRS2-F1-model_v3	AF-P39526-F1-model_v3	NA	NA	1.11e-16	3199.88	1.543E-29	2086	gold
F4HRV8	P20050	AF-F4HRV8-F1-model_v3	AF-P20050-F1-model_v3	NA	NA	4.00e-05	625.06	5.914E-17	785	gold
F4HSW8	Q02875	AF-F4HSW8-F1-model_v3	AF-Q02875-F1-model_v3	NA	NA	9.24e-02	812.38	2.146E-09	376	gold
F4HU58	P53065	AF-F4HU58-F1-model_v3	AF-P53065-F1-model_v3	NA	NA	0.00e+00	609.97	7.868E-22	900	gold
F4HUG9	Q02933	AF-F4HUG9-F1-model_v3	AF-Q02933-F1-model_v3	NA	NA	7.34e-07	376.69	9.004E-13	545	gold
F4HXV6	P38181	AF-F4HXV6-F1-model_v3	AF-P38181-F1-model_v3	NA	NA	1.11e-16	2377.03	1.359E-43	2809	gold
F4HY32	P32521	AF-F4HY32-F1-model_v3	AF-P32521-F1-model_v3	NA	NA	5.34e-02	979.51	1.859E-10	501	gold
F4HZF4	P32608	AF-F4HZF4-F1-model_v3	AF-P32608-F1-model_v3	NA	NA	1.11e-12	893.93	5.325E-21	1123	gold
F4I131	P40485	AF-F4I131-F1-model_v3	AF-P40485-F1-model_v3	NA	NA	8.12e-03	778.54	3.495E-04	246	gold
F4I2S4	P38273	AF-F4I2S4-F1-model_v3	AF-P38273-F1-model_v3	NA	NA	3.46e-06	694.15	2.257E-16	763	gold
F4I3Y1	P32335	AF-F4I3Y1-F1-model_v3	AF-P32335-F1-model_v3	NA	NA	4.49e-08	441.25	3.472E-13	560	gold
F4I3Z5	P17883	AF-F4I3Z5-F1-model_v3	AF-P17883-F1-model_v3	NA	NA	2.27e-06	2078.52	1.577E-16	1207	gold
F4I456	P33313	AF-F4I456-F1-model_v3	AF-P33313-F1-model_v3	NA	NA	1.42e-11	636.47	3.896E-16	815	gold
F4I6B2	P40856	AF-F4I6B2-F1-model_v3	AF-P40856-F1-model_v3	NA	NA	8.54e-06	1105.43	2.148E-19	1206	gold
F4I7J9	P34111	AF-F4I7J9-F1-model_v3	AF-P34111-F1-model_v3	NA	NA	1.12e-02	1178.61	5.430E-18	1009	gold
F4I7R5	Q04740	AF-F4I7R5-F1-model_v3	AF-Q04740-F1-model_v3	NA	NA	7.96e-04	328.81	6.631E-08	349	gold
F4I824	Q12093	AF-F4I824-F1-model_v3	AF-Q12093-F1-model_v3	NA	NA	0.00e+00	803.75	1.452E-34	1407	gold
F4IA25	Q04178	AF-F4IA25-F1-model_v3	AF-Q04178-F1-model_v3	NA	NA	6.93e-09	276.10	NA	NA	silver
F4IAT2	P53552	AF-F4IAT2-F1-model_v3	AF-P53552-F1-model_v3	NA	NA	1.07e-11	2334.25	6.647E-40	2587	gold
F4IE40	P53067	AF-F4IE40-F1-model_v3	AF-P53067-F1-model_v3	NA	NA	0.00e+00	1983.11	3.124E-25	1772	gold
F4IFK0	P53846	AF-F4IFK0-F1-model_v3	AF-P53846-F1-model_v3	NA	NA	8.73e-05	303.35	NA	NA	silver
F4IGA5	P36161	AF-F4IGA5-F1-model_v3	AF-P36161-F1-model_v3	NA	NA	8.40e-09	1523.00	1.744E-22	1398	gold
F4IJ68	P47104	AF-F4IJ68-F1-model_v3	AF-P47104-F1-model_v3	NA	NA	5.24e-09	2093.55	4.204E-36	2509	gold
F4IL30	P41812	AF-F4IL30-F1-model_v3	AF-P41812-F1-model_v3	NA	NA	9.69e-08	923.27	1.512E-27	1226	gold
F4IMA2	P21538	AF-F4IMA2-F1-model_v3	AF-P21538-F1-model_v3	NA	NA	5.76e-02	673.86	5.384E-05	285	gold
F4IQJ2	P38874	AF-F4IQJ2-F1-model_v3	AF-P38874-F1-model_v3	NA	NA	2.92e-05	344.49	1.507E-11	486	gold
F4IRD3	Q02197	AF-F4IRD3-F1-model_v3	AF-Q02197-F1-model_v3	NA	NA	0.00e+00	1238.89	1.336E-19	1204	gold
F4IU60	P25559	AF-F4IU60-F1-model_v3	AF-P25559-F1-model_v3	NA	NA	6.98e-14	686.87	3.025E-24	1045	gold
F4IV62	P53148	AF-F4IV62-F1-model_v3	AF-P53148-F1-model_v3	NA	NA	3.05e-02	1094.55	1.996E-09	439	gold
F4IVR7	P08964	AF-F4IVR7-F1-model_v3	AF-P08964-F1-model_v3	NA	NA	5.14e-06	3157.91	NA	NA	silver
F4IW51	Q12272	AF-F4IW51-F1-model_v3	AF-Q12272-F1-model_v3	NA	NA	2.11e-15	454.10	1.486E-18	764	gold
F4IY04	P53720	AF-F4IY04-F1-model_v3	AF-P53720-F1-model_v3	NA	NA	0.00e+00	752.42	5.457E-28	1228	gold
F4IZC4	Q05131	AF-F4IZC4-F1-model_v3	AF-Q05131-F1-model_v3	NA	NA	0.00e+00	753.97	4.715E-12	686	gold
F4J246	Q06156	AF-F4J246-F1-model_v3	AF-Q06156-F1-model_v3	NA	NA	0.00e+00	2535.61	2.739E-43	2920	gold
F4J262	P53306	AF-F4J262-F1-model_v3	AF-P53306-F1-model_v3	NA	NA	1.27e-09	1002.97	9.750E-15	820	gold
