Uniprot_arabadopsis	Uniprot_arabadopsis	AlphaFold_arabadopsis	AlphaFold_arabadopsis	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q9S7H1	Q9SA56	AF-Q9S7H1-F1-model_v3	AF-Q9SA56-F1-model_v3	4.9e-134	374.0	0.00e+00	573.67	4.087E-34	1376	platinum
Q9S7Q5	Q9SGI4	AF-Q9S7Q5-F1-model_v3	AF-Q9SGI4-F1-model_v3	5.1e-316	866.3	0.00e+00	1640.27	9.290E-94	4036	platinum
Q9S7Z3	Q9ZWB7	AF-Q9S7Z3-F1-model_v3	AF-Q9ZWB7-F1-model_v3	3.5e-277	758.1	0.00e+00	1162.74	1.331E-62	2978	platinum
Q9S804	Q9SYY4	AF-Q9S804-F1-model_v3	AF-Q9SYY4-F1-model_v3	9.3e-110	318.9	0.00e+00	748.21	5.040E-27	1337	platinum
Q9S9P1	Q9SKZ3	AF-Q9S9P1-F1-model_v3	AF-Q9SKZ3-F1-model_v3	6.2e-84	242.3	0.00e+00	404.85	6.685E-27	986	platinum
Q9SAG2	Q9SAI8	AF-Q9SAG2-F1-model_v3	AF-Q9SAI8-F1-model_v3	5.7e-130	364.4	2.51e-13	597.15	1.177E-28	932	platinum
Q9SDA8	Q9ZWC6	AF-Q9SDA8-F1-model_v3	AF-Q9ZWC6-F1-model_v3	3.1e-56	201.1	0.00e+00	1402.80	4.489E-42	1930	platinum
Q9SF10	Q9SF13	AF-Q9SF10-F1-model_v3	AF-Q9SF13-F1-model_v3	7.6e-54	182.2	2.42e-01	249.63	NA	NA	gold
Q9SFV2	Q9SFV6	AF-Q9SFV2-F1-model_v3	AF-Q9SFV6-F1-model_v3	7.5e-134	380.2	5.86e-08	526.99	4.817E-33	1361	platinum
Q9SGE0	Q9ZUY6	AF-Q9SGE0-F1-model_v3	AF-Q9ZUY6-F1-model_v3	2.4e-287	776.9	0.00e+00	1142.43	1.043E-83	3274	platinum
Q9SGQ0	Q9SLB9	AF-Q9SGQ0-F1-model_v3	AF-Q9SLB9-F1-model_v3	4.9e-128	379.4	8.73e-07	889.60	1.120E-40	1608	platinum
Q9SIK3	Q9T028	AF-Q9SIK3-F1-model_v3	AF-Q9T028-F1-model_v3	1.4e-40	141.4	1.59e-04	469.49	NA	NA	gold
Q9SIM4	Q9T043	AF-Q9SIM4-F1-model_v3	AF-Q9T043-F1-model_v3	1.4e-82	238.0	0.00e+00	383.92	9.816E-22	881	platinum
Q9SIU5	Q9SUU4	AF-Q9SIU5-F1-model_v3	AF-Q9SUU4-F1-model_v3	1.6e-144	407.5	1.46e-12	672.26	1.957E-37	1617	platinum
Q9SJ31	Q9T0H1	AF-Q9SJ31-F1-model_v3	AF-Q9T0H1-F1-model_v3	1.6e-79	229.6	5.46e-13	335.47	3.739E-18	634	platinum
Q9SJY4	Q9SZK8	AF-Q9SJY4-F1-model_v3	AF-Q9SZK8-F1-model_v3	3.0e-11	56.2	1.25e-04	229.02	1.011E-07	280	platinum
Q9SL82	Q9SL83	AF-Q9SL82-F1-model_v3	AF-Q9SL83-F1-model_v3	1.2e-68	205.7	3.83e-12	380.63	1.039E-20	766	platinum
Q9SLA2	Q9SZY7	AF-Q9SLA2-F1-model_v3	AF-Q9SZY7-F1-model_v3	1.8e-102	292.0	0.00e+00	508.83	1.829E-22	1151	platinum
Q9SN53	Q9T0A2	AF-Q9SN53-F1-model_v3	AF-Q9T0A2-F1-model_v3	4.3e-40	131.0	3.41e-04	197.99	NA	NA	gold
Q9SQU9	Q9SQV0	AF-Q9SQU9-F1-model_v3	AF-Q9SQV0-F1-model_v3	1.8e-149	419.9	0.00e+00	783.07	5.735E-34	1728	platinum
Q9SRN2	Q9SVC9	AF-Q9SRN2-F1-model_v3	AF-Q9SVC9-F1-model_v3	9.2e-07	47.0	2.26e-02	195.29	NA	NA	gold
Q9SS89	Q9SU88	AF-Q9SS89-F1-model_v3	AF-Q9SU88-F1-model_v3	3.1e-46	157.1	0.00e+00	579.23	1.453E-26	1034	platinum
Q9SSD2	Q9T0I6	AF-Q9SSD2-F1-model_v3	AF-Q9T0I6-F1-model_v3	0.0e+00	4530.7	0.00e+00	6941.22	0.000E+00	19314	platinum
Q9SSF1	Q9SY09	AF-Q9SSF1-F1-model_v3	AF-Q9SY09-F1-model_v3	9.0e-61	181.4	2.22e-16	318.69	3.956E-18	789	platinum
Q9SSP7	Q9SSP9	AF-Q9SSP7-F1-model_v3	AF-Q9SSP9-F1-model_v3	0.0e+00	2025.4	0.00e+00	3064.75	0.000E+00	7820	platinum
Q9SSS0	Q9T0H6	AF-Q9SSS0-F1-model_v3	AF-Q9T0H6-F1-model_v3	9.0e-05	38.5	9.04e-06	208.97	NA	NA	gold
Q9SU71	Q9SU72	AF-Q9SU71-F1-model_v3	AF-Q9SU72-F1-model_v3	0.0e+00	912.1	0.00e+00	1754.67	7.885E-76	3923	platinum
Q9SUB3	Q9SUP3	AF-Q9SUB3-F1-model_v3	AF-Q9SUP3-F1-model_v3	1.2e-117	338.6	2.15e-14	675.20	2.077E-34	1299	platinum
Q9SUG8	Q9ZUI1	AF-Q9SUG8-F1-model_v3	AF-Q9ZUI1-F1-model_v3	2.6e-197	560.5	1.29e-05	861.23	6.742E-50	2059	platinum
Q9SUI6	Q9SUI7	AF-Q9SUI6-F1-model_v3	AF-Q9SUI7-F1-model_v3	5.6e-92	262.7	2.94e-14	385.91	3.800E-21	791	platinum
Q9SUP7	Q9T012	AF-Q9SUP7-F1-model_v3	AF-Q9T012-F1-model_v3	3.2e-181	513.5	1.11e-16	1161.22	1.626E-38	1786	platinum
Q9SY08	F4KHR6	AF-Q9SY08-F1-model_v3	AF-F4KHR6-F1-model_v3	1.2e-04	41.2	7.16e-01	96.41	NA	NA	gold
Q9SYD0	Q9SYD4	AF-Q9SYD0-F1-model_v3	AF-Q9SYD4-F1-model_v3	8.4e-222	610.1	0.00e+00	954.38	1.597E-55	2512	platinum
Q9SZZ4	Q9SZZ6	AF-Q9SZZ4-F1-model_v3	AF-Q9SZZ6-F1-model_v3	1.1e-176	485.7	5.76e-13	578.21	2.365E-39	1574	platinum
Q9T022	Q96261	AF-Q9T022-F1-model_v3	AF-Q96261-F1-model_v3	7.7e-04	37.7	1.38e-03	204.88	4.790E-08	326	platinum
Q9XI93	Q9ZQ80	AF-Q9XI93-F1-model_v3	AF-Q9ZQ80-F1-model_v3	4.9e-38	127.9	3.91e-05	288.09	6.077E-12	490	platinum
Q9XIA0	Q9XIH1	AF-Q9XIA0-F1-model_v3	AF-Q9XIH1-F1-model_v3	5.4e-51	171.0	1.23e-07	604.32	NA	NA	gold
Q9XIE7	Q9ZUI9	AF-Q9XIE7-F1-model_v3	AF-Q9ZUI9-F1-model_v3	4.6e-191	524.6	2.99e-09	636.77	1.748E-41	1534	platinum
Q9XIL0	Q9XIL1	AF-Q9XIL0-F1-model_v3	AF-Q9XIL1-F1-model_v3	6.2e-37	132.1	4.50e-06	417.61	1.461E-20	825	platinum
Q9ZQZ6	Q9ZT95	AF-Q9ZQZ6-F1-model_v3	AF-Q9ZT95-F1-model_v3	7.0e-174	479.9	1.59e-11	630.39	2.306E-39	1561	platinum
Q9ZUX4	Q84W11	AF-Q9ZUX4-F1-model_v3	AF-Q84W11-F1-model_v3	7.1e-04	35.8	2.51e-02	100.44	NA	NA	gold
Q9ZV05	Q9ZV06	AF-Q9ZV05-F1-model_v3	AF-Q9ZV06-F1-model_v3	3.1e-129	364.0	0.00e+00	629.20	4.629E-41	1580	platinum
Q9ZVQ3	Q9ZVQ4	AF-Q9ZVQ3-F1-model_v3	AF-Q9ZVQ4-F1-model_v3	6.4e-140	390.2	0.00e+00	621.20	7.585E-32	1541	platinum
A0A178VPF6	Q94K74	AF-A0A178VPF6-F1-model_v3	AF-Q94K74-F1-model_v3	NA	NA	4.50e-07	506.83	2.461E-07	450	gold
A0A178VQE8	F4JDB5	AF-A0A178VQE8-F1-model_v3	AF-F4JDB5-F1-model_v3	NA	NA	5.10e-06	135.34	1.461E-04	165	gold
A0A178W0K0	Q8GZ75	AF-A0A178W0K0-F1-model_v3	AF-Q8GZ75-F1-model_v3	NA	NA	7.60e-13	551.70	4.561E-09	524	gold
A0A1I9LM38	F4K0E6	AF-A0A1I9LM38-F1-model_v3	AF-F4K0E6-F1-model_v3	NA	NA	2.47e-06	456.83	7.276E-17	694	gold
A0A1I9LMB9	Q6NPG7	AF-A0A1I9LMB9-F1-model_v3	AF-Q6NPG7-F1-model_v3	NA	NA	4.40e-14	417.86	6.549E-04	249	gold
A0A1I9LSK1	F4J8S5	AF-A0A1I9LSK1-F1-model_v3	AF-F4J8S5-F1-model_v3	NA	NA	1.04e-13	475.57	8.632E-09	483	gold
A0A1I9LSL4	Q9STL8	AF-A0A1I9LSL4-F1-model_v3	AF-Q9STL8-F1-model_v3	NA	NA	3.24e-04	505.34	2.871E-11	512	gold
A0A1P8AP99	F4JG68	AF-A0A1P8AP99-F1-model_v3	AF-F4JG68-F1-model_v3	NA	NA	4.34e-03	419.52	1.357E-05	334	gold
A0A1P8AQU0	Q84VP9	AF-A0A1P8AQU0-F1-model_v3	AF-Q84VP9-F1-model_v3	NA	NA	1.49e-04	256.00	3.275E-04	224	gold
A0A1P8AVE9	Q9ASU6	AF-A0A1P8AVE9-F1-model_v3	AF-Q9ASU6-F1-model_v3	NA	NA	6.89e-04	1050.82	7.352E-36	1583	gold
A0A1P8AW53	Q6NQP5	AF-A0A1P8AW53-F1-model_v3	AF-Q6NQP5-F1-model_v3	NA	NA	1.54e-09	371.80	3.713E-06	315	gold
A0A1P8B1H3	Q5PP33	AF-A0A1P8B1H3-F1-model_v3	AF-Q5PP33-F1-model_v3	NA	NA	3.09e-13	1047.39	7.522E-19	1077	gold
A0A1P8B2D2	A0A1P8ARQ4	AF-A0A1P8B2D2-F1-model_v3	AF-A0A1P8ARQ4-F1-model_v3	NA	NA	5.25e-05	176.44	1.533E-05	199	gold
A0A1P8B5V0	A0A1P8B1Y9	AF-A0A1P8B5V0-F1-model_v3	AF-A0A1P8B1Y9-F1-model_v3	NA	NA	1.73e-06	236.28	8.946E-11	404	gold
A0A1P8B8P6	A0A178UQA6	AF-A0A1P8B8P6-F1-model_v3	AF-A0A178UQA6-F1-model_v3	NA	NA	0.00e+00	631.32	2.743E-32	1222	gold
A0A1P8B947	A0A1P8B2I1	AF-A0A1P8B947-F1-model_v3	AF-A0A1P8B2I1-F1-model_v3	NA	NA	1.02e-03	377.00	3.542E-19	680	gold
A0A1P8BAF7	Q6IDC0	AF-A0A1P8BAF7-F1-model_v3	AF-Q6IDC0-F1-model_v3	NA	NA	2.13e-04	764.88	9.309E-11	496	gold
A0A1P8BBA7	A0A1P8AUR6	AF-A0A1P8BBA7-F1-model_v3	AF-A0A1P8AUR6-F1-model_v3	NA	NA	9.04e-06	176.23	6.218E-09	354	gold
A0A1P8BDK1	A0A1P8BDL3	AF-A0A1P8BDK1-F1-model_v3	AF-A0A1P8BDL3-F1-model_v3	NA	NA	1.18e-03	122.34	9.337E-04	159	gold
A0A1P8BG20	A0A1I9LSZ8	AF-A0A1P8BG20-F1-model_v3	AF-A0A1I9LSZ8-F1-model_v3	NA	NA	1.61e-02	265.55	1.115E-05	247	gold
A0A1P8BH06	A0A1I9LT45	AF-A0A1P8BH06-F1-model_v3	AF-A0A1I9LT45-F1-model_v3	NA	NA	3.40e-10	167.45	6.001E-05	270	gold
A1L4V7	F4HYF3	AF-A1L4V7-F1-model_v3	AF-F4HYF3-F1-model_v3	NA	NA	4.17e-11	686.66	6.718E-24	1022	gold
A8MQA2	F4JL89	AF-A8MQA2-F1-model_v3	AF-F4JL89-F1-model_v3	NA	NA	1.12e-09	274.86	1.985E-06	329	gold
A8MQG8	Q66GR7	AF-A8MQG8-F1-model_v3	AF-Q66GR7-F1-model_v3	NA	NA	2.20e-10	666.18	2.840E-18	841	gold
A8MQL5	A8MQE7	AF-A8MQL5-F1-model_v3	AF-A8MQE7-F1-model_v3	NA	NA	5.55e-16	285.55	1.209E-12	592	gold
A8MR00	A8MQL7	AF-A8MR00-F1-model_v3	AF-A8MQL7-F1-model_v3	NA	NA	9.33e-05	137.76	7.837E-08	280	gold
A8MR87	A0A1P8B754	AF-A8MR87-F1-model_v3	AF-A0A1P8B754-F1-model_v3	NA	NA	1.47e-05	218.14	5.758E-09	334	gold
A8MRJ4	A8MQ98	AF-A8MRJ4-F1-model_v3	AF-A8MQ98-F1-model_v3	NA	NA	4.76e-08	208.69	1.125E-08	432	gold
B3H5B9	A0A1P8B4S5	AF-B3H5B9-F1-model_v3	AF-A0A1P8B4S5-F1-model_v3	NA	NA	5.06e-14	309.51	1.570E-14	630	gold
B3H6V9	Q9LQP3	AF-B3H6V9-F1-model_v3	AF-Q9LQP3-F1-model_v3	NA	NA	1.85e-04	230.49	1.088E-05	226	gold
B3H7G2	A0MDQ1	AF-B3H7G2-F1-model_v3	AF-A0MDQ1-F1-model_v3	NA	NA	0.00e+00	284.33	2.221E-19	731	gold
B9DHC9	F4HPT1	AF-B9DHC9-F1-model_v3	AF-F4HPT1-F1-model_v3	NA	NA	1.28e-04	673.20	8.543E-08	330	gold
F4HPT1	B9DHC9	AF-F4HPT1-F1-model_v3	AF-B9DHC9-F1-model_v3	NA	NA	1.28e-04	673.20	1.296E-07	311	gold
F4HPT8	A7REF7	AF-F4HPT8-F1-model_v3	AF-A7REF7-F1-model_v3	NA	NA	3.23e-10	186.64	2.074E-07	319	gold
F4HRG2	Q9LXC3	AF-F4HRG2-F1-model_v3	AF-Q9LXC3-F1-model_v3	NA	NA	1.11e-16	725.21	6.096E-32	1293	gold
F4HTY0	Q9SKS7	AF-F4HTY0-F1-model_v3	AF-Q9SKS7-F1-model_v3	NA	NA	0.00e+00	334.19	1.795E-09	428	gold
F4HYF3	A1L4V7	AF-F4HYF3-F1-model_v3	AF-A1L4V7-F1-model_v3	NA	NA	4.17e-11	686.66	4.107E-24	984	gold
F4HZG9	Q0WUQ7	AF-F4HZG9-F1-model_v3	AF-Q0WUQ7-F1-model_v3	NA	NA	0.00e+00	915.69	9.203E-35	1445	gold
F4I2S4	C0Z274	AF-F4I2S4-F1-model_v3	AF-C0Z274-F1-model_v3	NA	NA	0.00e+00	1353.00	4.630E-79	3480	gold
F4I5H7	Q02166	AF-F4I5H7-F1-model_v3	AF-Q02166-F1-model_v3	NA	NA	8.48e-08	705.59	5.021E-12	634	gold
F4I6E6	B5X582	AF-F4I6E6-F1-model_v3	AF-B5X582-F1-model_v3	NA	NA	8.33e-15	917.00	6.426E-59	2350	gold
F4I7U4	B3H566	AF-F4I7U4-F1-model_v3	AF-B3H566-F1-model_v3	NA	NA	6.93e-08	179.25	2.271E-09	364	gold
F4ICA1	Q9M2N5	AF-F4ICA1-F1-model_v3	AF-Q9M2N5-F1-model_v3	NA	NA	6.00e-09	1244.87	1.033E-27	1504	gold
F4ICS8	F4I7W9	AF-F4ICS8-F1-model_v3	AF-F4I7W9-F1-model_v3	NA	NA	6.69e-03	655.82	2.240E-23	1146	gold
F4IEK8	Q9SVS7	AF-F4IEK8-F1-model_v3	AF-Q9SVS7-F1-model_v3	NA	NA	1.33e-11	1436.76	7.531E-42	2137	gold
F4IFN6	F4HW04	AF-F4IFN6-F1-model_v3	AF-F4HW04-F1-model_v3	NA	NA	0.00e+00	6039.89	0.000E+00	16176	gold
F4IFT4	Q9FMQ8	AF-F4IFT4-F1-model_v3	AF-Q9FMQ8-F1-model_v3	NA	NA	6.02e-07	336.98	5.295E-16	685	gold
F4IJE1	F4HZJ6	AF-F4IJE1-F1-model_v3	AF-F4HZJ6-F1-model_v3	NA	NA	1.97e-05	1745.30	8.439E-50	2587	gold
F4IP14	F4I2J8	AF-F4IP14-F1-model_v3	AF-F4I2J8-F1-model_v3	NA	NA	1.68e-02	250.39	9.289E-05	215	gold
F4IPL5	B3H797	AF-F4IPL5-F1-model_v3	AF-B3H797-F1-model_v3	NA	NA	1.11e-16	1407.69	2.079E-69	3575	gold
F4IQV7	Q38885	AF-F4IQV7-F1-model_v3	AF-Q38885-F1-model_v3	NA	NA	5.05e-14	1132.85	2.410E-23	1290	gold
F4ISU2	F4I8Q1	AF-F4ISU2-F1-model_v3	AF-F4I8Q1-F1-model_v3	NA	NA	1.37e-05	1896.75	6.110E-22	784	gold
F4ISV6	F4IRQ5	AF-F4ISV6-F1-model_v3	AF-F4IRQ5-F1-model_v3	NA	NA	0.00e+00	1473.19	3.914E-88	3753	gold
F4IV16	B9DGU7	AF-F4IV16-F1-model_v3	AF-B9DGU7-F1-model_v3	NA	NA	0.00e+00	761.64	9.275E-59	2259	gold
F4IY62	Q9C5I1	AF-F4IY62-F1-model_v3	AF-Q9C5I1-F1-model_v3	NA	NA	0.00e+00	1082.05	7.390E-31	1330	gold
F4IZC5	F4IH31	AF-F4IZC5-F1-model_v3	AF-F4IH31-F1-model_v3	NA	NA	0.00e+00	918.01	4.042E-49	2038	gold
F4J3Q1	Q94JQ4	AF-F4J3Q1-F1-model_v3	AF-Q94JQ4-F1-model_v3	NA	NA	1.91e-05	287.53	4.898E-08	387	gold
F4J4H2	F4J4G9	AF-F4J4H2-F1-model_v3	AF-F4J4G9-F1-model_v3	NA	NA	1.12e-04	1314.05	0.000E+00	3850	gold
F4J8S5	A0A1I9LSK1	AF-F4J8S5-F1-model_v3	AF-A0A1I9LSK1-F1-model_v3	NA	NA	1.04e-13	475.57	3.553E-09	449	gold
F4J9G6	F4IBH5	AF-F4J9G6-F1-model_v3	AF-F4IBH5-F1-model_v3	NA	NA	7.62e-06	1582.55	5.472E-51	2510	gold
F4JBW0	Q29Q13	AF-F4JBW0-F1-model_v3	AF-Q29Q13-F1-model_v3	NA	NA	1.71e-05	575.50	4.694E-09	483	gold
F4JCX1	Q75W54	AF-F4JCX1-F1-model_v3	AF-Q75W54-F1-model_v3	NA	NA	1.13e-05	1017.42	1.996E-27	1376	gold
F4JCX9	A8MQN2	AF-F4JCX9-F1-model_v3	AF-A8MQN2-F1-model_v3	NA	NA	3.97e-01	519.05	9.660E-08	347	gold
F4JDB5	A0A178VQE8	AF-F4JDB5-F1-model_v3	AF-A0A178VQE8-F1-model_v3	NA	NA	5.10e-06	135.34	2.547E-04	158	gold
F4JEW1	Q5XV40	AF-F4JEW1-F1-model_v3	AF-Q5XV40-F1-model_v3	NA	NA	8.01e-02	317.91	6.338E-05	216	gold
F4JG68	A0A1P8AP99	AF-F4JG68-F1-model_v3	AF-A0A1P8AP99-F1-model_v3	NA	NA	4.34e-03	419.52	2.117E-06	336	gold
F4JHC9	F4HU51	AF-F4JHC9-F1-model_v3	AF-F4HU51-F1-model_v3	NA	NA	0.00e+00	1101.86	4.354E-65	2839	gold
F4JL89	A8MQA2	AF-F4JL89-F1-model_v3	AF-A8MQA2-F1-model_v3	NA	NA	1.12e-09	274.86	3.453E-07	367	gold
F4JM22	Q9SRY4	AF-F4JM22-F1-model_v3	AF-Q9SRY4-F1-model_v3	NA	NA	9.21e-07	613.45	7.763E-21	903	gold
F4JPQ4	Q4PL95	AF-F4JPQ4-F1-model_v3	AF-Q4PL95-F1-model_v3	NA	NA	1.52e-02	280.36	3.136E-05	281	gold
F4JPS4	F4JMQ8	AF-F4JPS4-F1-model_v3	AF-F4JMQ8-F1-model_v3	NA	NA	0.00e+00	2312.60	0.000E+00	5714	gold
F4JT13	Q8VYD7	AF-F4JT13-F1-model_v3	AF-Q8VYD7-F1-model_v3	NA	NA	1.72e-09	558.74	3.295E-24	948	gold
F4JTN1	F4I9G5	AF-F4JTN1-F1-model_v3	AF-F4I9G5-F1-model_v3	NA	NA	0.00e+00	3513.23	0.000E+00	8272	gold
F4JUX3	Q8VZW6	AF-F4JUX3-F1-model_v3	AF-Q8VZW6-F1-model_v3	NA	NA	5.54e-14	591.75	5.577E-19	921	gold
F4JVU5	F4IBR2	AF-F4JVU5-F1-model_v3	AF-F4IBR2-F1-model_v3	NA	NA	0.00e+00	5713.99	0.000E+00	11751	gold
F4JWB3	F4J3T8	AF-F4JWB3-F1-model_v3	AF-F4J3T8-F1-model_v3	NA	NA	0.00e+00	2083.77	0.000E+00	5189	gold
F4JXC7	B3H544	AF-F4JXC7-F1-model_v3	AF-B3H544-F1-model_v3	NA	NA	6.09e-04	775.20	2.378E-22	911	gold
F4JZ11	F4IWB2	AF-F4JZ11-F1-model_v3	AF-F4IWB2-F1-model_v3	NA	NA	1.81e-12	567.39	5.645E-30	1166	gold
F4JZA9	F4ISY9	AF-F4JZA9-F1-model_v3	AF-F4ISY9-F1-model_v3	NA	NA	8.09e-07	234.73	3.423E-10	454	gold
F4K0E6	A0A1I9LM38	AF-F4K0E6-F1-model_v3	AF-A0A1I9LM38-F1-model_v3	NA	NA	2.47e-06	456.83	2.651E-16	686	gold
F4K1R2	F4KEV7	AF-F4K1R2-F1-model_v3	AF-F4KEV7-F1-model_v3	NA	NA	5.57e-08	310.80	1.470E-09	433	gold
F4K210	B9DG86	AF-F4K210-F1-model_v3	AF-B9DG86-F1-model_v3	NA	NA	0.00e+00	1054.85	6.618E-30	939	gold
F4K2W9	F4I9U3	AF-F4K2W9-F1-model_v3	AF-F4I9U3-F1-model_v3	NA	NA	1.06e-02	435.29	2.045E-15	635	gold
F4K3G5	F4K064	AF-F4K3G5-F1-model_v3	AF-F4K064-F1-model_v3	NA	NA	3.34e-06	1183.02	1.776E-57	2493	gold
F4K4J0	F4HRC1	AF-F4K4J0-F1-model_v3	AF-F4HRC1-F1-model_v3	NA	NA	3.79e-13	1094.99	6.907E-49	2115	gold
F4K4U5	F4JC31	AF-F4K4U5-F1-model_v3	AF-F4JC31-F1-model_v3	NA	NA	3.65e-09	1792.49	1.535E-56	3306	gold
F4K567	A0A1I9LLM0	AF-F4K567-F1-model_v3	AF-A0A1I9LLM0-F1-model_v3	NA	NA	2.35e-13	1061.12	2.698E-46	1980	gold
F4K8A7	A8MS22	AF-F4K8A7-F1-model_v3	AF-A8MS22-F1-model_v3	NA	NA	2.96e-12	243.51	1.277E-09	476	gold
F4K9W6	F4K746	AF-F4K9W6-F1-model_v3	AF-F4K746-F1-model_v3	NA	NA	0.00e+00	1247.42	5.080E-77	3431	gold
F4KCR0	Q9FY61	AF-F4KCR0-F1-model_v3	AF-Q9FY61-F1-model_v3	NA	NA	3.28e-07	1317.67	2.689E-31	1703	gold
F4KDH9	F4JC20	AF-F4KDH9-F1-model_v3	AF-F4JC20-F1-model_v3	NA	NA	2.68e-02	1060.57	3.365E-10	393	gold
F4KDK4	A0A1I9LLD2	AF-F4KDK4-F1-model_v3	AF-A0A1I9LLD2-F1-model_v3	NA	NA	3.95e-09	762.37	4.239E-18	1002	gold
F4KEV7	F4K1R2	AF-F4KEV7-F1-model_v3	AF-F4K1R2-F1-model_v3	NA	NA	5.57e-08	310.80	1.043E-09	411	gold
F4KFT7	Q9ASY9	AF-F4KFT7-F1-model_v3	AF-Q9ASY9-F1-model_v3	NA	NA	1.51e-12	507.49	8.401E-07	423	gold
F4KGA5	Q9M035	AF-F4KGA5-F1-model_v3	AF-Q9M035-F1-model_v3	NA	NA	1.50e-01	332.87	1.387E-04	207	gold
F4KH50	F4IXX4	AF-F4KH50-F1-model_v3	AF-F4IXX4-F1-model_v3	NA	NA	0.00e+00	1359.72	2.239E-83	3343	gold
O04650	Q5XV31	AF-O04650-F1-model_v3	AF-Q5XV31-F1-model_v3	NA	NA	2.59e-05	1317.16	6.339E-13	649	gold
O22145	O49653	AF-O22145-F1-model_v3	AF-O49653-F1-model_v3	NA	NA	0.00e+00	811.05	3.879E-24	1072	gold
O22224	F4J284	AF-O22224-F1-model_v3	AF-F4J284-F1-model_v3	NA	NA	0.00e+00	2439.33	3.611E-90	5415	gold
O22729	F4I7D8	AF-O22729-F1-model_v3	AF-F4I7D8-F1-model_v3	NA	NA	1.26e-01	297.26	1.045E-13	425	gold
O22769	Q9C5W0	AF-O22769-F1-model_v3	AF-Q9C5W0-F1-model_v3	NA	NA	5.83e-03	250.75	5.088E-04	210	gold
O23036	Q3ECX5	AF-O23036-F1-model_v3	AF-Q3ECX5-F1-model_v3	NA	NA	6.35e-11	270.06	7.887E-09	370	gold
O23188	F4HRB5	AF-O23188-F1-model_v3	AF-F4HRB5-F1-model_v3	NA	NA	3.26e-02	546.07	3.240E-11	415	gold
O23722	F4JCU3	AF-O23722-F1-model_v3	AF-F4JCU3-F1-model_v3	NA	NA	0.00e+00	1161.89	2.502E-81	3264	gold
O24521	O24520	AF-O24521-F1-model_v3	AF-O24520-F1-model_v3	NA	NA	0.00e+00	428.48	1.304E-13	719	gold
O24633	O23714	AF-O24633-F1-model_v3	AF-O23714-F1-model_v3	NA	NA	0.00e+00	575.85	7.576E-43	1699	gold
O48719	Q5Q0C3	AF-O48719-F1-model_v3	AF-Q5Q0C3-F1-model_v3	NA	NA	1.23e-03	179.19	3.316E-04	174	gold
O49160	F4J1N5	AF-O49160-F1-model_v3	AF-F4J1N5-F1-model_v3	NA	NA	0.00e+00	1949.78	9.551E-67	4058	gold
O49292	Q9LXX5	AF-O49292-F1-model_v3	AF-Q9LXX5-F1-model_v3	NA	NA	7.59e-09	493.51	9.443E-17	749	gold
O49378	Q9SFT8	AF-O49378-F1-model_v3	AF-Q9SFT8-F1-model_v3	NA	NA	1.32e-09	766.93	5.593E-15	867	gold
O49408	O04147	AF-O49408-F1-model_v3	AF-O04147-F1-model_v3	NA	NA	0.00e+00	474.16	2.177E-23	974	gold
O49413	F4ICK8	AF-O49413-F1-model_v3	AF-F4ICK8-F1-model_v3	NA	NA	1.62e-06	728.29	2.612E-24	1170	gold
O49653	O22145	AF-O49653-F1-model_v3	AF-O22145-F1-model_v3	NA	NA	0.00e+00	811.05	3.612E-25	1080	gold
O49668	Q9LTD9	AF-O49668-F1-model_v3	AF-Q9LTD9-F1-model_v3	NA	NA	2.08e-07	320.04	4.961E-07	343	gold
O49715	Q9LTR0	AF-O49715-F1-model_v3	AF-Q9LTR0-F1-model_v3	NA	NA	2.25e-02	139.05	9.011E-04	178	gold
O50061	Q8VY61	AF-O50061-F1-model_v3	AF-Q8VY61-F1-model_v3	NA	NA	2.19e-12	595.18	1.646E-19	759	gold
O64792	B3H5S3	AF-O64792-F1-model_v3	AF-B3H5S3-F1-model_v3	NA	NA	1.71e-12	352.05	5.410E-15	535	gold
O64885	F4KI15	AF-O64885-F1-model_v3	AF-F4KI15-F1-model_v3	NA	NA	5.27e-08	474.11	7.187E-23	952	gold
O64886	Q93YP7	AF-O64886-F1-model_v3	AF-Q93YP7-F1-model_v3	NA	NA	3.64e-11	725.37	4.595E-10	622	gold
O65415	B3H479	AF-O65415-F1-model_v3	AF-B3H479-F1-model_v3	NA	NA	4.13e-04	329.84	1.987E-08	337	gold
O80535	Q9LRN9	AF-O80535-F1-model_v3	AF-Q9LRN9-F1-model_v3	NA	NA	1.03e-14	430.75	4.799E-12	483	gold
O80607	Q9LVA9	AF-O80607-F1-model_v3	AF-Q9LVA9-F1-model_v3	NA	NA	2.42e-02	345.80	3.758E-06	268	gold
O80720	A0A1I9LNH8	AF-O80720-F1-model_v3	AF-A0A1I9LNH8-F1-model_v3	NA	NA	0.00e+00	580.85	1.678E-18	1016	gold
O80846	Q84K50	AF-O80846-F1-model_v3	AF-Q84K50-F1-model_v3	NA	NA	8.06e-05	362.27	8.418E-10	443	gold
O80990	F4JVW1	AF-O80990-F1-model_v3	AF-F4JVW1-F1-model_v3	NA	NA	0.00e+00	885.06	5.223E-46	2231	gold
O80996	E5KGE0	AF-O80996-F1-model_v3	AF-E5KGE0-F1-model_v3	NA	NA	1.07e-09	851.19	6.562E-26	1078	gold
