Uniprot_arabadopsis	Uniprot_pombe	AlphaFold_arabadopsis	AlphaFold_pombe	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q9M169	O13899	AF-Q9M169-F1-model_v3	AF-O13899-F1-model_v3	3.6e-49	172.2	2.22e-14	744.02	4.742E-33	1282	platinum
Q9M1A5	Q10206	AF-Q9M1A5-F1-model_v3	AF-Q10206-F1-model_v3	7.3e-81	258.1	0.00e+00	935.63	2.912E-42	1661	platinum
Q9M1G5	Q10198	AF-Q9M1G5-F1-model_v3	AF-Q10198-F1-model_v3	6.8e-10	59.3	1.07e-09	1316.61	2.230E-12	563	platinum
Q9M1J8	Q10107	AF-Q9M1J8-F1-model_v3	AF-Q10107-F1-model_v3	8.3e-57	184.9	5.87e-14	632.92	1.733E-29	1159	platinum
Q9M1J9	O74879	AF-Q9M1J9-F1-model_v3	AF-O74879-F1-model_v3	4.2e-127	389.4	7.91e-10	1434.97	2.838E-61	2686	platinum
Q9M1Q0	Q76PD2	AF-Q9M1Q0-F1-model_v3	AF-Q76PD2-F1-model_v3	6.9e-45	170.6	4.41e-06	1070.25	3.641E-27	1126	platinum
Q9M1R2	O60155	AF-Q9M1R2-F1-model_v3	AF-O60155-F1-model_v3	6.6e-205	585.1	0.00e+00	1324.15	6.508E-77	3107	platinum
Q9M206	O43002	AF-Q9M206-F1-model_v3	AF-O43002-F1-model_v3	5.1e-09	46.6	2.76e-04	140.84	NA	NA	gold
Q9M223	Q10106	AF-Q9M223-F1-model_v3	AF-Q10106-F1-model_v3	5.6e-29	107.1	0.00e+00	529.38	2.697E-15	594	platinum
Q9M2T9	O14000	AF-Q9M2T9-F1-model_v3	AF-O14000-F1-model_v3	6.0e-92	292.0	0.00e+00	1244.37	1.438E-46	2146	platinum
Q9M2U2	O94511	AF-Q9M2U2-F1-model_v3	AF-O94511-F1-model_v3	3.9e-43	147.9	0.00e+00	670.63	1.223E-21	993	platinum
Q9M336	Q9US43	AF-Q9M336-F1-model_v3	AF-Q9US43-F1-model_v3	1.5e-33	119.8	NA	NA	NA	NA	silver
Q9M367	P87117	AF-Q9M367-F1-model_v3	AF-P87117-F1-model_v3	3.0e-32	126.7	2.93e-09	944.28	6.634E-25	1043	platinum
Q9M3D2	O74904	AF-Q9M3D2-F1-model_v3	AF-O74904-F1-model_v3	4.8e-40	127.9	0.00e+00	359.70	1.223E-12	537	platinum
Q9M4A2	P40384	AF-Q9M4A2-F1-model_v3	AF-P40384-F1-model_v3	5.1e-29	112.8	0.00e+00	802.93	1.776E-25	1171	platinum
Q9M7X7	Q92366	AF-Q9M7X7-F1-model_v3	AF-Q92366-F1-model_v3	8.2e-16	62.0	2.68e-11	167.66	1.040E-05	201	platinum
Q9M837	Q10355	AF-Q9M837-F1-model_v3	AF-Q10355-F1-model_v3	6.5e-33	117.1	NA	NA	5.199E-16	626	gold
Q9M876	O74890	AF-Q9M876-F1-model_v3	AF-O74890-F1-model_v3	5.8e-65	215.3	0.00e+00	1010.11	2.846E-37	1690	platinum
Q9M8M7	O74548	AF-Q9M8M7-F1-model_v3	AF-O74548-F1-model_v3	1.1e-100	306.2	0.00e+00	1068.60	2.405E-46	1934	platinum
Q9M8Z5	O74791	AF-Q9M8Z5-F1-model_v3	AF-O74791-F1-model_v3	4.5e-69	228.8	1.17e-11	933.34	3.615E-35	1438	platinum
Q9M9G6	Q9P6P7	AF-Q9M9G6-F1-model_v3	AF-Q9P6P7-F1-model_v3	2.5e-28	114.0	2.27e-05	730.94	9.699E-20	836	platinum
Q9M9G7	Q9HGP5	AF-Q9M9G7-F1-model_v3	AF-Q9HGP5-F1-model_v3	6.8e-64	198.7	0.00e+00	652.44	1.047E-26	1117	platinum
Q9M9L0	Q9UT86	AF-Q9M9L0-F1-model_v3	AF-Q9UT86-F1-model_v3	3.0e-39	123.2	2.19e-13	212.43	1.842E-11	466	platinum
Q9M9U3	O13737	AF-Q9M9U3-F1-model_v3	AF-O13737-F1-model_v3	5.3e-27	100.5	4.11e-15	439.06	8.271E-09	481	platinum
Q9M9Y6	O94285	AF-Q9M9Y6-F1-model_v3	AF-O94285-F1-model_v3	4.5e-31	110.5	0.00e+00	497.20	7.644E-19	884	platinum
Q9MA79	P09202	AF-Q9MA79-F1-model_v3	AF-P09202-F1-model_v3	1.2e-108	318.9	0.00e+00	884.08	5.418E-49	1933	platinum
Q9MA98	Q06182	AF-Q9MA98-F1-model_v3	AF-Q06182-F1-model_v3	4.4e-59	191.0	3.33e-16	623.49	9.313E-26	1067	platinum
Q9MAA7	Q9US38	AF-Q9MAA7-F1-model_v3	AF-Q9US38-F1-model_v3	6.3e-23	95.5	NA	NA	NA	NA	silver
Q9MAB2	Q9UU80	AF-Q9MAB2-F1-model_v3	AF-Q9UU80-F1-model_v3	3.7e-04	36.2	7.83e-03	189.10	NA	NA	gold
Q9MAB3	Q9P7S7	AF-Q9MAB3-F1-model_v3	AF-Q9P7S7-F1-model_v3	1.3e-159	462.2	0.00e+00	1269.75	5.664E-44	2321	platinum
Q9MAC6	O74828	AF-Q9MAC6-F1-model_v3	AF-O74828-F1-model_v3	3.2e-68	235.0	1.11e-05	895.59	8.619E-40	1548	platinum
Q9MAQ0	Q9Y719	AF-Q9MAQ0-F1-model_v3	AF-Q9Y719-F1-model_v3	8.9e-13	69.3	NA	NA	NA	NA	silver
Q9MAR2	O14179	AF-Q9MAR2-F1-model_v3	AF-O14179-F1-model_v3	3.5e-59	189.9	1.14e-14	653.23	1.575E-28	1191	platinum
Q9MAU3	O74462	AF-Q9MAU3-F1-model_v3	AF-O74462-F1-model_v3	3.0e-101	311.2	0.00e+00	1023.71	3.111E-29	1630	platinum
Q9MB58	Q8TFH0	AF-Q9MB58-F1-model_v3	AF-Q8TFH0-F1-model_v3	1.3e-86	285.0	1.10e-12	1180.97	NA	NA	gold
Q9MBA3	P50531	AF-Q9MBA3-F1-model_v3	AF-P50531-F1-model_v3	1.3e-23	102.8	2.92e-07	849.86	1.158E-22	1140	platinum
Q9S795	O59808	AF-Q9S795-F1-model_v3	AF-O59808-F1-model_v3	2.6e-143	419.1	NA	NA	1.547E-68	2764	gold
Q9S7C0	O59838	AF-Q9S7C0-F1-model_v3	AF-O59838-F1-model_v3	4.6e-170	507.3	0.00e+00	1816.13	1.188E-71	3428	platinum
Q9S826	O13823	AF-Q9S826-F1-model_v3	AF-O13823-F1-model_v3	5.5e-86	257.3	0.00e+00	759.28	5.357E-38	1527	platinum
Q9SA18	O94671	AF-Q9SA18-F1-model_v3	AF-O94671-F1-model_v3	3.1e-92	294.7	NA	NA	1.725E-39	1839	gold
Q9SA27	Q9HGM5	AF-Q9SA27-F1-model_v3	AF-Q9HGM5-F1-model_v3	1.9e-117	350.9	NA	NA	9.982E-52	2039	gold
Q9SA34	O14344	AF-Q9SA34-F1-model_v3	AF-O14344-F1-model_v3	7.4e-127	377.9	0.00e+00	1223.45	2.602E-60	2485	platinum
Q9SA55	O94406	AF-Q9SA55-F1-model_v3	AF-O94406-F1-model_v3	1.3e-25	104.4	4.09e-10	664.41	4.239E-13	737	platinum
Q9SA73	O13998	AF-Q9SA73-F1-model_v3	AF-O13998-F1-model_v3	1.9e-137	396.0	0.00e+00	1015.55	2.852E-53	2121	platinum
Q9SA98	O60066	AF-Q9SA98-F1-model_v3	AF-O60066-F1-model_v3	3.3e-32	120.2	0.00e+00	580.78	2.034E-26	1074	platinum
Q9SAA9	Q09736	AF-Q9SAA9-F1-model_v3	AF-Q09736-F1-model_v3	3.9e-81	258.5	0.00e+00	1209.52	6.120E-33	1729	platinum
Q9SAF1	P32390	AF-Q9SAF1-F1-model_v3	AF-P32390-F1-model_v3	6.4e-163	463.4	0.00e+00	1092.83	1.187E-57	2459	platinum
Q9SAG7	Q9P6R9	AF-Q9SAG7-F1-model_v3	AF-Q9P6R9-F1-model_v3	2.6e-188	562.4	8.36e-11	1534.35	1.766E-41	2466	platinum
Q9SAK4	Q9US47	AF-Q9SAK4-F1-model_v3	AF-Q9US47-F1-model_v3	1.9e-167	483.4	0.00e+00	1457.55	6.618E-71	2981	platinum
Q9SBB2	Q92338	AF-Q9SBB2-F1-model_v3	AF-Q92338-F1-model_v3	3.6e-112	347.1	3.43e-13	1334.17	1.138E-39	2031	platinum
Q9SBJ1	Q9P6P9	AF-Q9SBJ1-F1-model_v3	AF-Q9P6P9-F1-model_v3	6.9e-84	259.2	0.00e+00	832.75	1.177E-31	1609	platinum
Q9SCJ4	O59751	AF-Q9SCJ4-F1-model_v3	AF-O59751-F1-model_v3	1.7e-82	278.5	1.34e-10	1497.69	7.197E-47	2028	platinum
Q9SCY0	O74374	AF-Q9SCY0-F1-model_v3	AF-O74374-F1-model_v3	8.3e-216	610.5	0.00e+00	1504.18	9.269E-79	3418	platinum
Q9SD61	O94290	AF-Q9SD61-F1-model_v3	AF-O94290-F1-model_v3	1.4e-39	137.5	NA	NA	6.155E-17	647	gold
Q9SE51	Q9Y810	AF-Q9SE51-F1-model_v3	AF-Q9Y810-F1-model_v3	3.6e-20	87.0	5.47e-10	486.74	6.181E-17	725	platinum
Q9SEE5	Q9HDU2	AF-Q9SEE5-F1-model_v3	AF-Q9HDU2-F1-model_v3	6.3e-71	232.6	0.00e+00	1110.75	1.795E-44	1981	platinum
Q9SEI2	O14126	AF-Q9SEI2-F1-model_v3	AF-O14126-F1-model_v3	1.3e-205	572.0	0.00e+00	1204.67	5.917E-68	2704	platinum
Q9SEI3	O74445	AF-Q9SEI3-F1-model_v3	AF-O74445-F1-model_v3	4.1e-202	560.1	0.00e+00	1149.89	2.693E-67	2625	platinum
Q9SEI4	O74894	AF-Q9SEI4-F1-model_v3	AF-O74894-F1-model_v3	3.9e-205	568.2	0.00e+00	1107.81	3.820E-66	2542	platinum
Q9SEZ6	Q10236	AF-Q9SEZ6-F1-model_v3	AF-Q10236-F1-model_v3	1.1e-61	196.4	0.00e+00	600.15	7.734E-25	1031	platinum
Q9SF16	P87153	AF-Q9SF16-F1-model_v3	AF-P87153-F1-model_v3	4.6e-241	672.2	0.00e+00	1527.39	6.150E-67	3388	platinum
Q9SF33	Q9UT37	AF-Q9SF33-F1-model_v3	AF-Q9UT37-F1-model_v3	3.0e-24	87.8	1.84e-10	256.33	4.486E-08	359	platinum
Q9SF85	P78825	AF-Q9SF85-F1-model_v3	AF-P78825-F1-model_v3	3.2e-92	276.9	0.00e+00	931.94	2.696E-42	1785	platinum
Q9SFD5	Q9P7J7	AF-Q9SFD5-F1-model_v3	AF-Q9P7J7-F1-model_v3	2.9e-41	152.1	1.89e-10	930.99	1.346E-25	1147	platinum
Q9SFH9	P78974	AF-Q9SFH9-F1-model_v3	AF-P78974-F1-model_v3	1.5e-60	198.0	0.00e+00	917.87	2.022E-34	1467	platinum
Q9SFV7	O13774	AF-Q9SFV7-F1-model_v3	AF-O13774-F1-model_v3	1.3e-30	116.3	5.17e-08	466.19	1.389E-16	761	platinum
Q9SGE9	O42849	AF-Q9SGE9-F1-model_v3	AF-O42849-F1-model_v3	2.4e-176	510.4	0.00e+00	1569.48	2.295E-83	3503	platinum
Q9SGH2	Q9HDV4	AF-Q9SGH2-F1-model_v3	AF-Q9HDV4-F1-model_v3	4.8e-12	69.3	NA	NA	NA	NA	silver
Q9SGP9	Q9P7W0	AF-Q9SGP9-F1-model_v3	AF-Q9P7W0-F1-model_v3	4.3e-18	75.9	2.57e-10	424.95	2.895E-07	317	platinum
Q9SGS1	O94396	AF-Q9SGS1-F1-model_v3	AF-O94396-F1-model_v3	1.7e-48	172.2	1.39e-09	840.86	6.509E-32	1361	platinum
Q9SGT7	O94514	AF-Q9SGT7-F1-model_v3	AF-O94514-F1-model_v3	2.1e-183	521.9	0.00e+00	1349.82	1.012E-47	2521	platinum
Q9SGW3	P50524	AF-Q9SGW3-F1-model_v3	AF-P50524-F1-model_v3	1.6e-40	139.0	1.89e-15	597.91	5.617E-16	802	platinum
Q9SH30	O59666	AF-Q9SH30-F1-model_v3	AF-O59666-F1-model_v3	2.7e-167	511.5	0.00e+00	2259.18	1.400E-76	4036	platinum
Q9SHL7	P37202	AF-Q9SHL7-F1-model_v3	AF-P37202-F1-model_v3	9.4e-252	729.6	0.00e+00	2331.94	0.000E+00	4851	platinum
Q9SHS2	O13670	AF-Q9SHS2-F1-model_v3	AF-O13670-F1-model_v3	5.5e-134	408.7	0.00e+00	1630.44	1.184E-66	2946	platinum
Q9SI32	Q9UT84	AF-Q9SI32-F1-model_v3	AF-Q9UT84-F1-model_v3	7.9e-40	143.7	7.39e-06	460.08	1.636E-19	868	platinum
Q9SI54	O74499	AF-Q9SI54-F1-model_v3	AF-O74499-F1-model_v3	2.0e-33	109.8	6.66e-16	253.93	7.525E-12	536	platinum
Q9SI58	Q09817	AF-Q9SI58-F1-model_v3	AF-Q09817-F1-model_v3	8.9e-134	395.2	0.00e+00	1252.30	4.637E-63	2632	platinum
Q9SIC4	Q09907	AF-Q9SIC4-F1-model_v3	AF-Q09907-F1-model_v3	2.5e-69	219.9	2.22e-16	632.80	1.264E-20	1075	platinum
Q9SIH1	P87051	AF-Q9SIH1-F1-model_v3	AF-P87051-F1-model_v3	2.0e-75	220.3	0.00e+00	455.01	1.717E-26	1126	platinum
Q9SIR5	Q10212	AF-Q9SIR5-F1-model_v3	AF-Q10212-F1-model_v3	7.8e-74	226.9	0.00e+00	763.95	4.701E-34	1410	platinum
Q9SIU2	O14253	AF-Q9SIU2-F1-model_v3	AF-O14253-F1-model_v3	4.7e-36	144.1	0.00e+00	1452.01	2.160E-20	1403	platinum
Q9SJ20	P36602	AF-Q9SJ20-F1-model_v3	AF-P36602-F1-model_v3	0.0e+00	1086.6	0.00e+00	2244.37	0.000E+00	5382	platinum
Q9SJB9	P55877	AF-Q9SJB9-F1-model_v3	AF-P55877-F1-model_v3	3.3e-42	134.8	1.28e-14	346.65	1.729E-19	758	platinum
Q9SJM7	Q9P6J4	AF-Q9SJM7-F1-model_v3	AF-Q9P6J4-F1-model_v3	7.1e-67	210.7	0.00e+00	819.08	1.305E-33	1340	platinum
Q9SJT1	O42939	AF-Q9SJT1-F1-model_v3	AF-O42939-F1-model_v3	3.4e-120	370.9	9.76e-13	1163.45	5.903E-49	2158	platinum
Q9SJT4	O74400	AF-Q9SJT4-F1-model_v3	AF-O74400-F1-model_v3	2.5e-30	125.9	1.95e-08	1121.36	1.108E-41	1727	platinum
Q9SK34	O42650	AF-Q9SK34-F1-model_v3	AF-O42650-F1-model_v3	1.9e-98	305.1	9.72e-13	1052.42	4.715E-42	1774	platinum
Q9SK69	Q9UT73	AF-Q9SK69-F1-model_v3	AF-Q9UT73-F1-model_v3	6.9e-59	205.7	2.15e-12	1055.22	5.418E-44	1896	platinum
Q9SK74	Q9USV4	AF-Q9SK74-F1-model_v3	AF-Q9USV4-F1-model_v3	5.1e-25	100.9	8.82e-06	460.79	5.911E-12	501	platinum
Q9SKI2	O14177	AF-Q9SKI2-F1-model_v3	AF-O14177-F1-model_v3	9.6e-27	100.1	7.05e-10	466.83	9.307E-10	432	platinum
Q9SKL4	P87155	AF-Q9SKL4-F1-model_v3	AF-P87155-F1-model_v3	2.4e-46	152.5	0.00e+00	623.43	1.797E-16	850	platinum
Q9SKQ0	P18253	AF-Q9SKQ0-F1-model_v3	AF-P18253-F1-model_v3	4.6e-76	222.6	NA	NA	5.928E-29	1168	gold
Q9SKU8	Q9Y7P0	AF-Q9SKU8-F1-model_v3	AF-Q9Y7P0-F1-model_v3	5.2e-61	189.9	0.00e+00	542.10	1.170E-24	1071	platinum
Q9SL02	Q9UTJ8	AF-Q9SL02-F1-model_v3	AF-Q9UTJ8-F1-model_v3	9.0e-128	424.5	1.46e-09	3360.53	1.540E-87	3719	platinum
Q9SL42	O74448	AF-Q9SL42-F1-model_v3	AF-O74448-F1-model_v3	1.5e-33	112.8	1.11e-16	307.35	1.666E-16	625	platinum
Q9SL48	O74534	AF-Q9SL48-F1-model_v3	AF-O74534-F1-model_v3	1.2e-126	385.6	0.00e+00	1386.08	6.555E-53	2449	platinum
Q9SLN5	O59730	AF-Q9SLN5-F1-model_v3	AF-O59730-F1-model_v3	1.4e-127	370.5	0.00e+00	905.10	1.535E-49	2001	platinum
Q9SMT7	O74976	AF-Q9SMT7-F1-model_v3	AF-O74976-F1-model_v3	4.4e-156	452.6	0.00e+00	1336.73	3.584E-69	2738	platinum
Q9SMZ4	O59711	AF-Q9SMZ4-F1-model_v3	AF-O59711-F1-model_v3	1.0e-84	279.6	0.00e+00	1153.86	2.874E-43	2097	platinum
Q9SP08	O42872	AF-Q9SP08-F1-model_v3	AF-O42872-F1-model_v3	4.2e-49	159.5	0.00e+00	642.97	1.069E-27	1146	platinum
Q9SPE6	Q9P4X4	AF-Q9SPE6-F1-model_v3	AF-Q9P4X4-F1-model_v3	3.7e-47	157.5	0.00e+00	807.83	2.215E-20	1150	platinum
Q9SPK5	Q8WZJ7	AF-Q9SPK5-F1-model_v3	AF-Q8WZJ7-F1-model_v3	2.9e-273	771.5	0.00e+00	1818.68	0.000E+00	4141	platinum
Q9SQT5	O74394	AF-Q9SQT5-F1-model_v3	AF-O74394-F1-model_v3	2.9e-12	52.8	8.64e-11	140.86	2.994E-05	259	platinum
Q9SQZ9	Q9USR1	AF-Q9SQZ9-F1-model_v3	AF-Q9USR1-F1-model_v3	1.2e-31	113.2	5.00e-15	382.79	6.282E-20	841	platinum
Q9SR06	Q10299	AF-Q9SR06-F1-model_v3	AF-Q10299-F1-model_v3	7.5e-65	213.4	0.00e+00	1006.26	2.037E-46	1910	platinum
Q9SR15	Q09692	AF-Q9SR15-F1-model_v3	AF-Q09692-F1-model_v3	5.3e-150	428.3	0.00e+00	1113.22	1.101E-50	2248	platinum
Q9SR52	O00084	AF-Q9SR52-F1-model_v3	AF-O00084-F1-model_v3	0.0e+00	988.0	0.00e+00	2354.78	0.000E+00	5513	platinum
Q9SR71	O13722	AF-Q9SR71-F1-model_v3	AF-O13722-F1-model_v3	3.1e-30	120.9	5.89e-04	453.51	5.814E-12	452	platinum
Q9SR73	P0CT80	AF-Q9SR73-F1-model_v3	AF-P0CT80-F1-model_v3	5.6e-25	85.5	NA	NA	NA	NA	silver
Q9SRP6	Q1MTR0	AF-Q9SRP6-F1-model_v3	AF-Q1MTR0-F1-model_v3	2.1e-37	125.9	0.00e+00	437.04	4.715E-13	664	platinum
Q9SS17	O59865	AF-Q9SS17-F1-model_v3	AF-O59865-F1-model_v3	1.0e-46	145.6	2.52e-13	331.81	NA	NA	gold
Q9SS48	O14400	AF-Q9SS48-F1-model_v3	AF-O14400-F1-model_v3	3.9e-135	407.9	0.00e+00	1484.26	1.891E-58	2758	platinum
Q9SS94	O14325	AF-Q9SS94-F1-model_v3	AF-O14325-F1-model_v3	2.1e-172	515.0	1.56e-11	1690.58	4.461E-66	3021	platinum
Q9SSB5	O42931	AF-Q9SSB5-F1-model_v3	AF-O42931-F1-model_v3	1.2e-232	640.6	0.00e+00	1212.68	6.113E-73	2884	platinum
Q9SSD2	O14187	AF-Q9SSD2-F1-model_v3	AF-O14187-F1-model_v3	0.0e+00	3560.8	0.00e+00	6798.22	0.000E+00	16912	platinum
Q9STG6	Q9P6Q5	AF-Q9STG6-F1-model_v3	AF-Q9P6Q5-F1-model_v3	8.6e-65	193.0	0.00e+00	407.40	5.921E-21	929	platinum
Q9STS3	O94556	AF-Q9STS3-F1-model_v3	AF-O94556-F1-model_v3	3.6e-71	236.9	0.00e+00	1407.39	NA	NA	gold
Q9STT2	Q9UTI5	AF-Q9STT2-F1-model_v3	AF-Q9UTI5-F1-model_v3	1.8e-61	187.2	0.00e+00	500.70	4.953E-27	1126	platinum
Q9SU24	P54789	AF-Q9SU24-F1-model_v3	AF-P54789-F1-model_v3	2.1e-75	257.3	2.32e-10	1252.15	1.366E-49	2198	platinum
Q9SU27	Q9P787	AF-Q9SU27-F1-model_v3	AF-Q9P787-F1-model_v3	9.7e-53	169.5	0.00e+00	561.75	1.161E-17	803	platinum
Q9SU83	O94323	AF-Q9SU83-F1-model_v3	AF-O94323-F1-model_v3	7.7e-76	244.6	1.11e-16	1006.50	2.149E-40	1587	platinum
Q9SUC5	O13846	AF-Q9SUC5-F1-model_v3	AF-O13846-F1-model_v3	3.6e-45	152.1	0.00e+00	572.06	5.337E-16	847	platinum
Q9SUJ6	P87027	AF-Q9SUJ6-F1-model_v3	AF-P87027-F1-model_v3	1.3e-60	189.1	0.00e+00	527.25	4.462E-25	1013	platinum
Q9SUM2	O59734	AF-Q9SUM2-F1-model_v3	AF-O59734-F1-model_v3	5.8e-35	112.1	0.00e+00	215.57	9.739E-12	533	platinum
Q9SUM3	P36587	AF-Q9SUM3-F1-model_v3	AF-P36587-F1-model_v3	3.1e-86	283.5	0.00e+00	1386.26	1.017E-54	2278	platinum
Q9SVA6	Q9UT21	AF-Q9SVA6-F1-model_v3	AF-Q9UT21-F1-model_v3	2.2e-172	482.6	0.00e+00	1004.29	8.381E-61	2427	platinum
Q9SVN5	Q9UUF2	AF-Q9SVN5-F1-model_v3	AF-Q9UUF2-F1-model_v3	1.0e-220	638.3	0.00e+00	1591.15	3.017E-78	3426	platinum
Q9SVN9	Q9URY3	AF-Q9SVN9-F1-model_v3	AF-Q9URY3-F1-model_v3	2.7e-54	189.1	NA	NA	9.921E-18	1069	gold
Q9SVW7	Q9UTK2	AF-Q9SVW7-F1-model_v3	AF-Q9UTK2-F1-model_v3	5.2e-45	142.5	0.00e+00	406.05	3.764E-19	766	platinum
Q9SVY0	P15398	AF-Q9SVY0-F1-model_v3	AF-P15398-F1-model_v3	7.9e-309	926.4	0.00e+00	3635.53	0.000E+00	6756	platinum
Q9SW00	Q9UUA1	AF-Q9SW00-F1-model_v3	AF-Q9UUA1-F1-model_v3	1.2e-29	117.1	0.00e+00	870.32	1.093E-27	1219	platinum
Q9SW44	O60080	AF-Q9SW44-F1-model_v3	AF-O60080-F1-model_v3	1.9e-115	355.1	8.38e-13	1220.74	1.360E-47	2030	platinum
Q9SXA1	Q9USR3	AF-Q9SXA1-F1-model_v3	AF-Q9USR3-F1-model_v3	2.7e-103	367.1	7.83e-09	3479.81	2.026E-56	3830	platinum
Q9SXY1	O13985	AF-Q9SXY1-F1-model_v3	AF-O13985-F1-model_v3	2.8e-51	179.9	2.22e-16	948.21	1.972E-37	1800	platinum
Q9SY59	O74853	AF-Q9SY59-F1-model_v3	AF-O74853-F1-model_v3	1.4e-113	378.3	2.93e-06	1883.22	7.087E-68	2871	platinum
Q9SYB8	Q9UT70	AF-Q9SYB8-F1-model_v3	AF-Q9UT70-F1-model_v3	3.2e-22	85.1	NA	NA	1.895E-12	506	gold
Q9SYH2	Q09869	AF-Q9SYH2-F1-model_v3	AF-Q09869-F1-model_v3	1.3e-27	99.8	9.33e-11	333.71	1.934E-11	434	platinum
Q9SYM4	P40387	AF-Q9SYM4-F1-model_v3	AF-P40387-F1-model_v3	1.9e-155	465.7	NA	NA	NA	NA	silver
Q9SYM5	Q9HDU4	AF-Q9SYM5-F1-model_v3	AF-Q9HDU4-F1-model_v3	5.5e-62	208.8	0.00e+00	802.49	5.813E-33	1390	platinum
Q9SZ30	O94303	AF-Q9SZ30-F1-model_v3	AF-O94303-F1-model_v3	1.5e-192	549.7	0.00e+00	1314.68	3.511E-74	2991	platinum
Q9SZA4	P78972	AF-Q9SZA4-F1-model_v3	AF-P78972-F1-model_v3	2.6e-111	335.1	4.27e-13	1022.47	NA	NA	gold
Q9SZD4	P36612	AF-Q9SZD4-F1-model_v3	AF-P36612-F1-model_v3	1.1e-218	606.3	0.00e+00	1232.94	2.670E-72	2813	platinum
Q9SZG0	Q09910	AF-Q9SZG0-F1-model_v3	AF-Q09910-F1-model_v3	1.4e-20	90.5	3.23e-09	757.31	NA	NA	gold
Q9SZH0	O74174	AF-Q9SZH0-F1-model_v3	AF-O74174-F1-model_v3	5.2e-08	45.1	1.54e-14	311.02	NA	NA	gold
Q9SZJ5	Q10104	AF-Q9SZJ5-F1-model_v3	AF-Q10104-F1-model_v3	3.8e-205	576.6	NA	NA	9.016E-69	3027	gold
Q9SZX3	O94354	AF-Q9SZX3-F1-model_v3	AF-O94354-F1-model_v3	2.0e-106	321.2	0.00e+00	1059.57	2.240E-47	1985	platinum
Q9T034	O42870	AF-Q9T034-F1-model_v3	AF-O42870-F1-model_v3	6.4e-158	455.7	0.00e+00	1337.78	2.743E-63	2743	platinum
Q9T091	Q10243	AF-Q9T091-F1-model_v3	AF-Q10243-F1-model_v3	1.3e-101	297.7	0.00e+00	874.89	8.655E-38	1902	platinum
Q9T0J6	Q9UTH9	AF-Q9T0J6-F1-model_v3	AF-Q9UTH9-F1-model_v3	1.1e-111	348.2	1.89e-15	1268.91	1.447E-51	2286	platinum
Q9XEA0	Q09828	AF-Q9XEA0-F1-model_v3	AF-Q09828-F1-model_v3	4.4e-180	543.1	0.00e+00	1889.79	8.477E-78	3533	platinum
Q9XEE9	O74878	AF-Q9XEE9-F1-model_v3	AF-O74878-F1-model_v3	1.8e-99	304.3	0.00e+00	1196.89	1.639E-42	2001	platinum
Q9XF67	Q12701	AF-Q9XF67-F1-model_v3	AF-Q12701-F1-model_v3	1.0e-70	233.8	5.04e-12	995.25	7.442E-39	1773	platinum
Q9XFD1	Q9P383	AF-Q9XFD1-F1-model_v3	AF-Q9P383-F1-model_v3	3.9e-56	176.0	NA	NA	7.274E-21	776	gold
Q9XFM6	O13995	AF-Q9XFM6-F1-model_v3	AF-O13995-F1-model_v3	6.2e-21	83.6	4.99e-10	334.54	3.253E-13	520	platinum
Q9XGM1	O59823	AF-Q9XGM1-F1-model_v3	AF-O59823-F1-model_v3	1.3e-60	191.0	0.00e+00	669.34	8.161E-22	895	platinum
Q9XGM2	Q09683	AF-Q9XGM2-F1-model_v3	AF-Q09683-F1-model_v3	2.1e-119	370.2	4.77e-15	1473.80	7.896E-63	2520	platinum
Q9XGX9	Q9P7K0	AF-Q9XGX9-F1-model_v3	AF-Q9P7K0-F1-model_v3	2.1e-21	78.2	2.42e-14	236.99	4.014E-06	249	platinum
Q9XHZ3	O14016	AF-Q9XHZ3-F1-model_v3	AF-O14016-F1-model_v3	2.6e-15	70.5	0.00e+00	552.76	1.655E-10	618	platinum
Q9XIE1	O74755	AF-Q9XIE1-F1-model_v3	AF-O74755-F1-model_v3	3.1e-53	201.4	NA	NA	NA	NA	silver
Q9XIK4	P87115	AF-Q9XIK4-F1-model_v3	AF-P87115-F1-model_v3	2.9e-304	869.8	0.00e+00	2513.72	0.000E+00	5205	platinum
Q9XIM2	Q9UT33	AF-Q9XIM2-F1-model_v3	AF-Q9UT33-F1-model_v3	9.6e-21	83.2	3.05e-07	190.08	4.281E-10	434	platinum
Q9ZNT0	Q09803	AF-Q9ZNT0-F1-model_v3	AF-Q09803-F1-model_v3	3.8e-145	418.7	0.00e+00	1109.77	3.376E-52	2258	platinum
Q9ZNT1	O74557	AF-Q9ZNT1-F1-model_v3	AF-O74557-F1-model_v3	1.3e-70	218.0	0.00e+00	750.56	3.976E-37	1461	platinum
Q9ZNW0	Q09810	AF-Q9ZNW0-F1-model_v3	AF-Q09810-F1-model_v3	1.8e-93	286.6	0.00e+00	942.45	1.323E-45	1830	platinum
Q9ZPH2	O74790	AF-Q9ZPH2-F1-model_v3	AF-O74790-F1-model_v3	2.6e-51	172.6	1.10e-11	567.23	3.332E-21	1003	platinum
Q9ZPH4	O59715	AF-Q9ZPH4-F1-model_v3	AF-O59715-F1-model_v3	3.8e-98	292.4	0.00e+00	919.09	2.197E-29	1611	platinum
