Uniprot_arabadopsis	Uniprot_sorghum	AlphaFold_arabadopsis	AlphaFold_sorghum	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q93WU6	A0A1Z5S5V5	AF-Q93WU6-F1-model_v3	AF-A0A1Z5S5V5-F1-model_v3	8.1e-85	260.0	NA	NA	NA	NA	silver
Q93WV0	A0A1B6QF72	AF-Q93WV0-F1-model_v3	AF-A0A1B6QF72-F1-model_v3	2.1e-117	360.5	1.39e-04	933.95	6.884E-35	1477	platinum
Q93WX6	A0A1B6PPN4	AF-Q93WX6-F1-model_v3	AF-A0A1B6PPN4-F1-model_v3	9.8e-221	617.5	0.00e+00	1306.49	2.240E-74	3120	platinum
Q93WY4	A0A194YS88	AF-Q93WY4-F1-model_v3	AF-A0A194YS88-F1-model_v3	5.4e-58	183.3	NA	NA	NA	NA	silver
Q93XM7	C5WRC1	AF-Q93XM7-F1-model_v3	AF-C5WRC1-F1-model_v3	2.0e-158	443.7	0.00e+00	832.48	6.895E-32	1818	platinum
Q93XX1	C5Z913	AF-Q93XX1-F1-model_v3	AF-C5Z913-F1-model_v3	2.6e-201	580.5	5.00e-15	1489.99	8.606E-46	2440	platinum
Q93XX3	C5XEK5	AF-Q93XX3-F1-model_v3	AF-C5XEK5-F1-model_v3	1.9e-200	561.2	0.00e+00	1125.60	1.461E-68	2750	platinum
Q93XY1	C5YH84	AF-Q93XY1-F1-model_v3	AF-C5YH84-F1-model_v3	2.2e-105	339.0	3.92e-06	1334.03	1.170E-35	1294	platinum
Q93XY7	A0A1B6QJ04	AF-Q93XY7-F1-model_v3	AF-A0A1B6QJ04-F1-model_v3	3.6e-86	260.0	5.55e-16	681.59	2.612E-21	1095	platinum
Q93XZ7	C5XZI6	AF-Q93XZ7-F1-model_v3	AF-C5XZI6-F1-model_v3	2.9e-51	165.6	NA	NA	NA	NA	silver
Q93Y06	A0A1B6PNM5	AF-Q93Y06-F1-model_v3	AF-A0A1B6PNM5-F1-model_v3	4.9e-138	420.6	4.88e-15	1453.11	6.684E-64	2739	platinum
Q93Y07	A0A1B6PU06	AF-Q93Y07-F1-model_v3	AF-A0A1B6PU06-F1-model_v3	9.6e-285	791.6	0.00e+00	1546.82	3.393E-85	3481	platinum
Q93Y08	C5XVP4	AF-Q93Y08-F1-model_v3	AF-C5XVP4-F1-model_v3	0.0e+00	1058.9	0.00e+00	1847.53	1.073E-80	4165	platinum
Q93Y16	C5Z5C9	AF-Q93Y16-F1-model_v3	AF-C5Z5C9-F1-model_v3	0.0e+00	978.8	0.00e+00	1858.49	1.064E-102	4435	platinum
Q93Y22	C5YTK4	AF-Q93Y22-F1-model_v3	AF-C5YTK4-F1-model_v3	1.7e-237	662.5	0.00e+00	1348.25	1.968E-76	3294	platinum
Q93Y35	A0A1Z5RNH6	AF-Q93Y35-F1-model_v3	AF-A0A1Z5RNH6-F1-model_v3	3.2e-223	615.1	0.00e+00	1151.45	7.325E-44	2429	platinum
Q93Y37	C5YUN6	AF-Q93Y37-F1-model_v3	AF-C5YUN6-F1-model_v3	3.1e-288	800.0	0.00e+00	1574.62	5.511E-79	3833	platinum
Q93Y38	C5Y282	AF-Q93Y38-F1-model_v3	AF-C5Y282-F1-model_v3	2.7e-128	366.7	3.31e-12	666.89	7.971E-22	1196	platinum
Q93Y39	A0A1Z5REK9	AF-Q93Y39-F1-model_v3	AF-A0A1Z5REK9-F1-model_v3	5.1e-246	708.4	2.82e-13	1757.74	NA	NA	gold
Q93Y91	C5Y9Q7	AF-Q93Y91-F1-model_v3	AF-C5Y9Q7-F1-model_v3	3.0e-194	551.6	NA	NA	NA	NA	silver
Q93YN0	A0A1B6QCX3	AF-Q93YN0-F1-model_v3	AF-A0A1B6QCX3-F1-model_v3	2.5e-47	156.0	4.76e-03	240.61	NA	NA	gold
Q93YN4	C5XU00	AF-Q93YN4-F1-model_v3	AF-C5XU00-F1-model_v3	4.0e-206	575.1	0.00e+00	1121.84	1.354E-63	2478	platinum
Q93YP7	A0A194YTA3	AF-Q93YP7-F1-model_v3	AF-A0A194YTA3-F1-model_v3	1.8e-169	480.3	2.22e-16	996.77	6.933E-35	2007	platinum
Q93YQ0	C5XK23	AF-Q93YQ0-F1-model_v3	AF-C5XK23-F1-model_v3	2.3e-131	376.3	0.00e+00	816.87	9.717E-48	1938	platinum
Q93YQ7	A0A1W0W606	AF-Q93YQ7-F1-model_v3	AF-A0A1W0W606-F1-model_v3	1.2e-229	642.9	NA	NA	6.852E-61	2937	gold
Q93YR2	C5WVA9	AF-Q93YR2-F1-model_v3	AF-C5WVA9-F1-model_v3	7.1e-144	414.8	NA	NA	4.165E-36	2007	gold
Q93YR3	A0A1Z5RK68	AF-Q93YR3-F1-model_v3	AF-A0A1Z5RK68-F1-model_v3	2.1e-71	231.5	2.02e-13	988.35	2.116E-36	1888	platinum
Q93YS4	C5WXT3	AF-Q93YS4-F1-model_v3	AF-C5WXT3-F1-model_v3	0.0e+00	947.2	0.00e+00	1868.76	5.580E-78	4279	platinum
Q93YS7	C5Z6Q2	AF-Q93YS7-F1-model_v3	AF-C5Z6Q2-F1-model_v3	0.0e+00	1281.5	0.00e+00	2415.33	0.000E+00	6395	platinum
Q93YU2	A0A1Z5R3J6	AF-Q93YU2-F1-model_v3	AF-A0A1Z5R3J6-F1-model_v3	1.4e-215	605.5	0.00e+00	1169.04	4.834E-51	2730	platinum
Q93YU5	C5X4S3	AF-Q93YU5-F1-model_v3	AF-C5X4S3-F1-model_v3	0.0e+00	1223.4	0.00e+00	2599.35	4.121E-86	5243	platinum
Q93YU8	C5WRI4	AF-Q93YU8-F1-model_v3	AF-C5WRI4-F1-model_v3	1.5e-219	637.5	3.04e-13	1692.42	3.832E-59	2934	platinum
Q93YV9	C5XN12	AF-Q93YV9-F1-model_v3	AF-C5XN12-F1-model_v3	3.8e-93	275.0	6.39e-13	574.77	1.488E-30	1264	platinum
Q93YW0	A0A1B6QK52	AF-Q93YW0-F1-model_v3	AF-A0A1B6QK52-F1-model_v3	3.4e-137	419.1	4.86e-07	1166.62	8.387E-53	2320	platinum
Q93YW7	C5XMC7	AF-Q93YW7-F1-model_v3	AF-C5XMC7-F1-model_v3	8.7e-101	300.4	4.68e-09	650.31	1.445E-25	1180	platinum
Q93Z00	C5Z727	AF-Q93Z00-F1-model_v3	AF-C5Z727-F1-model_v3	1.3e-46	166.8	NA	NA	NA	NA	silver
Q93Z08	A0A194YMI7	AF-Q93Z08-F1-model_v3	AF-A0A194YMI7-F1-model_v3	1.8e-237	659.1	NA	NA	5.492E-77	3032	gold
Q93Z10	A0A1W0VZB0	AF-Q93Z10-F1-model_v3	AF-A0A1W0VZB0-F1-model_v3	1.7e-188	541.2	0.00e+00	1201.80	2.573E-67	2854	platinum
Q93Z11	C5XVU8	AF-Q93Z11-F1-model_v3	AF-C5XVU8-F1-model_v3	2.7e-85	258.8	4.95e-11	726.99	3.328E-21	1148	platinum
Q93Z16	A0A1W0W123	AF-Q93Z16-F1-model_v3	AF-A0A1W0W123-F1-model_v3	1.7e-271	762.3	0.00e+00	1829.98	1.707E-82	3924	platinum
Q93Z17	C5YS26	AF-Q93Z17-F1-model_v3	AF-C5YS26-F1-model_v3	2.6e-66	200.3	8.22e-13	407.67	2.892E-22	946	platinum
Q93Z24	A0A1B6P9P7	AF-Q93Z24-F1-model_v3	AF-A0A1B6P9P7-F1-model_v3	1.8e-280	790.4	0.00e+00	1730.36	1.863E-102	4286	platinum
Q93Z30	C5XK33	AF-Q93Z30-F1-model_v3	AF-C5XK33-F1-model_v3	3.9e-160	461.5	0.00e+00	1141.69	1.424E-51	2378	platinum
Q93Z32	C5YN65	AF-Q93Z32-F1-model_v3	AF-C5YN65-F1-model_v3	1.2e-191	533.9	0.00e+00	1019.15	1.037E-45	2290	platinum
Q93Z34	C5Z6S5	AF-Q93Z34-F1-model_v3	AF-C5Z6S5-F1-model_v3	3.0e-231	646.7	0.00e+00	1356.97	NA	NA	gold
Q93Z51	A0A194YQC8	AF-Q93Z51-F1-model_v3	AF-A0A194YQC8-F1-model_v3	1.8e-79	237.3	0.00e+00	538.60	5.085E-28	1147	platinum
Q93Z55	C5X141	AF-Q93Z55-F1-model_v3	AF-C5X141-F1-model_v3	1.7e-90	267.7	0.00e+00	589.55	2.521E-32	1285	platinum
Q93Z58	C5WYJ7	AF-Q93Z58-F1-model_v3	AF-C5WYJ7-F1-model_v3	2.9e-19	73.9	1.87e-07	176.68	1.533E-05	227	platinum
Q93Z66	C5XIE7	AF-Q93Z66-F1-model_v3	AF-C5XIE7-F1-model_v3	1.3e-181	511.5	0.00e+00	1063.87	NA	NA	gold
Q93Z70	A0A1B6QJB9	AF-Q93Z70-F1-model_v3	AF-A0A1B6QJB9-F1-model_v3	2.3e-186	523.5	0.00e+00	1108.09	7.440E-66	2721	platinum
Q93Z79	C5X1N0	AF-Q93Z79-F1-model_v3	AF-C5X1N0-F1-model_v3	1.5e-149	439.5	NA	NA	2.554E-44	2374	gold
Q93Z91	C5XK38	AF-Q93Z91-F1-model_v3	AF-C5XK38-F1-model_v3	4.5e-180	511.9	0.00e+00	1152.84	1.173E-64	2560	platinum
Q93ZA0	C5XK97	AF-Q93ZA0-F1-model_v3	AF-C5XK97-F1-model_v3	2.4e-229	640.2	1.11e-16	1218.58	2.101E-65	2656	platinum
Q93ZB1	C5YHD0	AF-Q93ZB1-F1-model_v3	AF-C5YHD0-F1-model_v3	9.8e-31	108.2	2.90e-10	357.51	2.156E-18	770	platinum
Q93ZB2	C5Z521	AF-Q93ZB2-F1-model_v3	AF-C5Z521-F1-model_v3	4.9e-195	553.5	0.00e+00	1377.04	2.672E-53	2754	platinum
Q93ZB6	C5XR61	AF-Q93ZB6-F1-model_v3	AF-C5XR61-F1-model_v3	1.8e-201	562.0	0.00e+00	1105.70	1.718E-61	2639	platinum
Q93ZC9	C5YPP6	AF-Q93ZC9-F1-model_v3	AF-C5YPP6-F1-model_v3	5.6e-185	516.2	0.00e+00	1013.68	1.103E-55	2417	platinum
Q93ZD6	A0A1B6P6C2	AF-Q93ZD6-F1-model_v3	AF-A0A1B6P6C2-F1-model_v3	2.3e-177	501.5	0.00e+00	1022.12	1.706E-64	2508	platinum
Q93ZD7	C5WTI0	AF-Q93ZD7-F1-model_v3	AF-C5WTI0-F1-model_v3	9.8e-156	449.5	6.66e-16	1023.08	2.123E-41	1908	platinum
Q93ZE3	C5YL83	AF-Q93ZE3-F1-model_v3	AF-C5YL83-F1-model_v3	1.7e-90	279.3	0.00e+00	836.21	4.022E-35	1626	platinum
Q93ZE9	C5XT83	AF-Q93ZE9-F1-model_v3	AF-C5XT83-F1-model_v3	9.4e-208	591.3	NA	NA	NA	NA	silver
Q93ZF5	A0A194YJ40	AF-Q93ZF5-F1-model_v3	AF-A0A194YJ40-F1-model_v3	0.0e+00	905.6	0.00e+00	1970.13	1.087E-66	3802	platinum
Q93ZF7	A0A194YIU8	AF-Q93ZF7-F1-model_v3	AF-A0A194YIU8-F1-model_v3	5.7e-110	325.9	5.58e-07	765.04	NA	NA	gold
Q93ZG7	C5WXS7	AF-Q93ZG7-F1-model_v3	AF-C5WXS7-F1-model_v3	2.0e-181	518.1	0.00e+00	1215.57	2.052E-62	2465	platinum
Q93ZG9	C5Y997	AF-Q93ZG9-F1-model_v3	AF-C5Y997-F1-model_v3	7.9e-72	236.1	5.92e-06	950.07	7.067E-34	1543	platinum
Q93ZH0	C5XSX5	AF-Q93ZH0-F1-model_v3	AF-C5XSX5-F1-model_v3	1.8e-141	410.6	NA	NA	7.616E-54	2212	gold
Q93ZH3	A0A1B6PMN6	AF-Q93ZH3-F1-model_v3	AF-A0A1B6PMN6-F1-model_v3	6.1e-66	218.8	2.34e-06	684.56	1.120E-31	1334	platinum
Q93ZH7	A0A1B6P662	AF-Q93ZH7-F1-model_v3	AF-A0A1B6P662-F1-model_v3	6.8e-95	294.7	9.97e-06	825.26	2.383E-27	941	platinum
Q93ZH9	C5Z6P1	AF-Q93ZH9-F1-model_v3	AF-C5Z6P1-F1-model_v3	1.1e-115	339.7	NA	NA	1.722E-26	1475	gold
Q93ZI1	C5X5B0	AF-Q93ZI1-F1-model_v3	AF-C5X5B0-F1-model_v3	4.0e-123	345.5	0.00e+00	550.29	1.918E-36	1565	platinum
Q93ZI7	C5X6S8	AF-Q93ZI7-F1-model_v3	AF-C5X6S8-F1-model_v3	4.8e-151	462.2	6.66e-16	1681.25	1.119E-45	2710	platinum
Q93ZJ9	C5XPM3	AF-Q93ZJ9-F1-model_v3	AF-C5XPM3-F1-model_v3	1.1e-68	236.5	NA	NA	6.774E-22	744	gold
Q93ZM0	C5XQW4	AF-Q93ZM0-F1-model_v3	AF-C5XQW4-F1-model_v3	2.5e-293	827.8	0.00e+00	2047.80	1.257E-96	4591	platinum
Q93ZM6	A0A1B6PEV7	AF-Q93ZM6-F1-model_v3	AF-A0A1B6PEV7-F1-model_v3	2.9e-216	600.5	0.00e+00	1189.80	5.943E-76	2946	platinum
Q93ZM9	A0A1B6PKE6	AF-Q93ZM9-F1-model_v3	AF-A0A1B6PKE6-F1-model_v3	1.6e-13	65.9	2.27e-03	214.32	NA	NA	gold
Q93ZN3	A0A1Z5SCF2	AF-Q93ZN3-F1-model_v3	AF-A0A1Z5SCF2-F1-model_v3	3.9e-121	352.4	0.00e+00	844.22	1.964E-42	1808	platinum
Q93ZN4	A0A1W0W178	AF-Q93ZN4-F1-model_v3	AF-A0A1W0W178-F1-model_v3	2.2e-166	473.0	0.00e+00	956.75	1.345E-52	2145	platinum
Q93ZN5	C5WRW3	AF-Q93ZN5-F1-model_v3	AF-C5WRW3-F1-model_v3	6.8e-186	524.6	0.00e+00	1172.04	2.962E-59	2842	platinum
Q93ZN9	C5WNE7	AF-Q93ZN9-F1-model_v3	AF-C5WNE7-F1-model_v3	2.8e-261	717.6	0.00e+00	1283.45	3.415E-74	3341	platinum
Q93ZQ9	C5XFL2	AF-Q93ZQ9-F1-model_v3	AF-C5XFL2-F1-model_v3	4.8e-88	266.9	7.84e-09	695.29	1.129E-22	920	platinum
Q93ZR1	C5YAW5	AF-Q93ZR1-F1-model_v3	AF-C5YAW5-F1-model_v3	0.0e+00	1035.4	0.00e+00	1587.28	1.894E-100	4296	platinum
Q93ZS4	C5XNE5	AF-Q93ZS4-F1-model_v3	AF-C5XNE5-F1-model_v3	7.7e-255	715.3	0.00e+00	1603.19	3.086E-90	3882	platinum
Q93ZS6	A0A1B6PBR5	AF-Q93ZS6-F1-model_v3	AF-A0A1B6PBR5-F1-model_v3	6.7e-300	839.3	0.00e+00	1843.53	0.000E+00	4840	platinum
Q93ZT2	C5WQG6	AF-Q93ZT2-F1-model_v3	AF-C5WQG6-F1-model_v3	2.2e-33	115.2	7.58e-08	336.08	3.365E-15	574	platinum
Q93ZT5	C5XMI1	AF-Q93ZT5-F1-model_v3	AF-C5XMI1-F1-model_v3	3.2e-93	277.3	0.00e+00	646.33	1.613E-35	1409	platinum
Q93ZT6	C5YBI6	AF-Q93ZT6-F1-model_v3	AF-C5YBI6-F1-model_v3	1.5e-290	818.1	4.78e-10	1696.53	1.063E-54	3187	platinum
Q93ZV1	C5XEK7	AF-Q93ZV1-F1-model_v3	AF-C5XEK7-F1-model_v3	2.0e-110	318.9	0.00e+00	650.12	1.707E-26	1258	platinum
Q93ZV7	C5YBH2	AF-Q93ZV7-F1-model_v3	AF-C5YBH2-F1-model_v3	8.9e-114	341.3	4.44e-16	998.62	3.277E-46	1909	platinum
Q93ZV8	A0A194YJ98	AF-Q93ZV8-F1-model_v3	AF-A0A194YJ98-F1-model_v3	1.9e-33	136.0	1.11e-16	1499.72	3.275E-72	3118	platinum
Q93ZW3	C5WN82	AF-Q93ZW3-F1-model_v3	AF-C5WN82-F1-model_v3	1.4e-151	439.9	4.99e-08	923.49	5.775E-45	1849	platinum
Q93ZX1	C5WVW1	AF-Q93ZX1-F1-model_v3	AF-C5WVW1-F1-model_v3	4.6e-196	542.3	0.00e+00	967.06	2.236E-48	2359	platinum
Q93ZX4	C5X1A0	AF-Q93ZX4-F1-model_v3	AF-C5X1A0-F1-model_v3	1.6e-215	622.5	2.12e-09	1446.82	NA	NA	gold
Q93ZX6	A0A1Z5R8W0	AF-Q93ZX6-F1-model_v3	AF-A0A1Z5R8W0-F1-model_v3	3.7e-13	69.3	NA	NA	NA	NA	silver
Q93ZX7	C5YK73	AF-Q93ZX7-F1-model_v3	AF-C5YK73-F1-model_v3	1.1e-258	724.9	5.77e-15	1499.26	NA	NA	gold
Q93ZY2	C5X701	AF-Q93ZY2-F1-model_v3	AF-C5X701-F1-model_v3	1.1e-226	637.5	2.81e-13	1213.84	1.270E-50	2570	platinum
Q93ZZ7	A0A194YJF9	AF-Q93ZZ7-F1-model_v3	AF-A0A194YJF9-F1-model_v3	1.2e-41	142.1	NA	NA	1.353E-11	593	gold
Q940A2	A0A1B6Q434	AF-Q940A2-F1-model_v3	AF-A0A1B6Q434-F1-model_v3	4.1e-60	200.7	NA	NA	NA	NA	silver
Q940A5	C5WX85	AF-Q940A5-F1-model_v3	AF-C5WX85-F1-model_v3	8.1e-08	47.8	NA	NA	NA	NA	silver
Q940A7	A0A1W0W0H1	AF-Q940A7-F1-model_v3	AF-A0A1W0W0H1-F1-model_v3	5.6e-59	208.4	1.50e-02	758.57	1.813E-25	933	platinum
Q940B0	A0A1Z5S9X6	AF-Q940B0-F1-model_v3	AF-A0A1Z5S9X6-F1-model_v3	1.2e-111	316.2	0.00e+00	551.58	1.700E-37	1381	platinum
Q940B8	C5Z0I0	AF-Q940B8-F1-model_v3	AF-C5Z0I0-F1-model_v3	2.3e-305	857.1	8.85e-14	1620.22	1.016E-87	3654	platinum
Q940F4	C5YCI5	AF-Q940F4-F1-model_v3	AF-C5YCI5-F1-model_v3	1.3e-139	402.5	0.00e+00	1010.62	3.940E-33	1817	platinum
Q940G3	C5Y045	AF-Q940G3-F1-model_v3	AF-C5Y045-F1-model_v3	1.2e-44	142.5	1.11e-16	334.10	5.129E-18	675	platinum
Q940G6	B0S4S8	AF-Q940G6-F1-model_v3	AF-B0S4S8-F1-model_v3	9.3e-159	448.7	0.00e+00	933.36	2.509E-56	2232	platinum
Q940H5	C5X271	AF-Q940H5-F1-model_v3	AF-C5X271-F1-model_v3	2.5e-26	97.4	7.10e-05	279.65	8.824E-08	281	platinum
Q940I2	C5YN74	AF-Q940I2-F1-model_v3	AF-C5YN74-F1-model_v3	4.7e-149	423.7	0.00e+00	881.81	1.015E-47	1987	platinum
Q940I4	A0A1Z5RPL8	AF-Q940I4-F1-model_v3	AF-A0A1Z5RPL8-F1-model_v3	5.6e-97	282.7	0.00e+00	643.28	3.335E-39	1467	platinum
Q940I8	A0A1B6QH22	AF-Q940I8-F1-model_v3	AF-A0A1B6QH22-F1-model_v3	1.7e-104	315.5	4.35e-08	762.70	2.872E-38	1523	platinum
Q940J7	C5YTL0	AF-Q940J7-F1-model_v3	AF-C5YTL0-F1-model_v3	7.0e-13	61.6	5.61e-04	215.53	2.889E-05	214	platinum
Q940J8	C5YF65	AF-Q940J8-F1-model_v3	AF-C5YF65-F1-model_v3	1.3e-170	482.3	NA	NA	6.958E-60	2324	gold
Q940L8	C5YDD9	AF-Q940L8-F1-model_v3	AF-C5YDD9-F1-model_v3	6.1e-124	365.2	NA	NA	1.491E-38	1735	gold
Q940M0	C5X019	AF-Q940M0-F1-model_v3	AF-C5X019-F1-model_v3	3.3e-105	315.5	6.72e-06	653.30	2.226E-32	1228	platinum
Q940M2	A0A1B6QQ80	AF-Q940M2-F1-model_v3	AF-A0A1B6QQ80-F1-model_v3	2.3e-275	754.6	0.00e+00	1339.65	1.200E-79	3370	platinum
Q940M4	A0A1B6QKL9	AF-Q940M4-F1-model_v3	AF-A0A1B6QKL9-F1-model_v3	1.0e-207	584.7	0.00e+00	1281.15	2.022E-47	2653	platinum
Q940N6	C5XH98	AF-Q940N6-F1-model_v3	AF-C5XH98-F1-model_v3	1.3e-129	365.2	4.88e-15	612.69	1.229E-19	1013	platinum
Q940P5	C5YAL2	AF-Q940P5-F1-model_v3	AF-C5YAL2-F1-model_v3	2.0e-67	206.8	3.06e-13	490.77	7.195E-15	727	platinum
Q940P8	C5XFR5	AF-Q940P8-F1-model_v3	AF-C5XFR5-F1-model_v3	0.0e+00	903.7	0.00e+00	1558.70	1.344E-81	4011	platinum
Q940Q2	A0A1Z5R862	AF-Q940Q2-F1-model_v3	AF-A0A1Z5R862-F1-model_v3	4.5e-188	541.2	0.00e+00	1414.33	2.281E-38	2493	platinum
Q940Q3	A0A1Z5RLV8	AF-Q940Q3-F1-model_v3	AF-A0A1Z5RLV8-F1-model_v3	4.2e-129	372.5	0.00e+00	803.11	5.188E-27	1499	platinum
Q940R4	C5YCY2	AF-Q940R4-F1-model_v3	AF-C5YCY2-F1-model_v3	4.5e-147	431.0	0.00e+00	1143.87	1.456E-62	2560	platinum
Q940U2	A0A1B6QND4	AF-Q940U2-F1-model_v3	AF-A0A1B6QND4-F1-model_v3	7.2e-10	55.5	6.94e-03	191.68	NA	NA	gold
Q940U5	C5WTQ9	AF-Q940U5-F1-model_v3	AF-C5WTQ9-F1-model_v3	2.8e-36	133.3	3.57e-05	546.53	2.017E-16	691	platinum
Q940V4	C5WT85	AF-Q940V4-F1-model_v3	AF-C5WT85-F1-model_v3	1.8e-202	568.9	0.00e+00	1299.06	7.100E-52	2693	platinum
Q940X9	C5XGJ1	AF-Q940X9-F1-model_v3	AF-C5XGJ1-F1-model_v3	2.3e-99	330.5	1.12e-04	1294.25	3.227E-44	2128	platinum
Q940Y1	C5YGY3	AF-Q940Y1-F1-model_v3	AF-C5YGY3-F1-model_v3	4.3e-295	825.5	NA	NA	NA	NA	silver
Q940Y6	C5WRC5	AF-Q940Y6-F1-model_v3	AF-C5WRC5-F1-model_v3	1.9e-189	536.2	0.00e+00	1075.23	5.951E-65	2695	platinum
Q940Y7	C5WTG4	AF-Q940Y7-F1-model_v3	AF-C5WTG4-F1-model_v3	6.7e-302	865.5	0.00e+00	2307.90	2.404E-98	4443	platinum
Q940Y8	C5XEC6	AF-Q940Y8-F1-model_v3	AF-C5XEC6-F1-model_v3	3.8e-255	720.7	NA	NA	NA	NA	silver
Q940Y9	C5WWW7	AF-Q940Y9-F1-model_v3	AF-C5WWW7-F1-model_v3	2.0e-296	837.8	0.00e+00	2021.41	2.048E-101	4239	platinum
Q940Z2	A0A1B6Q1V0	AF-Q940Z2-F1-model_v3	AF-A0A1B6Q1V0-F1-model_v3	1.7e-299	835.5	1.55e-15	1863.42	3.788E-87	4000	platinum
Q941A9	C5XZQ1	AF-Q941A9-F1-model_v3	AF-C5XZQ1-F1-model_v3	2.7e-57	187.2	2.48e-08	604.93	1.632E-21	879	platinum
Q941B1	A0A194YRE8	AF-Q941B1-F1-model_v3	AF-A0A194YRE8-F1-model_v3	4.4e-88	265.0	0.00e+00	737.06	5.542E-34	1357	platinum
Q941B2	A0A1Z5S4A1	AF-Q941B2-F1-model_v3	AF-A0A1Z5S4A1-F1-model_v3	5.0e-208	586.3	0.00e+00	1256.00	1.805E-62	2781	platinum
Q941B6	C5XQB3	AF-Q941B6-F1-model_v3	AF-C5XQB3-F1-model_v3	5.2e-78	251.9	8.50e-04	794.38	5.219E-27	1085	platinum
Q941D3	C5YFJ8	AF-Q941D3-F1-model_v3	AF-C5YFJ8-F1-model_v3	1.2e-81	243.8	2.89e-15	561.91	8.482E-30	1313	platinum
Q941D5	C5WYG6	AF-Q941D5-F1-model_v3	AF-C5WYG6-F1-model_v3	1.2e-81	242.3	3.75e-13	512.98	4.125E-20	880	platinum
Q941D6	C5XP11	AF-Q941D6-F1-model_v3	AF-C5XP11-F1-model_v3	4.6e-200	559.7	0.00e+00	1147.43	8.144E-63	2644	platinum
Q941D7	C5YZ30	AF-Q941D7-F1-model_v3	AF-C5YZ30-F1-model_v3	1.9e-30	100.5	NA	NA	3.414E-06	299	gold
Q941E5	A0A1W0W4X5	AF-Q941E5-F1-model_v3	AF-A0A1W0W4X5-F1-model_v3	1.2e-18	78.2	8.21e-11	408.89	9.387E-14	651	platinum
Q941I6	A0A194YQR1	AF-Q941I6-F1-model_v3	AF-A0A194YQR1-F1-model_v3	4.4e-292	832.8	0.00e+00	2084.71	1.242E-94	4219	platinum
Q941R4	A0A1B6PEU5	AF-Q941R4-F1-model_v3	AF-A0A1B6PEU5-F1-model_v3	4.9e-159	450.7	NA	NA	1.652E-30	1679	gold
Q943Z4	C5YML9	AF-Q943Z4-F1-model_v3	AF-C5YML9-F1-model_v3	1.1e-99	292.4	0.00e+00	656.94	9.436E-38	1472	platinum
Q943Z6	C5Y9D6	AF-Q943Z6-F1-model_v3	AF-C5Y9D6-F1-model_v3	1.1e-51	161.0	0.00e+00	359.32	1.657E-20	807	platinum
Q944A6	C5WRX9	AF-Q944A6-F1-model_v3	AF-C5WRX9-F1-model_v3	6.7e-242	671.0	0.00e+00	1237.45	3.771E-80	3136	platinum
Q944A7	C5WZU9	AF-Q944A7-F1-model_v3	AF-C5WZU9-F1-model_v3	1.6e-284	780.8	0.00e+00	1385.95	7.229E-66	3299	platinum
Q944A9	C5Z1V3	AF-Q944A9-F1-model_v3	AF-C5Z1V3-F1-model_v3	1.93e-02	239.74	NA	NA	NA	NA	silver
Q944B0	A0A194YNG9	AF-Q944B0-F1-model_v3	AF-A0A194YNG9-F1-model_v3	1.1e-70	214.2	4.85e-10	467.29	1.240E-26	1096	platinum
Q944G6	C5YPB8	AF-Q944G6-F1-model_v3	AF-C5YPB8-F1-model_v3	1.8e-43	142.9	2.19e-11	433.53	1.578E-13	640	platinum
Q944G8	C5YJI4	AF-Q944G8-F1-model_v3	AF-C5YJI4-F1-model_v3	6.1e-42	148.3	1.29e-04	556.20	1.463E-12	576	platinum
Q944H2	C5XMS4	AF-Q944H2-F1-model_v3	AF-C5XMS4-F1-model_v3	6.1e-137	396.7	0.00e+00	980.31	1.239E-33	1633	platinum
Q944H5	C5YKM3	AF-Q944H5-F1-model_v3	AF-C5YKM3-F1-model_v3	2.2e-166	472.6	0.00e+00	951.14	4.388E-32	1870	platinum
Q944I4	C5YY08	AF-Q944I4-F1-model_v3	AF-C5YY08-F1-model_v3	2.5e-184	521.2	0.00e+00	1100.96	1.131E-57	2428	platinum
Q944K2	C5XDA8	AF-Q944K2-F1-model_v3	AF-C5XDA8-F1-model_v3	8.6e-232	641.0	0.00e+00	1199.41	5.185E-79	3107	platinum
Q944K3	C5Z527	AF-Q944K3-F1-model_v3	AF-C5Z527-F1-model_v3	3.2e-176	494.6	0.00e+00	1009.80	4.214E-53	2330	platinum
Q944L5	C5WWT0	AF-Q944L5-F1-model_v3	AF-C5WWT0-F1-model_v3	4.2e-33	112.5	1.70e-05	213.28	9.139E-09	344	platinum
Q944M2	A0A1B6PMF4	AF-Q944M2-F1-model_v3	AF-A0A1B6PMF4-F1-model_v3	1.5e-172	490.7	3.70e-12	973.43	5.851E-52	2125	platinum
Q944Q6	A0A109NDB7	AF-Q944Q6-F1-model_v3	AF-A0A109NDB7-F1-model_v3	3.0e-126	366.3	1.01e-05	761.46	9.378E-36	1354	platinum
Q944R7	C5Z250	AF-Q944R7-F1-model_v3	AF-C5Z250-F1-model_v3	3.5e-259	733.8	0.00e+00	1820.59	2.505E-98	4330	platinum
Q944S1	A0A1B6QCA9	AF-Q944S1-F1-model_v3	AF-A0A1B6QCA9-F1-model_v3	2.9e-189	545.0	1.11e-16	1319.32	1.238E-71	2838	platinum
Q944S2	C5XFY8	AF-Q944S2-F1-model_v3	AF-C5XFY8-F1-model_v3	7.6e-152	435.3	0.00e+00	949.81	2.262E-51	2329	platinum
