Uniprot_arabadopsis	Uniprot_soybean	AlphaFold_arabadopsis	AlphaFold_soybean	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q9FV71	I1LRK1	AF-Q9FV71-F1-model_v3	AF-I1LRK1-F1-model_v3	3.0e-143	418.3	NA	NA	8.955E-44	1656	gold
Q9FV81	I1KQC8	AF-Q9FV81-F1-model_v3	AF-I1KQC8-F1-model_v3	2.7e-303	831.6	0.00e+00	1554.05	1.456E-92	3987	platinum
Q9FVQ1	I1LPJ9	AF-Q9FVQ1-F1-model_v3	AF-I1LPJ9-F1-model_v3	1.4e-63	222.2	NA	NA	NA	NA	silver
Q9FVQ4	I1MMF4	AF-Q9FVQ4-F1-model_v3	AF-I1MMF4-F1-model_v3	1.8e-239	666.8	0.00e+00	1371.70	1.188E-48	2997	platinum
Q9FVQ6	I1L546	AF-Q9FVQ6-F1-model_v3	AF-I1L546-F1-model_v3	6.5e-164	459.5	0.00e+00	903.92	9.182E-52	2112	platinum
Q9FVR4	K7LF43	AF-Q9FVR4-F1-model_v3	AF-K7LF43-F1-model_v3	1.7e-172	489.2	NA	NA	NA	NA	silver
Q9FVR9	I1KNT0	AF-Q9FVR9-F1-model_v3	AF-I1KNT0-F1-model_v3	0.0e+00	899.4	0.00e+00	1575.74	8.761E-101	4135	platinum
Q9FVT2	I1MQS6	AF-Q9FVT2-F1-model_v3	AF-I1MQS6-F1-model_v3	1.6e-223	618.6	0.00e+00	1176.46	1.609E-65	2883	platinum
Q9FVU7	C6SWM5	AF-Q9FVU7-F1-model_v3	AF-C6SWM5-F1-model_v3	5.3e-55	166.4	0.00e+00	263.60	6.538E-12	557	platinum
Q9FVV1	A0A0R0ICE4	AF-Q9FVV1-F1-model_v3	AF-A0A0R0ICE4-F1-model_v3	8.9e-158	451.8	0.00e+00	1008.13	7.547E-57	2246	platinum
Q9FVV7	I1L5T0	AF-Q9FVV7-F1-model_v3	AF-I1L5T0-F1-model_v3	1.6e-73	219.2	1.46e-13	398.06	1.775E-24	967	platinum
Q9FVX1	C6T1G2	AF-Q9FVX1-F1-model_v3	AF-C6T1G2-F1-model_v3	1.7e-51	159.8	0.00e+00	365.08	8.527E-19	732	platinum
Q9FVX2	K7KUJ8	AF-Q9FVX2-F1-model_v3	AF-K7KUJ8-F1-model_v3	2.1e-126	378.3	0.00e+00	1360.63	3.244E-43	2598	platinum
Q9FWA4	I1N6I1	AF-Q9FWA4-F1-model_v3	AF-I1N6I1-F1-model_v3	7.6e-309	846.3	0.00e+00	1451.01	6.452E-79	3381	platinum
Q9FWA5	I1LWX8	AF-Q9FWA5-F1-model_v3	AF-I1LWX8-F1-model_v3	4.5e-51	176.4	NA	NA	NA	NA	silver
Q9FWA6	I1N4T9	AF-Q9FWA6-F1-model_v3	AF-I1N4T9-F1-model_v3	0.0e+00	931.0	0.00e+00	2402.33	1.300E-62	4253	platinum
Q9FWR5	I1JT95	AF-Q9FWR5-F1-model_v3	AF-I1JT95-F1-model_v3	2.8e-158	441.8	NA	NA	NA	NA	silver
Q9FWT4	I1JT74	AF-Q9FWT4-F1-model_v3	AF-I1JT74-F1-model_v3	6.2e-137	388.3	3.33e-16	684.92	7.447E-42	1699	platinum
Q9FWW5	I1L046	AF-Q9FWW5-F1-model_v3	AF-I1L046-F1-model_v3	2.3e-91	292.0	NA	NA	3.678E-20	830	gold
Q9FX03	I1MXS4	AF-Q9FX03-F1-model_v3	AF-I1MXS4-F1-model_v3	1.3e-88	273.9	9.44e-15	724.51	1.208E-41	1775	platinum
Q9FX16	A0A0R0ESW5	AF-Q9FX16-F1-model_v3	AF-A0A0R0ESW5-F1-model_v3	2.7e-17	81.3	NA	NA	NA	NA	silver
Q9FX21	I1L3V7	AF-Q9FX21-F1-model_v3	AF-I1L3V7-F1-model_v3	0.0e+00	1270.4	0.00e+00	2132.76	1.116E-91	5422	platinum
Q9FX24	K7LSD1	AF-Q9FX24-F1-model_v3	AF-K7LSD1-F1-model_v3	1.0e-226	639.4	NA	NA	3.472E-49	2851	gold
Q9FX31	I1L3Y5	AF-Q9FX31-F1-model_v3	AF-I1L3Y5-F1-model_v3	9.5e-318	882.5	0.00e+00	1757.83	6.128E-86	4059	platinum
Q9FX33	K7MIU1	AF-Q9FX33-F1-model_v3	AF-K7MIU1-F1-model_v3	4.2e-153	444.1	0.00e+00	1032.73	1.262E-52	2238	platinum
Q9FX34	A0A368UHL6	AF-Q9FX34-F1-model_v3	AF-A0A368UHL6-F1-model_v3	5.0e-246	676.0	0.00e+00	1168.35	1.443E-50	2712	platinum
Q9FX35	K7MJ13	AF-Q9FX35-F1-model_v3	AF-K7MJ13-F1-model_v3	1.8e-125	382.9	0.00e+00	1479.51	5.654E-47	2864	platinum
Q9FX43	A0A0R4J446	AF-Q9FX43-F1-model_v3	AF-A0A0R4J446-F1-model_v3	1.7e-129	372.1	NA	NA	1.617E-39	1667	gold
Q9FX45	C6SVN2	AF-Q9FX45-F1-model_v3	AF-C6SVN2-F1-model_v3	1.1e-39	133.7	NA	NA	1.759E-17	667	gold
Q9FX53	A0A0R0HW24	AF-Q9FX53-F1-model_v3	AF-A0A0R0HW24-F1-model_v3	1.6e-184	517.7	4.30e-10	841.10	7.716E-50	1948	platinum
Q9FX59	A0A0R4J3Z1	AF-Q9FX59-F1-model_v3	AF-A0A0R4J3Z1-F1-model_v3	2.1e-99	285.8	0.00e+00	504.43	4.746E-22	1031	platinum
Q9FX64	I1KWU1	AF-Q9FX64-F1-model_v3	AF-I1KWU1-F1-model_v3	1.5e-103	299.3	0.00e+00	647.89	2.260E-28	1118	platinum
Q9FX66	I1JDV7	AF-Q9FX66-F1-model_v3	AF-I1JDV7-F1-model_v3	6.0e-93	283.9	0.00e+00	1006.79	2.685E-30	1612	platinum
Q9FX73	I1KIA1	AF-Q9FX73-F1-model_v3	AF-I1KIA1-F1-model_v3	3.3e-195	540.8	0.00e+00	938.40	4.223E-39	2060	platinum
Q9FXA2	I1JE12	AF-Q9FXA2-F1-model_v3	AF-I1JE12-F1-model_v3	0.0e+00	907.5	1.87e-14	1589.60	NA	NA	gold
Q9FXA3	K7K7J0	AF-Q9FXA3-F1-model_v3	AF-K7K7J0-F1-model_v3	4.2e-31	118.2	NA	NA	1.237E-17	727	gold
Q9FXA4	I1KM13	AF-Q9FXA4-F1-model_v3	AF-I1KM13-F1-model_v3	2.2e-193	542.3	0.00e+00	1143.41	1.012E-40	2343	platinum
Q9FXA8	I1NEX3	AF-Q9FXA8-F1-model_v3	AF-I1NEX3-F1-model_v3	0.0e+00	923.7	NA	NA	NA	NA	silver
Q9FXA9	I1NEX8	AF-Q9FXA9-F1-model_v3	AF-I1NEX8-F1-model_v3	2.2e-183	527.7	NA	NA	4.131E-33	2192	gold
Q9FXB9	I1L6X3	AF-Q9FXB9-F1-model_v3	AF-I1L6X3-F1-model_v3	1.1e-205	596.3	0.00e+00	2079.52	2.053E-65	4170	platinum
Q9FXC5	I1LNA8	AF-Q9FXC5-F1-model_v3	AF-I1LNA8-F1-model_v3	3.1e-81	237.7	0.00e+00	475.42	7.689E-21	988	platinum
Q9FXD3	I1LNC3	AF-Q9FXD3-F1-model_v3	AF-I1LNC3-F1-model_v3	9.2e-16	64.3	8.49e-05	117.55	1.952E-04	175	platinum
Q9FXE2	E2FKI2	AF-Q9FXE2-F1-model_v3	AF-E2FKI2-F1-model_v3	6.0e-134	409.5	NA	NA	2.131E-45	2414	gold
Q9FXF2	I1M1N4	AF-Q9FXF2-F1-model_v3	AF-I1M1N4-F1-model_v3	3.8e-291	837.8	0.00e+00	2698.16	0.000E+00	5921	platinum
Q9FXI5	A0A0R0JAW2	AF-Q9FXI5-F1-model_v3	AF-A0A0R0JAW2-F1-model_v3	1.2e-66	238.0	7.55e-03	1034.42	1.464E-27	1060	platinum
Q9FXJ4	K7KEB1	AF-Q9FXJ4-F1-model_v3	AF-K7KEB1-F1-model_v3	5.1e-125	363.2	NA	NA	2.349E-46	1851	gold
Q9FXT6	I1KCG2	AF-Q9FXT6-F1-model_v3	AF-I1KCG2-F1-model_v3	3.0e-123	369.0	2.45e-07	904.57	1.292E-32	1217	platinum
Q9FY46	I1N522	AF-Q9FY46-F1-model_v3	AF-I1N522-F1-model_v3	0.0e+00	917.9	0.00e+00	1824.85	1.953E-80	4187	platinum
Q9FY48	I1LLG6	AF-Q9FY48-F1-model_v3	AF-I1LLG6-F1-model_v3	0.0e+00	2582.7	0.00e+00	4358.70	0.000E+00	11246	platinum
Q9FY49	I1NJ89	AF-Q9FY49-F1-model_v3	AF-I1NJ89-F1-model_v3	3.4e-315	867.1	0.00e+00	1732.25	4.748E-86	4240	platinum
Q9FY50	K7MKF1	AF-Q9FY50-F1-model_v3	AF-K7MKF1-F1-model_v3	1.6e-88	262.3	0.00e+00	605.36	2.737E-29	1186	platinum
Q9FY77	I1MSB8	AF-Q9FY77-F1-model_v3	AF-I1MSB8-F1-model_v3	2.6e-59	191.0	NA	NA	NA	NA	silver
Q9FY87	A0A0R0HUQ2	AF-Q9FY87-F1-model_v3	AF-A0A0R0HUQ2-F1-model_v3	1.5e-142	406.8	NA	NA	NA	NA	silver
Q9FY93	B2ZGQ7	AF-Q9FY93-F1-model_v3	AF-B2ZGQ7-F1-model_v3	2.3e-98	287.3	1.95e-13	535.05	8.146E-29	1206	platinum
Q9FY94	I1N5G3	AF-Q9FY94-F1-model_v3	AF-I1N5G3-F1-model_v3	4.5e-111	322.8	NA	NA	1.893E-20	1175	gold
Q9FY99	I1N508	AF-Q9FY99-F1-model_v3	AF-I1N508-F1-model_v3	0.0e+00	916.4	0.00e+00	1619.62	NA	NA	gold
Q9FYA0	K7MVA0	AF-Q9FYA0-F1-model_v3	AF-K7MVA0-F1-model_v3	1.1e-169	477.2	0.00e+00	836.00	2.213E-49	2073	platinum
Q9FYA2	A0A368UGZ1	AF-Q9FYA2-F1-model_v3	AF-A0A368UGZ1-F1-model_v3	1.7e-57	177.9	NA	NA	7.412E-16	724	gold
Q9FYA3	I1MD98	AF-Q9FYA3-F1-model_v3	AF-I1MD98-F1-model_v3	1.8e-111	315.8	0.00e+00	527.68	1.400E-34	1381	platinum
Q9FYC1	A0A0R0G8S7	AF-Q9FYC1-F1-model_v3	AF-A0A0R0G8S7-F1-model_v3	2.7e-162	492.3	0.00e+00	2014.75	4.073E-65	3450	platinum
Q9FYC5	I1LTP7	AF-Q9FYC5-F1-model_v3	AF-I1LTP7-F1-model_v3	2.0e-267	740.0	NA	NA	3.458E-72	3186	gold
Q9FYE1	I1N8J0	AF-Q9FYE1-F1-model_v3	AF-I1N8J0-F1-model_v3	8.3e-137	391.3	0.00e+00	813.72	3.499E-48	1922	platinum
Q9FYE5	K7MY96	AF-Q9FYE5-F1-model_v3	AF-K7MY96-F1-model_v3	8.2e-175	488.0	NA	NA	9.027E-36	1972	gold
Q9FYF9	A0A0R0K284	AF-Q9FYF9-F1-model_v3	AF-A0A0R0K284-F1-model_v3	8.1e-178	500.4	5.55e-15	888.45	2.046E-39	2039	platinum
Q9FYG3	K7LET9	AF-Q9FYG3-F1-model_v3	AF-K7LET9-F1-model_v3	1.6e-248	688.0	0.00e+00	1328.17	1.362E-47	2835	platinum
Q9FYG7	K7MV75	AF-Q9FYG7-F1-model_v3	AF-K7MV75-F1-model_v3	1.9e-30	119.8	NA	NA	NA	NA	silver
Q9FYH8	I1L146	AF-Q9FYH8-F1-model_v3	AF-I1L146-F1-model_v3	1.8e-140	401.0	0.00e+00	837.70	6.084E-53	2080	platinum
Q9FYJ6	I1NHJ5	AF-Q9FYJ6-F1-model_v3	AF-I1NHJ5-F1-model_v3	6.7e-57	192.2	NA	NA	NA	NA	silver
Q9FYK2	K7KRI8	AF-Q9FYK2-F1-model_v3	AF-K7KRI8-F1-model_v3	1.0e-65	200.3	1.96e-10	436.04	1.230E-19	835	platinum
Q9FYK3	I1KQB1	AF-Q9FYK3-F1-model_v3	AF-I1KQB1-F1-model_v3	8.0e-227	631.7	0.00e+00	1282.89	4.891E-61	2938	platinum
Q9FYK6	I1MYN0	AF-Q9FYK6-F1-model_v3	AF-I1MYN0-F1-model_v3	5.8e-44	141.0	4.51e-10	303.41	8.618E-15	562	platinum
Q9FYL1	A0A0R0IPT6	AF-Q9FYL1-F1-model_v3	AF-A0A0R0IPT6-F1-model_v3	4.3e-130	382.1	0.00e+00	1060.28	1.232E-51	2497	platinum
Q9FYL5	K7K3Z1	AF-Q9FYL5-F1-model_v3	AF-K7K3Z1-F1-model_v3	1.9e-113	325.9	0.00e+00	645.97	3.398E-41	1532	platinum
Q9FYL8	I1MTJ0	AF-Q9FYL8-F1-model_v3	AF-I1MTJ0-F1-model_v3	3.9e-62	191.4	0.00e+00	473.26	1.314E-18	948	platinum
Q9FYL9	I1K3I4	AF-Q9FYL9-F1-model_v3	AF-I1K3I4-F1-model_v3	8.2e-119	340.1	NA	NA	2.384E-33	1297	gold
Q9FYM0	I1KG16	AF-Q9FYM0-F1-model_v3	AF-I1KG16-F1-model_v3	3.9e-123	364.8	0.00e+00	1085.04	2.191E-58	2367	platinum
Q9FZ06	A0A368ULH0	AF-Q9FZ06-F1-model_v3	AF-A0A368ULH0-F1-model_v3	0.0e+00	1042.7	NA	NA	3.211E-102	5263	gold
Q9FZ19	I1JBD3	AF-Q9FZ19-F1-model_v3	AF-I1JBD3-F1-model_v3	4.1e-112	341.3	0.00e+00	1332.64	7.723E-45	2674	platinum
Q9FZ24	I1L7N5	AF-Q9FZ24-F1-model_v3	AF-I1L7N5-F1-model_v3	1.2e-140	415.2	NA	NA	5.907E-27	1742	gold
Q9FZ33	I1NBZ1	AF-Q9FZ33-F1-model_v3	AF-I1NBZ1-F1-model_v3	6.6e-143	418.7	0.00e+00	1187.12	3.507E-56	2364	platinum
Q9FZ70	I1JEP2	AF-Q9FZ70-F1-model_v3	AF-I1JEP2-F1-model_v3	7.0e-176	498.0	0.00e+00	1119.24	2.056E-52	2435	platinum
Q9FZ81	I1JZG9	AF-Q9FZ81-F1-model_v3	AF-I1JZG9-F1-model_v3	2.7e-112	330.1	2.95e-11	690.59	4.483E-27	1417	platinum
Q9FZ82	I1JZH1	AF-Q9FZ82-F1-model_v3	AF-I1JZH1-F1-model_v3	6.4e-179	519.2	9.13e-09	1264.88	7.909E-61	2967	platinum
Q9FZ88	I1NJF6	AF-Q9FZ88-F1-model_v3	AF-I1NJF6-F1-model_v3	5.7e-118	340.1	0.00e+00	685.88	7.123E-27	1423	platinum
Q9FZ89	C6T1Y8	AF-Q9FZ89-F1-model_v3	AF-C6T1Y8-F1-model_v3	4.1e-29	102.8	8.97e-04	193.35	4.903E-08	309	platinum
Q9FZ99	A0A0R0FX75	AF-Q9FZ99-F1-model_v3	AF-A0A0R0FX75-F1-model_v3	2.6e-169	519.2	3.87e-08	1622.50	3.147E-42	2633	platinum
Q9FZA4	I1MEK8	AF-Q9FZA4-F1-model_v3	AF-I1MEK8-F1-model_v3	3.0e-40	144.4	NA	NA	5.440E-15	560	gold
Q9FZC5	I1KQQ2	AF-Q9FZC5-F1-model_v3	AF-I1KQQ2-F1-model_v3	4.6e-201	570.9	NA	NA	NA	NA	silver
Q9FZD2	I1KP31	AF-Q9FZD2-F1-model_v3	AF-I1KP31-F1-model_v3	1.2e-61	185.7	4.07e-10	319.73	3.203E-14	611	platinum
Q9FZD4	I1J5Z3	AF-Q9FZD4-F1-model_v3	AF-I1J5Z3-F1-model_v3	7.1e-224	626.3	0.00e+00	1371.78	3.223E-42	2492	platinum
Q9FZF1	I1M8F2	AF-Q9FZF1-F1-model_v3	AF-I1M8F2-F1-model_v3	2.1e-102	298.5	0.00e+00	710.05	2.563E-22	1223	platinum
Q9FZG2	I1N5B7	AF-Q9FZG2-F1-model_v3	AF-I1N5B7-F1-model_v3	1.7e-15	65.9	7.29e-04	142.34	2.387E-04	204	platinum
Q9FZI8	I1K884	AF-Q9FZI8-F1-model_v3	AF-I1K884-F1-model_v3	2.4e-188	531.2	0.00e+00	1210.86	3.815E-68	2735	platinum
Q9FZK5	C6SZ09	AF-Q9FZK5-F1-model_v3	AF-C6SZ09-F1-model_v3	2.7e-13	65.9	1.33e-04	327.34	NA	NA	gold
Q9LD18	I1N836	AF-Q9LD18-F1-model_v3	AF-I1N836-F1-model_v3	0.0e+00	1250.3	0.00e+00	2146.44	4.426E-97	5309	platinum
Q9LD43	A0A0R0F1N7	AF-Q9LD43-F1-model_v3	AF-A0A0R0F1N7-F1-model_v3	2.6e-262	743.0	0.00e+00	1747.88	2.270E-70	3346	platinum
Q9LD44	A0A0R0GV83	AF-Q9LD44-F1-model_v3	AF-A0A0R0GV83-F1-model_v3	1.2e-122	359.0	1.09e-08	774.10	4.054E-38	1561	platinum
Q9LD47	Q9BBU5	AF-Q9LD47-F1-model_v3	AF-Q9BBU5-F1-model_v3	1.5e-136	389.8	0.00e+00	779.46	1.676E-42	1825	platinum
Q9LD90	I1KUB2	AF-Q9LD90-F1-model_v3	AF-I1KUB2-F1-model_v3	3.3e-266	739.6	0.00e+00	1459.07	1.680E-82	3407	platinum
Q9LDA9	I1KXD4	AF-Q9LDA9-F1-model_v3	AF-I1KXD4-F1-model_v3	3.4e-230	648.7	2.27e-09	1164.39	9.570E-69	2643	platinum
Q9LDD8	I1KM07	AF-Q9LDD8-F1-model_v3	AF-I1KM07-F1-model_v3	0.0e+00	900.6	0.00e+00	1512.71	7.336E-91	3791	platinum
Q9LDF5	B0M194	AF-Q9LDF5-F1-model_v3	AF-B0M194-F1-model_v3	8.6e-154	433.0	0.00e+00	845.78	4.242E-49	2089	platinum
Q9LDH0	I1N0F4	AF-Q9LDH0-F1-model_v3	AF-I1N0F4-F1-model_v3	1.5e-235	657.5	0.00e+00	1311.24	8.901E-79	3143	platinum
Q9LDI3	A0A0R0FME7	AF-Q9LDI3-F1-model_v3	AF-A0A0R0FME7-F1-model_v3	7.7e-239	659.8	0.00e+00	1233.02	1.433E-67	2965	platinum
Q9LDJ3	I1LT27	AF-Q9LDJ3-F1-model_v3	AF-I1LT27-F1-model_v3	1.5e-126	359.8	0.00e+00	677.10	1.441E-39	1698	platinum
Q9LDK9	I1JUR7	AF-Q9LDK9-F1-model_v3	AF-I1JUR7-F1-model_v3	0.0e+00	1338.6	0.00e+00	2348.82	2.377E-82	5384	platinum
Q9LDL7	I1M692	AF-Q9LDL7-F1-model_v3	AF-I1M692-F1-model_v3	2.3e-245	682.2	NA	NA	9.909E-62	2902	gold
Q9LDL9	K7L771	AF-Q9LDL9-F1-model_v3	AF-K7L771-F1-model_v3	5.4e-42	145.2	NA	NA	NA	NA	silver
Q9LDQ1	I1MQ34	AF-Q9LDQ1-F1-model_v3	AF-I1MQ34-F1-model_v3	9.2e-191	543.9	2.23e-12	1067.57	1.124E-54	2289	platinum
Q9LDR3	A0A0R0GV74	AF-Q9LDR3-F1-model_v3	AF-A0A0R0GV74-F1-model_v3	5.5e-26	94.4	1.50e-13	259.28	1.048E-10	510	platinum
Q9LDR4	I1LZF1	AF-Q9LDR4-F1-model_v3	AF-I1LZF1-F1-model_v3	2.4e-223	614.4	0.00e+00	1079.08	1.828E-48	2521	platinum
Q9LDR9	I1J5S5	AF-Q9LDR9-F1-model_v3	AF-I1J5S5-F1-model_v3	1.6e-158	440.3	0.00e+00	726.62	NA	NA	gold
Q9LDU3	I1M3A9	AF-Q9LDU3-F1-model_v3	AF-I1M3A9-F1-model_v3	1.4e-219	614.4	0.00e+00	1416.91	1.684E-87	3645	platinum
Q9LDU6	C6TIU6	AF-Q9LDU6-F1-model_v3	AF-C6TIU6-F1-model_v3	4.1e-287	780.8	0.00e+00	1271.14	1.223E-60	3207	platinum
Q9LDW4	K7LWC3	AF-Q9LDW4-F1-model_v3	AF-K7LWC3-F1-model_v3	5.3e-150	422.2	0.00e+00	830.42	6.927E-45	1917	platinum
Q9LDW5	K7M582	AF-Q9LDW5-F1-model_v3	AF-K7M582-F1-model_v3	1.1e-96	294.7	NA	NA	NA	NA	silver
Q9LDY5	C6TCF4	AF-Q9LDY5-F1-model_v3	AF-C6TCF4-F1-model_v3	4.0e-92	272.3	6.33e-15	596.38	1.416E-30	1329	platinum
Q9LDY7	I1K6H5	AF-Q9LDY7-F1-model_v3	AF-I1K6H5-F1-model_v3	1.5e-166	466.1	NA	NA	2.841E-52	2210	gold
Q9LDZ5	C6ZRQ2	AF-Q9LDZ5-F1-model_v3	AF-C6ZRQ2-F1-model_v3	3.4e-170	479.2	NA	NA	NA	NA	silver
Q9LE16	I1N4U6	AF-Q9LE16-F1-model_v3	AF-I1N4U6-F1-model_v3	1.3e-190	526.9	0.00e+00	854.45	1.598E-56	2237	platinum
Q9LE44	Q9XES8	AF-Q9LE44-F1-model_v3	AF-Q9XES8-F1-model_v3	1.6e-25	90.9	1.36e-04	155.05	8.988E-06	240	platinum
Q9LE60	I1KDV2	AF-Q9LE60-F1-model_v3	AF-I1KDV2-F1-model_v3	6.7e-219	607.4	0.00e+00	1152.74	NA	NA	gold
Q9LE81	A0A0R0II70	AF-Q9LE81-F1-model_v3	AF-A0A0R0II70-F1-model_v3	0.0e+00	1336.6	1.22e-10	2359.32	1.934E-97	5133	platinum
Q9LE86	I1KU12	AF-Q9LE86-F1-model_v3	AF-I1KU12-F1-model_v3	5.8e-174	488.4	0.00e+00	989.97	8.995E-65	2466	platinum
Q9LEQ3	I1K949	AF-Q9LEQ3-F1-model_v3	AF-I1K949-F1-model_v3	0.0e+00	919.5	0.00e+00	1803.79	1.593E-73	3888	platinum
Q9LEQ9	I1JHY5	AF-Q9LEQ9-F1-model_v3	AF-I1JHY5-F1-model_v3	4.0e-128	370.9	0.00e+00	833.31	3.703E-27	1577	platinum
Q9LER7	I1JMY8	AF-Q9LER7-F1-model_v3	AF-I1JMY8-F1-model_v3	2.8e-12	60.8	1.51e-05	282.14	2.446E-07	266	platinum
Q9LES4	I1K1W2	AF-Q9LES4-F1-model_v3	AF-I1K1W2-F1-model_v3	2.9e-184	523.1	0.00e+00	1106.64	1.711E-65	2696	platinum
Q9LES5	A0A0R0KE26	AF-Q9LES5-F1-model_v3	AF-A0A0R0KE26-F1-model_v3	2.8e-53	169.1	6.24e-07	408.07	7.538E-15	564	platinum
Q9LES7	I1JK22	AF-Q9LES7-F1-model_v3	AF-I1JK22-F1-model_v3	2.6e-14	73.2	9.71e-04	406.24	NA	NA	gold
Q9LET3	I1JN41	AF-Q9LET3-F1-model_v3	AF-I1JN41-F1-model_v3	2.0e-155	436.0	0.00e+00	771.70	6.441E-33	1652	platinum
Q9LET7	A0A0R0KQA1	AF-Q9LET7-F1-model_v3	AF-A0A0R0KQA1-F1-model_v3	0.0e+00	963.8	1.11e-16	2241.41	0.000E+00	5087	platinum
Q9LEU9	I1M9Q5	AF-Q9LEU9-F1-model_v3	AF-I1M9Q5-F1-model_v3	2.8e-152	438.7	0.00e+00	1071.97	7.094E-53	2297	platinum
Q9LEV7	I1M978	AF-Q9LEV7-F1-model_v3	AF-I1M978-F1-model_v3	1.2e-214	604.0	0.00e+00	1405.25	2.515E-45	2675	platinum
Q9LEW0	I1MWZ8	AF-Q9LEW0-F1-model_v3	AF-I1MWZ8-F1-model_v3	7.8e-208	590.1	0.00e+00	1286.26	1.921E-71	2991	platinum
Q9LEW4	I1K8K9	AF-Q9LEW4-F1-model_v3	AF-I1K8K9-F1-model_v3	4.5e-151	425.2	0.00e+00	802.57	5.823E-53	2094	platinum
Q9LEW8	I1JKF4	AF-Q9LEW8-F1-model_v3	AF-I1JKF4-F1-model_v3	3.0e-191	529.6	0.00e+00	909.56	5.257E-52	2210	platinum
Q9LEY1	I1LPI7	AF-Q9LEY1-F1-model_v3	AF-I1LPI7-F1-model_v3	5.0e-217	607.1	0.00e+00	1229.97	3.772E-70	2928	platinum
Q9LEZ3	I1K161	AF-Q9LEZ3-F1-model_v3	AF-I1K161-F1-model_v3	3.4e-125	377.9	1.34e-04	859.93	2.888E-36	1277	platinum
Q9LF03	I1L674	AF-Q9LF03-F1-model_v3	AF-I1L674-F1-model_v3	3.9e-86	251.9	1.11e-16	449.74	8.439E-18	905	platinum
Q9LF10	K7MVH3	AF-Q9LF10-F1-model_v3	AF-K7MVH3-F1-model_v3	1.6e-239	684.5	NA	NA	8.977E-78	3286	gold
Q9LF41	A0A368UGC3	AF-Q9LF41-F1-model_v3	AF-A0A368UGC3-F1-model_v3	0.0e+00	1532.7	0.00e+00	2786.16	1.973E-98	6508	platinum
Q9LF50	I1LP25	AF-Q9LF50-F1-model_v3	AF-I1LP25-F1-model_v3	7.5e-168	477.2	0.00e+00	1053.98	3.763E-33	1876	platinum
Q9LF57	C6T510	AF-Q9LF57-F1-model_v3	AF-C6T510-F1-model_v3	9.4e-64	192.2	NA	NA	NA	NA	silver
Q9LF61	K7ME91	AF-Q9LF61-F1-model_v3	AF-K7ME91-F1-model_v3	1.4e-189	532.7	0.00e+00	1040.64	1.681E-37	2025	platinum
Q9LF64	I1J4U6	AF-Q9LF64-F1-model_v3	AF-I1J4U6-F1-model_v3	1.2e-65	212.6	5.69e-05	610.90	3.958E-26	984	platinum
Q9LF65	K7MFW8	AF-Q9LF65-F1-model_v3	AF-K7MFW8-F1-model_v3	4.6e-18	77.8	4.59e-06	303.29	2.025E-07	291	platinum
Q9LF68	I1JB41	AF-Q9LF68-F1-model_v3	AF-I1JB41-F1-model_v3	2.7e-44	144.4	2.73e-08	348.21	NA	NA	gold
Q9LF70	A0A0R0KQE9	AF-Q9LF70-F1-model_v3	AF-A0A0R0KQE9-F1-model_v3	6.4e-183	519.2	0.00e+00	1233.67	2.649E-66	2805	platinum
Q9LF92	I1JPV3	AF-Q9LF92-F1-model_v3	AF-I1JPV3-F1-model_v3	4.0e-169	471.1	0.00e+00	794.06	5.092E-53	2231	platinum
Q9LF97	I1KNY3	AF-Q9LF97-F1-model_v3	AF-I1KNY3-F1-model_v3	6.4e-236	660.6	0.00e+00	1310.68	2.657E-76	3078	platinum
Q9LFA3	A0A0R0HR30	AF-Q9LFA3-F1-model_v3	AF-A0A0R0HR30-F1-model_v3	1.9e-242	667.9	NA	NA	3.508E-83	3496	gold
Q9LFB5	I1J785	AF-Q9LFB5-F1-model_v3	AF-I1J785-F1-model_v3	3.5e-228	635.2	NA	NA	1.557E-77	3229	gold
Q9LFC0	I1N2T3	AF-Q9LFC0-F1-model_v3	AF-I1N2T3-F1-model_v3	1.2e-105	317.8	9.89e-05	733.82	1.159E-29	1091	platinum
Q9LFC5	I1M741	AF-Q9LFC5-F1-model_v3	AF-I1M741-F1-model_v3	9.4e-32	132.1	NA	NA	1.215E-47	3051	gold
Q9LFD8	I1LFY4	AF-Q9LFD8-F1-model_v3	AF-I1LFY4-F1-model_v3	1.5e-105	307.4	0.00e+00	644.17	3.854E-37	1457	platinum
Q9LFE2	I1MTH0	AF-Q9LFE2-F1-model_v3	AF-I1MTH0-F1-model_v3	1.1e-296	841.3	0.00e+00	2382.76	0.000E+00	5727	platinum
Q9LFE3	K7MP71	AF-Q9LFE3-F1-model_v3	AF-K7MP71-F1-model_v3	2.1e-160	461.1	0.00e+00	1126.27	3.025E-39	2145	platinum
Q9LFF4	C6T7Y7	AF-Q9LFF4-F1-model_v3	AF-C6T7Y7-F1-model_v3	2.1e-14	70.1	8.31e-03	281.09	NA	NA	gold
Q9LFH0	I1MRX0	AF-Q9LFH0-F1-model_v3	AF-I1MRX0-F1-model_v3	0.0e+00	1920.2	0.00e+00	4153.93	0.000E+00	9518	platinum
Q9LFH4	K7K1B9	AF-Q9LFH4-F1-model_v3	AF-K7K1B9-F1-model_v3	7.6e-49	176.4	1.93e-05	788.36	4.218E-23	887	platinum
