Uniprot_arabadopsis	Uniprot_maize	AlphaFold_arabadopsis	AlphaFold_maize	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q9FJX3	C4IYM7	AF-Q9FJX3-F1-model_v3	AF-C4IYM7-F1-model_v3	1.0e-118	341.3	0.00e+00	799.76	7.110E-37	1757	platinum
Q9FJY1	A0A1D6L369	AF-Q9FJY1-F1-model_v3	AF-A0A1D6L369-F1-model_v3	7.3e-41	137.1	NA	NA	3.405E-22	824	gold
Q9FJY5	A0A1D6MAI6	AF-Q9FJY5-F1-model_v3	AF-A0A1D6MAI6-F1-model_v3	2.4e-124	375.6	4.27e-10	985.62	9.226E-39	1488	platinum
Q9FJY6	B8A1H0	AF-Q9FJY6-F1-model_v3	AF-B8A1H0-F1-model_v3	4.0e-150	423.7	0.00e+00	871.97	8.905E-49	2217	platinum
Q9FJY9	K7UEF7	AF-Q9FJY9-F1-model_v3	AF-K7UEF7-F1-model_v3	1.8e-98	305.8	NA	NA	NA	NA	silver
Q9FJZ3	A0A096QQL3	AF-Q9FJZ3-F1-model_v3	AF-A0A096QQL3-F1-model_v3	2.7e-178	504.6	0.00e+00	1172.42	5.156E-61	2612	platinum
Q9FJZ6	K7W4T9	AF-Q9FJZ6-F1-model_v3	AF-K7W4T9-F1-model_v3	2.3e-80	250.4	NA	NA	NA	NA	silver
Q9FJZ7	A0A1D6GTZ9	AF-Q9FJZ7-F1-model_v3	AF-A0A1D6GTZ9-F1-model_v3	0.0e+00	926.4	0.00e+00	1939.19	0.000E+00	4743	platinum
Q9FJZ9	K7VCN5	AF-Q9FJZ9-F1-model_v3	AF-K7VCN5-F1-model_v3	4.5e-170	476.5	NA	NA	1.931E-52	2264	gold
Q9FK02	A0A1D6EWS0	AF-Q9FK02-F1-model_v3	AF-A0A1D6EWS0-F1-model_v3	1.7e-99	299.7	1.64e-14	836.98	3.070E-40	1649	platinum
Q9FK07	A0A1D6H4P1	AF-Q9FK07-F1-model_v3	AF-A0A1D6H4P1-F1-model_v3	1.5e-224	633.3	1.45e-13	1230.91	NA	NA	gold
Q9FK13	C4J0U6	AF-Q9FK13-F1-model_v3	AF-C4J0U6-F1-model_v3	2.4e-54	177.2	2.97e-05	457.26	NA	NA	gold
Q9FK21	K7U7Z3	AF-Q9FK21-F1-model_v3	AF-K7U7Z3-F1-model_v3	1.0e-210	615.5	7.72e-10	1465.31	NA	NA	gold
Q9FK25	Q06509	AF-Q9FK25-F1-model_v3	AF-Q06509-F1-model_v3	4.5e-154	438.0	0.00e+00	994.97	1.223E-51	2117	platinum
Q9FK33	K7TX85	AF-Q9FK33-F1-model_v3	AF-K7TX85-F1-model_v3	1.3e-191	558.9	NA	NA	8.516E-44	2863	gold
Q9FK37	A0A1D6P4Z4	AF-Q9FK37-F1-model_v3	AF-A0A1D6P4Z4-F1-model_v3	1.9e-35	141.0	2.09e-03	732.27	4.716E-20	722	platinum
Q9FK51	A0A1D6HT77	AF-Q9FK51-F1-model_v3	AF-A0A1D6HT77-F1-model_v3	7.2e-150	426.4	0.00e+00	843.77	4.061E-50	2056	platinum
Q9FK57	B6TKI8	AF-Q9FK57-F1-model_v3	AF-B6TKI8-F1-model_v3	1.4e-16	77.4	2.49e-01	291.29	NA	NA	gold
Q9FK59	B4FGA3	AF-Q9FK59-F1-model_v3	AF-B4FGA3-F1-model_v3	1.7e-120	341.7	0.00e+00	630.62	2.294E-37	1495	platinum
Q9FK63	A0A1D6P138	AF-Q9FK63-F1-model_v3	AF-A0A1D6P138-F1-model_v3	5.6e-109	344.0	7.36e-12	1285.51	3.117E-53	2494	platinum
Q9FK73	K7UUU7	AF-Q9FK73-F1-model_v3	AF-K7UUU7-F1-model_v3	1.1e-57	187.2	NA	NA	1.042E-25	1018	gold
Q9FK75	C0P8E3	AF-Q9FK75-F1-model_v3	AF-C0P8E3-F1-model_v3	4.5e-169	476.1	0.00e+00	1064.79	3.005E-58	2427	platinum
Q9FK76	A0A1D6NDF4	AF-Q9FK76-F1-model_v3	AF-A0A1D6NDF4-F1-model_v3	1.0e-271	771.2	0.00e+00	2031.09	0.000E+00	4699	platinum
Q9FK81	B6UFF4	AF-Q9FK81-F1-model_v3	AF-B6UFF4-F1-model_v3	2.9e-31	106.7	0.00e+00	300.50	8.586E-14	532	platinum
Q9FK88	B4FS06	AF-Q9FK88-F1-model_v3	AF-B4FS06-F1-model_v3	9.2e-311	855.1	0.00e+00	1555.47	2.768E-74	3641	platinum
Q9FK91	A0A1D6H9V4	AF-Q9FK91-F1-model_v3	AF-A0A1D6H9V4-F1-model_v3	0.0e+00	936.0	0.00e+00	2138.01	0.000E+00	4859	platinum
Q9FK93	A0A1D6MDG2	AF-Q9FK93-F1-model_v3	AF-A0A1D6MDG2-F1-model_v3	2.9e-194	565.8	NA	NA	9.974E-46	2975	gold
Q9FKA0	C0PC79	AF-Q9FKA0-F1-model_v3	AF-C0PC79-F1-model_v3	9.8e-81	247.7	NA	NA	NA	NA	silver
Q9FKA3	B4FL26	AF-Q9FKA3-F1-model_v3	AF-B4FL26-F1-model_v3	1.8e-150	442.6	0.00e+00	1167.72	3.631E-52	2414	platinum
Q9FKA5	B4F957	AF-Q9FKA5-F1-model_v3	AF-B4F957-F1-model_v3	2.9e-18	85.5	1.88e-03	540.91	8.239E-08	316	platinum
Q9FKB0	B4FLA3	AF-Q9FKB0-F1-model_v3	AF-B4FLA3-F1-model_v3	6.2e-53	159.8	0.00e+00	238.48	7.489E-14	656	platinum
Q9FKB3	B4F7V8	AF-Q9FKB3-F1-model_v3	AF-B4F7V8-F1-model_v3	5.9e-131	375.6	0.00e+00	786.10	3.624E-48	1894	platinum
Q9FKC3	A0A1D6LY52	AF-Q9FKC3-F1-model_v3	AF-A0A1D6LY52-F1-model_v3	4.0e-64	216.5	0.00e+00	1288.32	NA	NA	gold
Q9FKF4	C0PA21	AF-Q9FKF4-F1-model_v3	AF-C0PA21-F1-model_v3	2.4e-136	389.0	5.40e-11	735.97	5.401E-35	1448	platinum
Q9FKK6	A0A1D6LGT6	AF-Q9FKK6-F1-model_v3	AF-A0A1D6LGT6-F1-model_v3	2.1e-81	252.7	1.23e-13	724.97	8.219E-25	1067	platinum
Q9FKM0	A0A1D6KNK5	AF-Q9FKM0-F1-model_v3	AF-A0A1D6KNK5-F1-model_v3	1.9e-19	79.7	2.96e-03	183.61	NA	NA	gold
Q9FKM1	B4FJQ2	AF-Q9FKM1-F1-model_v3	AF-B4FJQ2-F1-model_v3	6.0e-90	272.3	0.00e+00	723.42	1.232E-38	1460	platinum
Q9FKM4	C0PHP0	AF-Q9FKM4-F1-model_v3	AF-C0PHP0-F1-model_v3	1.4e-224	639.0	9.56e-14	1405.96	5.915E-79	3349	platinum
Q9FKM5	A0A1D6HAQ9	AF-Q9FKM5-F1-model_v3	AF-A0A1D6HAQ9-F1-model_v3	1.7e-70	220.3	0.00e+00	653.31	6.041E-35	1369	platinum
Q9FKM7	K7TX47	AF-Q9FKM7-F1-model_v3	AF-K7TX47-F1-model_v3	1.3e-35	122.1	NA	NA	1.263E-16	646	gold
Q9FKN4	Q9M5P4	AF-Q9FKN4-F1-model_v3	AF-Q9M5P4-F1-model_v3	2.1e-108	313.2	0.00e+00	681.35	NA	NA	gold
Q9FKN5	A0A1D6N949	AF-Q9FKN5-F1-model_v3	AF-A0A1D6N949-F1-model_v3	1.0e-30	132.1	3.86e-02	1305.76	6.753E-19	679	platinum
Q9FKP0	B6SX84	AF-Q9FKP0-F1-model_v3	AF-B6SX84-F1-model_v3	5.9e-25	90.9	1.49e-03	170.03	2.825E-06	252	platinum
Q9FKP4	A0A1D6NS45	AF-Q9FKP4-F1-model_v3	AF-A0A1D6NS45-F1-model_v3	0.0e+00	1506.9	1.02e-12	3029.46	0.000E+00	6313	platinum
Q9FKP5	A0A1D6I638	AF-Q9FKP5-F1-model_v3	AF-A0A1D6I638-F1-model_v3	4.9e-137	424.9	NA	NA	NA	NA	silver
Q9FKQ8	A0A1D6HKV3	AF-Q9FKQ8-F1-model_v3	AF-A0A1D6HKV3-F1-model_v3	2.8e-317	882.1	0.00e+00	1719.17	1.893E-62	3503	platinum
Q9FKS3	A0A1D6GJ57	AF-Q9FKS3-F1-model_v3	AF-A0A1D6GJ57-F1-model_v3	2.8e-84	263.5	NA	NA	NA	NA	silver
Q9FKT0	A0A1D6DU97	AF-Q9FKT0-F1-model_v3	AF-A0A1D6DU97-F1-model_v3	9.9e-168	478.0	0.00e+00	968.24	4.780E-42	2043	platinum
Q9FKT4	C0PIK4	AF-Q9FKT4-F1-model_v3	AF-C0PIK4-F1-model_v3	3.5e-139	395.2	2.30e-13	732.71	1.293E-38	1539	platinum
Q9FKT5	B4FPK4	AF-Q9FKT5-F1-model_v3	AF-B4FPK4-F1-model_v3	9.5e-176	489.6	0.00e+00	859.48	2.084E-52	2360	platinum
Q9FKT8	A0A1D6KI48	AF-Q9FKT8-F1-model_v3	AF-A0A1D6KI48-F1-model_v3	1.1e-161	458.8	0.00e+00	862.04	9.442E-29	1653	platinum
Q9FKV1	C0HIJ3	AF-Q9FKV1-F1-model_v3	AF-C0HIJ3-F1-model_v3	5.1e-217	603.2	0.00e+00	1163.40	1.666E-44	2589	platinum
Q9FKW9	A0A1D6KBR7	AF-Q9FKW9-F1-model_v3	AF-A0A1D6KBR7-F1-model_v3	0.0e+00	1266.1	0.00e+00	2773.67	0.000E+00	6907	platinum
Q9FKX3	C0HGH7	AF-Q9FKX3-F1-model_v3	AF-C0HGH7-F1-model_v3	3.0e-68	207.6	0.00e+00	478.04	1.308E-25	1002	platinum
Q9FKY4	A0A1D6IAQ8	AF-Q9FKY4-F1-model_v3	AF-A0A1D6IAQ8-F1-model_v3	5.3e-119	353.2	NA	NA	NA	NA	silver
Q9FKZ4	A0A1D6GLR4	AF-Q9FKZ4-F1-model_v3	AF-A0A1D6GLR4-F1-model_v3	1.7e-77	234.2	2.22e-16	589.79	1.303E-32	1346	platinum
Q9FKZ6	A0A1D6F1T7	AF-Q9FKZ6-F1-model_v3	AF-A0A1D6F1T7-F1-model_v3	1.7e-31	128.3	1.66e-05	815.09	8.641E-16	669	platinum
Q9FL00	B6T332	AF-Q9FL00-F1-model_v3	AF-B6T332-F1-model_v3	8.2e-16	70.9	NA	NA	NA	NA	silver
Q9FL02	A0A1D6GIN0	AF-Q9FL02-F1-model_v3	AF-A0A1D6GIN0-F1-model_v3	1.1e-20	82.0	1.04e-02	162.50	NA	NA	gold
Q9FL05	A0A1D6MND9	AF-Q9FL05-F1-model_v3	AF-A0A1D6MND9-F1-model_v3	4.6e-222	619.8	0.00e+00	1312.24	5.886E-58	2982	platinum
Q9FL28	A0A1D6DZ88	AF-Q9FL28-F1-model_v3	AF-A0A1D6DZ88-F1-model_v3	4.9e-93	324.7	0.00e+00	3004.68	6.248E-101	5624	platinum
Q9FL51	K7UJ99	AF-Q9FL51-F1-model_v3	AF-K7UJ99-F1-model_v3	6.9e-75	262.7	0.00e+00	2097.40	5.999E-75	4023	platinum
Q9FL82	A0A1D6K5T7	AF-Q9FL82-F1-model_v3	AF-A0A1D6K5T7-F1-model_v3	3.7e-89	268.1	0.00e+00	671.89	6.972E-37	1489	platinum
Q9FL87	B6TFB0	AF-Q9FL87-F1-model_v3	AF-B6TFB0-F1-model_v3	1.2e-40	134.4	4.34e-07	321.11	6.278E-14	560	platinum
Q9FLB0	A0A1D6MKY1	AF-Q9FLB0-F1-model_v3	AF-A0A1D6MKY1-F1-model_v3	1.5e-221	632.5	0.00e+00	1470.61	1.419E-69	2988	platinum
Q9FLB5	A0A1D6N822	AF-Q9FLB5-F1-model_v3	AF-A0A1D6N822-F1-model_v3	1.5e-293	808.1	NA	NA	NA	NA	silver
Q9FLC9	B6SMQ7	AF-Q9FLC9-F1-model_v3	AF-B6SMQ7-F1-model_v3	6.5e-31	114.4	NA	NA	NA	NA	silver
Q9FLD3	A0A1D6HE33	AF-Q9FLD3-F1-model_v3	AF-A0A1D6HE33-F1-model_v3	1.4e-54	184.9	1.38e-08	690.89	1.511E-19	800	platinum
Q9FLD4	Q5GAV4	AF-Q9FLD4-F1-model_v3	AF-Q5GAV4-F1-model_v3	5.5e-97	285.8	0.00e+00	646.80	2.820E-37	1531	platinum
Q9FLD7	A0A1D6KH00	AF-Q9FLD7-F1-model_v3	AF-A0A1D6KH00-F1-model_v3	5.2e-200	568.9	0.00e+00	1126.93	2.888E-68	2741	platinum
Q9FLD8	A0A1D6N7U6	AF-Q9FLD8-F1-model_v3	AF-A0A1D6N7U6-F1-model_v3	7.6e-18	87.8	0.00e+00	1706.89	NA	NA	gold
Q9FLE4	A0A1X7YGG3	AF-Q9FLE4-F1-model_v3	AF-A0A1X7YGG3-F1-model_v3	0.0e+00	983.0	0.00e+00	1861.97	0.000E+00	4886	platinum
Q9FLE8	C4J1U6	AF-Q9FLE8-F1-model_v3	AF-C4J1U6-F1-model_v3	9.5e-66	212.2	NA	NA	3.210E-24	935	gold
Q9FLF3	A0A1D6MRK4	AF-Q9FLF3-F1-model_v3	AF-A0A1D6MRK4-F1-model_v3	3.1e-117	338.2	1.36e-13	613.16	4.804E-36	1322	platinum
Q9FLG1	A0A1D6JFG2	AF-Q9FLG1-F1-model_v3	AF-A0A1D6JFG2-F1-model_v3	0.0e+00	1081.2	0.00e+00	2169.24	0.000E+00	5532	platinum
Q9FLG2	A0A1D6L3N4	AF-Q9FLG2-F1-model_v3	AF-A0A1D6L3N4-F1-model_v3	2.5e-181	509.6	0.00e+00	946.17	6.129E-45	1979	platinum
Q9FLH0	A0A1D6NAN3	AF-Q9FLH0-F1-model_v3	AF-A0A1D6NAN3-F1-model_v3	3.9e-58	217.2	1.51e-08	2439.56	2.344E-38	1198	platinum
Q9FLI4	C0P5D8	AF-Q9FLI4-F1-model_v3	AF-C0P5D8-F1-model_v3	0.0e+00	1020.4	0.00e+00	2158.68	0.000E+00	5201	platinum
Q9FLI5	B8A019	AF-Q9FLI5-F1-model_v3	AF-B8A019-F1-model_v3	8.4e-124	368.6	1.04e-09	817.72	3.068E-33	1548	platinum
Q9FLI7	B6SQE2	AF-Q9FLI7-F1-model_v3	AF-B6SQE2-F1-model_v3	3.2e-41	131.7	5.91e-11	265.78	1.614E-12	482	platinum
Q9FLJ6	C0HF05	AF-Q9FLJ6-F1-model_v3	AF-C0HF05-F1-model_v3	6.6e-59	202.2	0.00e+00	1201.80	8.609E-28	1708	platinum
Q9FLJ8	A0A1D6L5G6	AF-Q9FLJ8-F1-model_v3	AF-A0A1D6L5G6-F1-model_v3	2.3e-300	847.4	NA	NA	NA	NA	silver
Q9FLM1	A0A1D6H923	AF-Q9FLM1-F1-model_v3	AF-A0A1D6H923-F1-model_v3	3.9e-135	391.0	0.00e+00	967.90	9.482E-54	2134	platinum
Q9FLM7	A0A1D6PVQ9	AF-Q9FLM7-F1-model_v3	AF-A0A1D6PVQ9-F1-model_v3	3.2e-89	288.5	4.24e-08	1173.04	NA	NA	gold
Q9FLM8	A0A1D6HYF9	AF-Q9FLM8-F1-model_v3	AF-A0A1D6HYF9-F1-model_v3	2.1e-26	90.1	0.00e+00	143.78	1.108E-07	325	platinum
Q9FLN4	A0A1D6G5N8	AF-Q9FLN4-F1-model_v3	AF-A0A1D6G5N8-F1-model_v3	3.0e-67	204.9	2.45e-07	382.38	2.053E-18	770	platinum
Q9FLN5	B6SQV1	AF-Q9FLN5-F1-model_v3	AF-B6SQV1-F1-model_v3	8.9e-29	97.4	0.00e+00	191.91	1.277E-07	334	platinum
Q9FLR0	B4FYY5	AF-Q9FLR0-F1-model_v3	AF-B4FYY5-F1-model_v3	4.5e-152	442.2	0.00e+00	1075.32	2.149E-60	2459	platinum
Q9FLR9	A0A1D6E430	AF-Q9FLR9-F1-model_v3	AF-A0A1D6E430-F1-model_v3	4.0e-104	310.8	0.00e+00	839.58	5.850E-37	1627	platinum
Q9FLS9	A0A1D6HXJ9	AF-Q9FLS9-F1-model_v3	AF-A0A1D6HXJ9-F1-model_v3	4.3e-83	264.6	NA	NA	NA	NA	silver
Q9FLT2	B6SIS9	AF-Q9FLT2-F1-model_v3	AF-B6SIS9-F1-model_v3	1.2e-92	276.6	0.00e+00	726.58	1.289E-37	1509	platinum
Q9FLT3	A0A1D6QI94	AF-Q9FLT3-F1-model_v3	AF-A0A1D6QI94-F1-model_v3	1.7e-48	163.3	NA	NA	NA	NA	silver
Q9FLT9	A0A1D6EBW3	AF-Q9FLT9-F1-model_v3	AF-A0A1D6EBW3-F1-model_v3	2.1e-98	288.9	1.07e-14	601.64	1.702E-21	1107	platinum
Q9FLU1	A0A1D6H0U2	AF-Q9FLU1-F1-model_v3	AF-A0A1D6H0U2-F1-model_v3	1.1e-43	158.3	3.16e-03	564.19	NA	NA	gold
Q9FLV0	B4FZ24	AF-Q9FLV0-F1-model_v3	AF-B4FZ24-F1-model_v3	8.0e-152	430.3	0.00e+00	960.96	9.779E-59	2288	platinum
Q9FLV9	A0A096QUT4	AF-Q9FLV9-F1-model_v3	AF-A0A096QUT4-F1-model_v3	4.2e-189	548.1	2.29e-13	1304.89	NA	NA	gold
Q9FLW9	A0A1D6NGT8	AF-Q9FLW9-F1-model_v3	AF-A0A1D6NGT8-F1-model_v3	6.2e-312	855.5	0.00e+00	1483.06	2.016E-92	3936	platinum
Q9FLX3	B4FH72	AF-Q9FLX3-F1-model_v3	AF-B4FH72-F1-model_v3	6.7e-53	174.1	3.59e-11	550.63	2.026E-16	870	platinum
Q9FLX7	A0A1D6K0T8	AF-Q9FLX7-F1-model_v3	AF-A0A1D6K0T8-F1-model_v3	9.3e-78	229.2	3.61e-12	406.44	7.960E-19	806	platinum
Q9FLX9	A0A1D6MEH7	AF-Q9FLX9-F1-model_v3	AF-A0A1D6MEH7-F1-model_v3	2.0e-146	427.9	0.00e+00	1358.20	1.771E-84	3647	platinum
Q9FLY0	B6TIJ1	AF-Q9FLY0-F1-model_v3	AF-B6TIJ1-F1-model_v3	8.0e-93	279.6	0.00e+00	883.74	1.789E-44	1826	platinum
Q9FLZ9	A0A1D6HFB6	AF-Q9FLZ9-F1-model_v3	AF-A0A1D6HFB6-F1-model_v3	4.9e-151	450.7	NA	NA	NA	NA	silver
Q9FM03	B4FDY8	AF-Q9FM03-F1-model_v3	AF-B4FDY8-F1-model_v3	5.9e-44	154.1	NA	NA	NA	NA	silver
Q9FM04	A0A1D6EEP7	AF-Q9FM04-F1-model_v3	AF-A0A1D6EEP7-F1-model_v3	5.6e-125	356.7	0.00e+00	694.22	8.865E-39	1569	platinum
Q9FM11	K7W010	AF-Q9FM11-F1-model_v3	AF-K7W010-F1-model_v3	8.0e-128	365.9	0.00e+00	788.68	1.106E-45	1762	platinum
Q9FM51	C0HF73	AF-Q9FM51-F1-model_v3	AF-C0HF73-F1-model_v3	5.5e-128	370.2	0.00e+00	831.35	1.065E-39	1849	platinum
Q9FM53	A0A1D6GF33	AF-Q9FM53-F1-model_v3	AF-A0A1D6GF33-F1-model_v3	8.1e-99	310.5	6.68e-11	1044.68	3.376E-36	1738	platinum
Q9FM57	A0A1D6I6M5	AF-Q9FM57-F1-model_v3	AF-A0A1D6I6M5-F1-model_v3	9.8e-09	60.8	1.32e-03	1953.46	3.576E-16	602	platinum
Q9FM64	K7V740	AF-Q9FM64-F1-model_v3	AF-K7V740-F1-model_v3	2.3e-122	382.1	NA	NA	NA	NA	silver
Q9FM71	A0A1D6KHZ8	AF-Q9FM71-F1-model_v3	AF-A0A1D6KHZ8-F1-model_v3	4.7e-68	234.6	8.45e-05	966.86	NA	NA	gold
Q9FM74	A0A1D6K5L2	AF-Q9FM74-F1-model_v3	AF-A0A1D6K5L2-F1-model_v3	1.2e-10	57.8	6.40e-01	84.19	NA	NA	gold
Q9FM77	A0A1D6IVE7	AF-Q9FM77-F1-model_v3	AF-A0A1D6IVE7-F1-model_v3	5.9e-28	113.2	4.14e-05	589.17	4.118E-14	811	platinum
Q9FM79	A0A1D6IJ74	AF-Q9FM79-F1-model_v3	AF-A0A1D6IJ74-F1-model_v3	8.8e-117	344.0	0.00e+00	927.73	1.401E-42	2122	platinum
Q9FM80	A0A1D6EZN9	AF-Q9FM80-F1-model_v3	AF-A0A1D6EZN9-F1-model_v3	1.4e-38	148.3	4.36e-09	1130.27	NA	NA	gold
Q9FM85	A0A1D6JP48	AF-Q9FM85-F1-model_v3	AF-A0A1D6JP48-F1-model_v3	7.8e-203	564.3	0.00e+00	952.74	1.867E-56	2441	platinum
Q9FM86	A0A1D6MBA8	AF-Q9FM86-F1-model_v3	AF-A0A1D6MBA8-F1-model_v3	4.6e-151	427.6	0.00e+00	811.43	1.004E-29	1639	platinum
Q9FM96	A0A1D6FB31	AF-Q9FM96-F1-model_v3	AF-A0A1D6FB31-F1-model_v3	2.6e-109	345.9	2.42e-06	1013.37	NA	NA	gold
Q9FM97	C0PGG5	AF-Q9FM97-F1-model_v3	AF-C0PGG5-F1-model_v3	3.3e-290	794.3	NA	NA	1.940E-94	3911	gold
Q9FMA1	K7UT23	AF-Q9FMA1-F1-model_v3	AF-K7UT23-F1-model_v3	1.1e-118	359.4	NA	NA	NA	NA	silver
Q9FMC2	A0A1D6HJ36	AF-Q9FMC2-F1-model_v3	AF-A0A1D6HJ36-F1-model_v3	1.8e-19	80.5	NA	NA	NA	NA	silver
Q9FMC5	B6TYU1	AF-Q9FMC5-F1-model_v3	AF-B6TYU1-F1-model_v3	1.4e-120	342.4	NA	NA	1.479E-26	1023	gold
Q9FMC7	K7V1E4	AF-Q9FMC7-F1-model_v3	AF-K7V1E4-F1-model_v3	7.5e-82	240.0	0.00e+00	478.03	1.144E-27	1165	platinum
Q9FMD5	B8A1S6	AF-Q9FMD5-F1-model_v3	AF-B8A1S6-F1-model_v3	6.4e-88	275.4	1.55e-04	762.16	2.251E-24	1039	platinum
Q9FME4	C0P6L3	AF-Q9FME4-F1-model_v3	AF-C0P6L3-F1-model_v3	6.6e-124	371.7	0.00e+00	1241.50	5.066E-32	1965	platinum
Q9FMF1	B6SRX9	AF-Q9FMF1-F1-model_v3	AF-B6SRX9-F1-model_v3	5.5e-181	509.2	0.00e+00	1001.08	3.575E-61	2512	platinum
Q9FMF5	A0A1D6HB21	AF-Q9FMF5-F1-model_v3	AF-A0A1D6HB21-F1-model_v3	5.7e-278	783.1	3.45e-10	1484.87	2.900E-61	3414	platinum
Q9FMF7	Q768R3	AF-Q9FMF7-F1-model_v3	AF-Q768R3-F1-model_v3	5.6e-262	727.2	NA	NA	3.233E-60	3296	gold
Q9FMG0	B4F8B4	AF-Q9FMG0-F1-model_v3	AF-B4F8B4-F1-model_v3	2.0e-174	487.3	0.00e+00	955.40	1.772E-58	2306	platinum
Q9FMG4	A0A1D6IK73	AF-Q9FMG4-F1-model_v3	AF-A0A1D6IK73-F1-model_v3	2.2e-64	203.4	NA	NA	4.022E-23	896	gold
Q9FMG6	C0P9D4	AF-Q9FMG6-F1-model_v3	AF-C0P9D4-F1-model_v3	1.6e-57	177.9	0.00e+00	454.81	4.323E-11	361	platinum
Q9FMG8	B6U9K0	AF-Q9FMG8-F1-model_v3	AF-B6U9K0-F1-model_v3	7.2e-15	63.5	6.35e-06	176.84	1.051E-04	177	platinum
Q9FMH5	B8A1M4	AF-Q9FMH5-F1-model_v3	AF-B8A1M4-F1-model_v3	3.3e-119	349.4	0.00e+00	919.90	1.661E-29	1693	platinum
Q9FMH9	B4FAC4	AF-Q9FMH9-F1-model_v3	AF-B4FAC4-F1-model_v3	2.5e-59	181.4	1.28e-11	392.15	4.153E-13	607	platinum
Q9FMI5	A0A1D6KG79	AF-Q9FMI5-F1-model_v3	AF-A0A1D6KG79-F1-model_v3	4.9e-106	316.2	0.00e+00	831.95	4.563E-42	1721	platinum
Q9FMI8	B4FSL0	AF-Q9FMI8-F1-model_v3	AF-B4FSL0-F1-model_v3	1.0e-109	330.9	2.60e-13	870.97	2.608E-30	1722	platinum
Q9FMJ4	A0A1D6JM25	AF-Q9FMJ4-F1-model_v3	AF-A0A1D6JM25-F1-model_v3	9.7e-190	537.7	0.00e+00	1269.67	1.717E-66	2809	platinum
Q9FMK9	A0A1D6I9U6	AF-Q9FMK9-F1-model_v3	AF-A0A1D6I9U6-F1-model_v3	1.6e-156	447.2	0.00e+00	1019.60	5.407E-60	2364	platinum
Q9FML0	K7UQN1	AF-Q9FML0-F1-model_v3	AF-K7UQN1-F1-model_v3	7.1e-34	120.2	NA	NA	6.897E-16	660	gold
Q9FML2	A0A1D6Q029	AF-Q9FML2-F1-model_v3	AF-A0A1D6Q029-F1-model_v3	5.0e-236	655.2	NA	NA	NA	NA	silver
Q9FML3	A0A1D6GZV6	AF-Q9FML3-F1-model_v3	AF-A0A1D6GZV6-F1-model_v3	1.9e-80	247.3	0.00e+00	708.03	5.079E-36	1459	platinum
Q9FML4	Q27YF3	AF-Q9FML4-F1-model_v3	AF-Q27YF3-F1-model_v3	6.8e-68	208.0	NA	NA	5.345E-18	709	gold
Q9FMM3	A0A1D6HS02	AF-Q9FMM3-F1-model_v3	AF-A0A1D6HS02-F1-model_v3	2.2e-167	553.5	3.17e-03	1817.18	2.238E-68	2658	platinum
Q9FMN2	A0A1D6PQB6	AF-Q9FMN2-F1-model_v3	AF-A0A1D6PQB6-F1-model_v3	1.2e-211	637.5	NA	NA	1.850E-70	2913	gold
Q9FMN4	A0A1D6NZQ3	AF-Q9FMN4-F1-model_v3	AF-A0A1D6NZQ3-F1-model_v3	1.6e-37	134.8	NA	NA	NA	NA	silver
Q9FMN6	A0A1D6LJ32	AF-Q9FMN6-F1-model_v3	AF-A0A1D6LJ32-F1-model_v3	1.8e-104	318.9	NA	NA	1.366E-50	2137	gold
Q9FMN8	A0A1D6MR53	AF-Q9FMN8-F1-model_v3	AF-A0A1D6MR53-F1-model_v3	4.5e-206	590.1	0.00e+00	1390.17	6.057E-77	3081	platinum
Q9FMP0	A0A1D6KQ83	AF-Q9FMP0-F1-model_v3	AF-A0A1D6KQ83-F1-model_v3	1.3e-41	140.6	7.02e-08	451.85	8.578E-17	632	platinum
Q9FMP3	B4FQJ2	AF-Q9FMP3-F1-model_v3	AF-B4FQJ2-F1-model_v3	1.2e-287	790.4	0.00e+00	1483.72	6.327E-98	3846	platinum
Q9FMP4	B6T0W0	AF-Q9FMP4-F1-model_v3	AF-B6T0W0-F1-model_v3	1.7e-68	202.2	4.49e-13	328.44	5.434E-21	782	platinum
Q9FMR1	K7UBU1	AF-Q9FMR1-F1-model_v3	AF-K7UBU1-F1-model_v3	1.7e-138	407.5	6.70e-09	947.09	NA	NA	gold
Q9FMR2	A0A1D6H9Y4	AF-Q9FMR2-F1-model_v3	AF-A0A1D6H9Y4-F1-model_v3	7.4e-10	55.8	2.73e-03	222.49	NA	NA	gold
Q9FMR5	A0A1D6QJT6	AF-Q9FMR5-F1-model_v3	AF-A0A1D6QJT6-F1-model_v3	1.4e-111	317.8	NA	NA	6.041E-30	1245	gold
Q9FMR9	A0A1D6GZE7	AF-Q9FMR9-F1-model_v3	AF-A0A1D6GZE7-F1-model_v3	1.4e-279	763.5	0.00e+00	1246.72	2.106E-78	3317	platinum
Q9FMS0	C0P670	AF-Q9FMS0-F1-model_v3	AF-C0P670-F1-model_v3	1.2e-07	53.9	8.08e-12	907.03	NA	NA	gold
Q9FMS5	A0A1D6I5L8	AF-Q9FMS5-F1-model_v3	AF-A0A1D6I5L8-F1-model_v3	6.7e-157	466.8	4.44e-16	1232.64	1.482E-55	2488	platinum
Q9FMU2	A0A1D6EIG9	AF-Q9FMU2-F1-model_v3	AF-A0A1D6EIG9-F1-model_v3	5.8e-51	186.4	NA	NA	5.668E-30	2046	gold
