Uniprot_arabadopsis	Uniprot_rice	AlphaFold_arabadopsis	AlphaFold_rice	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q9FJF5	Q943L5	AF-Q9FJF5-F1-model_v3	AF-Q943L5-F1-model_v3	5.9e-76	242.3	NA	NA	7.574E-27	1047	gold
Q9FJG9	A0A0P0XQB6	AF-Q9FJG9-F1-model_v3	AF-A0A0P0XQB6-F1-model_v3	4.1e-195	548.1	0.00e+00	1115.99	1.905E-72	3050	platinum
Q9FJH6	Q84ZB2	AF-Q9FJH6-F1-model_v3	AF-Q84ZB2-F1-model_v3	0.0e+00	965.3	0.00e+00	1669.13	1.641E-103	4424	platinum
Q9FJI1	Q7EYP9	AF-Q9FJI1-F1-model_v3	AF-Q7EYP9-F1-model_v3	1.8e-85	249.2	0.00e+00	513.59	1.528E-32	1212	platinum
Q9FJJ1	Q69X98	AF-Q9FJJ1-F1-model_v3	AF-Q69X98-F1-model_v3	4.5e-31	122.9	4.00e-03	507.36	NA	NA	gold
Q9FJK4	Q852C6	AF-Q9FJK4-F1-model_v3	AF-Q852C6-F1-model_v3	1.3e-70	214.5	0.00e+00	641.71	1.737E-16	683	platinum
Q9FJK7	P93411	AF-Q9FJK7-F1-model_v3	AF-P93411-F1-model_v3	9.8e-120	342.0	0.00e+00	693.91	1.580E-24	1360	platinum
Q9FJL0	A0A0P0WP88	AF-Q9FJL0-F1-model_v3	AF-A0A0P0WP88-F1-model_v3	1.6e-179	538.1	NA	NA	NA	NA	silver
Q9FJM0	Q2R1U5	AF-Q9FJM0-F1-model_v3	AF-Q2R1U5-F1-model_v3	1.4e-241	674.5	0.00e+00	1393.96	2.447E-77	3154	platinum
Q9FJP0	A0A0P0XH93	AF-Q9FJP0-F1-model_v3	AF-A0A0P0XH93-F1-model_v3	7.2e-34	126.3	3.25e-07	623.08	1.188E-11	416	platinum
Q9FJP3	Q6Z6A0	AF-Q9FJP3-F1-model_v3	AF-Q6Z6A0-F1-model_v3	2.8e-41	136.3	7.96e-13	354.92	1.434E-12	521	platinum
Q9FJP8	Q6ZAK7	AF-Q9FJP8-F1-model_v3	AF-Q6ZAK7-F1-model_v3	2.7e-13	70.5	4.71e-02	446.58	8.767E-07	269	platinum
Q9FJP9	Q6H4G3	AF-Q9FJP9-F1-model_v3	AF-Q6H4G3-F1-model_v3	3.1e-129	370.5	0.00e+00	781.01	2.652E-39	1763	platinum
Q9FJQ0	A0A0P0VPJ9	AF-Q9FJQ0-F1-model_v3	AF-A0A0P0VPJ9-F1-model_v3	5.0e-99	303.1	NA	NA	NA	NA	silver
Q9FJR0	Q0D6B1	AF-Q9FJR0-F1-model_v3	AF-Q0D6B1-F1-model_v3	0.0e+00	1810.0	0.00e+00	2784.80	0.000E+00	7641	platinum
Q9FJR8	Q6ZGZ3	AF-Q9FJR8-F1-model_v3	AF-Q6ZGZ3-F1-model_v3	1.4e-11	60.1	NA	NA	NA	NA	silver
Q9FJR9	Q7XC02	AF-Q9FJR9-F1-model_v3	AF-Q7XC02-F1-model_v3	0.0e+00	902.5	0.00e+00	1769.84	1.082E-82	3885	platinum
Q9FJS2	Q336P2	AF-Q9FJS2-F1-model_v3	AF-Q336P2-F1-model_v3	3.2e-245	707.6	5.83e-14	1713.67	NA	NA	gold
Q9FJS9	Q6L4N3	AF-Q9FJS9-F1-model_v3	AF-Q6L4N3-F1-model_v3	7.7e-46	154.1	NA	NA	NA	NA	silver
Q9FJT7	Q6Z8B1	AF-Q9FJT7-F1-model_v3	AF-Q6Z8B1-F1-model_v3	5.5e-186	517.3	0.00e+00	1017.02	7.302E-59	2392	platinum
Q9FJT8	Q6ES10	AF-Q9FJT8-F1-model_v3	AF-Q6ES10-F1-model_v3	5.3e-136	399.8	0.00e+00	1157.21	1.025E-52	2240	platinum
Q9FJT9	A0A0P0V430	AF-Q9FJT9-F1-model_v3	AF-A0A0P0V430-F1-model_v3	6.5e-233	672.9	NA	NA	2.037E-58	2926	gold
Q9FJV0	Q5QN75	AF-Q9FJV0-F1-model_v3	AF-Q5QN75-F1-model_v3	3.1e-180	503.4	0.00e+00	911.79	1.356E-51	2236	platinum
Q9FJV5	Q10EL0	AF-Q9FJV5-F1-model_v3	AF-Q10EL0-F1-model_v3	4.7e-36	132.5	NA	NA	NA	NA	silver
Q9FJW4	Q69WE3	AF-Q9FJW4-F1-model_v3	AF-Q69WE3-F1-model_v3	9.4e-70	207.6	2.98e-13	412.23	1.286E-21	800	platinum
Q9FJX0	A0A0P0VUB1	AF-Q9FJX0-F1-model_v3	AF-A0A0P0VUB1-F1-model_v3	2.3e-80	249.6	NA	NA	NA	NA	silver
Q9FJX3	Q84P97	AF-Q9FJX3-F1-model_v3	AF-Q84P97-F1-model_v3	3.7e-116	334.7	0.00e+00	810.99	2.134E-37	1773	platinum
Q9FJX6	Q10Q99	AF-Q9FJX6-F1-model_v3	AF-Q10Q99-F1-model_v3	3.4e-187	561.6	3.12e-07	1675.72	2.916E-49	2698	platinum
Q9FJY2	A0A0P0XPU0	AF-Q9FJY2-F1-model_v3	AF-A0A0P0XPU0-F1-model_v3	5.1e-20	81.6	NA	NA	NA	NA	silver
Q9FJY6	Q6K2P3	AF-Q9FJY6-F1-model_v3	AF-Q6K2P3-F1-model_v3	8.1e-157	440.7	0.00e+00	865.89	3.944E-49	2225	platinum
Q9FJY9	Q75LG4	AF-Q9FJY9-F1-model_v3	AF-Q75LG4-F1-model_v3	1.2e-104	321.2	NA	NA	6.159E-25	1693	gold
Q9FJZ3	Q0JKM9	AF-Q9FJZ3-F1-model_v3	AF-Q0JKM9-F1-model_v3	2.8e-188	530.0	0.00e+00	1137.09	4.410E-60	2566	platinum
Q9FJZ7	Q69XZ5	AF-Q9FJZ7-F1-model_v3	AF-Q69XZ5-F1-model_v3	0.0e+00	980.7	0.00e+00	2021.87	0.000E+00	4916	platinum
Q9FK02	Q0D661	AF-Q9FK02-F1-model_v3	AF-Q0D661-F1-model_v3	8.9e-106	315.1	NA	NA	3.245E-42	1720	gold
Q9FK21	Q7FAN9	AF-Q9FK21-F1-model_v3	AF-Q7FAN9-F1-model_v3	1.8e-216	631.7	2.77e-08	1398.17	NA	NA	gold
Q9FK25	Q6ZD89	AF-Q9FK25-F1-model_v3	AF-Q6ZD89-F1-model_v3	1.4e-155	441.8	0.00e+00	996.25	8.102E-53	2157	platinum
Q9FK33	Q6ZKI7	AF-Q9FK33-F1-model_v3	AF-Q6ZKI7-F1-model_v3	3.9e-167	496.1	0.00e+00	1764.72	4.955E-44	2867	platinum
Q9FK37	A0A0P0WYJ8	AF-Q9FK37-F1-model_v3	AF-A0A0P0WYJ8-F1-model_v3	9.7e-39	149.4	NA	NA	NA	NA	silver
Q9FK51	A0A0P0X2W8	AF-Q9FK51-F1-model_v3	AF-A0A0P0X2W8-F1-model_v3	8.5e-112	327.4	0.00e+00	672.53	2.711E-37	1540	platinum
Q9FK54	A3A2U9	AF-Q9FK54-F1-model_v3	AF-A3A2U9-F1-model_v3	2.8e-09	58.2	NA	NA	NA	NA	silver
Q9FK59	Q10NQ9	AF-Q9FK59-F1-model_v3	AF-Q10NQ9-F1-model_v3	9.4e-119	337.0	0.00e+00	592.69	2.992E-37	1484	platinum
Q9FK63	B7F9F7	AF-Q9FK63-F1-model_v3	AF-B7F9F7-F1-model_v3	1.9e-122	379.4	1.82e-13	1316.13	9.886E-52	2418	platinum
Q9FK73	Q5W6J1	AF-Q9FK73-F1-model_v3	AF-Q5W6J1-F1-model_v3	1.6e-55	181.0	NA	NA	3.734E-25	991	gold
Q9FK75	Q75II0	AF-Q9FK75-F1-model_v3	AF-Q75II0-F1-model_v3	7.1e-169	475.3	NA	NA	7.066E-58	2405	gold
Q9FK81	Q53PY3	AF-Q9FK81-F1-model_v3	AF-Q53PY3-F1-model_v3	6.8e-35	115.9	0.00e+00	304.83	2.962E-14	542	platinum
Q9FK88	Q6H6N5	AF-Q9FK88-F1-model_v3	AF-Q6H6N5-F1-model_v3	1.1e-316	870.2	0.00e+00	1553.12	7.091E-77	3757	platinum
Q9FK91	Q0E0Q3	AF-Q9FK91-F1-model_v3	AF-Q0E0Q3-F1-model_v3	0.0e+00	936.8	0.00e+00	2178.71	0.000E+00	4901	platinum
Q9FK93	Q65XK6	AF-Q9FK93-F1-model_v3	AF-Q65XK6-F1-model_v3	4.5e-199	578.2	NA	NA	1.606E-46	3014	gold
Q9FKA3	B9FCZ7	AF-Q9FKA3-F1-model_v3	AF-B9FCZ7-F1-model_v3	4.4e-148	436.0	0.00e+00	1189.23	3.850E-53	2450	platinum
Q9FKA5	Q7XXQ8	AF-Q9FKA5-F1-model_v3	AF-Q7XXQ8-F1-model_v3	7.5e-16	78.2	1.47e-02	530.87	5.178E-08	317	platinum
Q9FKB0	Q60E54	AF-Q9FKB0-F1-model_v3	AF-Q60E54-F1-model_v3	5.6e-53	159.8	0.00e+00	238.73	1.791E-14	675	platinum
Q9FKB3	O24210	AF-Q9FKB3-F1-model_v3	AF-O24210-F1-model_v3	2.3e-134	383.6	0.00e+00	796.91	2.162E-48	1896	platinum
Q9FKB5	Q283L0	AF-Q9FKB5-F1-model_v3	AF-Q283L0-F1-model_v3	4.3e-35	124.0	7.17e-05	351.67	3.945E-14	512	platinum
Q9FKC3	Q5SND3	AF-Q9FKC3-F1-model_v3	AF-Q5SND3-F1-model_v3	1.6e-61	209.9	0.00e+00	1287.49	5.388E-40	2306	platinum
Q9FKF4	Q6H3Y3	AF-Q9FKF4-F1-model_v3	AF-Q6H3Y3-F1-model_v3	4.0e-134	383.6	3.27e-12	732.69	1.039E-34	1430	platinum
Q9FKI0	Q6ZGW3	AF-Q9FKI0-F1-model_v3	AF-Q6ZGW3-F1-model_v3	4.1e-317	878.2	0.00e+00	1787.06	2.633E-62	3773	platinum
Q9FKI4	Q7XQS0	AF-Q9FKI4-F1-model_v3	AF-Q7XQS0-F1-model_v3	1.8e-95	275.8	0.00e+00	502.89	4.053E-33	1309	platinum
Q9FKJ0	A0A0P0WES8	AF-Q9FKJ0-F1-model_v3	AF-A0A0P0WES8-F1-model_v3	1.5e-123	365.5	0.00e+00	1028.20	2.269E-57	2504	platinum
Q9FKK1	Q2RBP5	AF-Q9FKK1-F1-model_v3	AF-Q2RBP5-F1-model_v3	4.8e-26	93.2	4.14e-05	201.33	5.078E-09	305	platinum
Q9FKK6	A0A0P0WHF9	AF-Q9FKK6-F1-model_v3	AF-A0A0P0WHF9-F1-model_v3	5.2e-102	307.8	7.66e-15	885.62	1.932E-37	1569	platinum
Q9FKK7	Q8H3Q7	AF-Q9FKK7-F1-model_v3	AF-Q8H3Q7-F1-model_v3	1.5e-286	782.7	0.00e+00	1311.47	4.366E-71	3326	platinum
Q9FKL6	Q6YU05	AF-Q9FKL6-F1-model_v3	AF-Q6YU05-F1-model_v3	1.0e-259	728.8	3.27e-10	1430.89	1.675E-75	3126	platinum
Q9FKM0	Q6ZCS9	AF-Q9FKM0-F1-model_v3	AF-Q6ZCS9-F1-model_v3	4.5e-06	43.5	8.38e-04	175.74	NA	NA	gold
Q9FKM1	Q6K8V8	AF-Q9FKM1-F1-model_v3	AF-Q6K8V8-F1-model_v3	5.2e-97	289.7	0.00e+00	737.08	1.313E-39	1489	platinum
Q9FKM4	Q6Z0T9	AF-Q9FKM4-F1-model_v3	AF-Q6Z0T9-F1-model_v3	6.4e-228	647.5	4.42e-14	1430.57	1.309E-77	3286	platinum
Q9FKM5	Q6YU07	AF-Q9FKM5-F1-model_v3	AF-Q6YU07-F1-model_v3	8.9e-69	215.7	0.00e+00	659.67	1.050E-35	1391	platinum
Q9FKM7	Q0J9G7	AF-Q9FKM7-F1-model_v3	AF-Q0J9G7-F1-model_v3	2.6e-42	139.0	NA	NA	3.570E-16	624	gold
Q9FKN5	A0A0P0V9H2	AF-Q9FKN5-F1-model_v3	AF-A0A0P0V9H2-F1-model_v3	9.7e-31	132.1	1.94e-02	1258.82	7.408E-19	672	platinum
Q9FKP0	Q2R2R2	AF-Q9FKP0-F1-model_v3	AF-Q2R2R2-F1-model_v3	1.1e-22	85.1	1.91e-03	177.94	9.359E-06	230	platinum
Q9FKP1	Q7Y0B2	AF-Q9FKP1-F1-model_v3	AF-Q7Y0B2-F1-model_v3	5.7e-141	420.2	NA	NA	4.235E-33	1933	gold
Q9FKP4	B9FS74	AF-Q9FKP4-F1-model_v3	AF-B9FS74-F1-model_v3	0.0e+00	1498.4	0.00e+00	3107.69	0.000E+00	6458	platinum
Q9FKQ1	Q6ZB84	AF-Q9FKQ1-F1-model_v3	AF-Q6ZB84-F1-model_v3	4.4e-201	567.0	0.00e+00	1381.50	1.419E-40	2453	platinum
Q9FKQ8	A0A0N7KG47	AF-Q9FKQ8-F1-model_v3	AF-A0A0N7KG47-F1-model_v3	6.2e-309	855.9	0.00e+00	1688.49	3.615E-60	3369	platinum
Q9FKT0	Q7XR80	AF-Q9FKT0-F1-model_v3	AF-Q7XR80-F1-model_v3	5.8e-218	609.0	0.00e+00	1259.90	7.716E-58	2773	platinum
Q9FKT4	B7FAH5	AF-Q9FKT4-F1-model_v3	AF-B7FAH5-F1-model_v3	1.7e-138	393.3	1.64e-12	683.89	9.701E-38	1499	platinum
Q9FKT5	Q69VQ7	AF-Q9FKT5-F1-model_v3	AF-Q69VQ7-F1-model_v3	1.7e-182	506.5	0.00e+00	859.15	1.926E-52	2354	platinum
Q9FKT8	Q6Z5C5	AF-Q9FKT8-F1-model_v3	AF-Q6Z5C5-F1-model_v3	2.1e-216	604.4	0.00e+00	1201.75	6.962E-44	2466	platinum
Q9FKU6	Q69V63	AF-Q9FKU6-F1-model_v3	AF-Q69V63-F1-model_v3	2.4e-06	43.1	NA	NA	NA	NA	silver
Q9FKW4	Q6Z2M9	AF-Q9FKW4-F1-model_v3	AF-Q6Z2M9-F1-model_v3	2.2e-278	765.8	NA	NA	NA	NA	silver
Q9FKW6	Q6ZFJ3	AF-Q9FKW6-F1-model_v3	AF-Q6ZFJ3-F1-model_v3	2.4e-204	565.1	NA	NA	1.890E-65	2552	gold
Q9FKW9	Q10A56	AF-Q9FKW9-F1-model_v3	AF-Q10A56-F1-model_v3	0.0e+00	1281.5	0.00e+00	2842.49	0.000E+00	7015	platinum
Q9FKX3	Q7XJ15	AF-Q9FKX3-F1-model_v3	AF-Q7XJ15-F1-model_v3	7.1e-68	206.5	4.02e-12	459.54	1.868E-25	990	platinum
Q9FKY5	Q0IW12	AF-Q9FKY5-F1-model_v3	AF-Q0IW12-F1-model_v3	8.8e-169	490.0	NA	NA	NA	NA	silver
Q9FKZ3	A0A0P0W082	AF-Q9FKZ3-F1-model_v3	AF-A0A0P0W082-F1-model_v3	1.9e-55	184.9	5.91e-05	542.39	3.146E-19	771	platinum
Q9FKZ6	Q338N2	AF-Q9FKZ6-F1-model_v3	AF-Q338N2-F1-model_v3	3.6e-50	183.7	5.32e-04	966.36	4.047E-25	1020	platinum
Q9FL02	Q75GU1	AF-Q9FL02-F1-model_v3	AF-Q75GU1-F1-model_v3	2.4e-21	83.6	1.71e-03	186.30	NA	NA	gold
Q9FL03	Q53K16	AF-Q9FL03-F1-model_v3	AF-Q53K16-F1-model_v3	2.8e-140	419.1	3.02e-09	1256.66	2.990E-52	2507	platinum
Q9FL05	A0A0P0UXJ0	AF-Q9FL05-F1-model_v3	AF-A0A0P0UXJ0-F1-model_v3	2.7e-222	620.5	0.00e+00	1309.97	1.312E-57	2956	platinum
Q9FL12	Q67VA4	AF-Q9FL12-F1-model_v3	AF-Q67VA4-F1-model_v3	5.5e-302	832.8	0.00e+00	1591.54	NA	NA	gold
Q9FL28	Q0JA29	AF-Q9FL28-F1-model_v3	AF-Q0JA29-F1-model_v3	1.0e-88	312.0	0.00e+00	3022.32	1.088E-102	5711	platinum
Q9FL33	Q0DHC4	AF-Q9FL33-F1-model_v3	AF-Q0DHC4-F1-model_v3	0.0e+00	995.3	0.00e+00	2047.55	0.000E+00	5058	platinum
Q9FL37	Q9LE07	AF-Q9FL37-F1-model_v3	AF-Q9LE07-F1-model_v3	1.8e-47	151.0	NA	NA	2.534E-21	934	gold
Q9FL44	Q6ZI79	AF-Q9FL44-F1-model_v3	AF-Q6ZI79-F1-model_v3	1.5e-61	193.0	3.63e-04	320.77	NA	NA	gold
Q9FL51	Q7XR24	AF-Q9FL51-F1-model_v3	AF-Q7XR24-F1-model_v3	3.0e-71	252.3	0.00e+00	2053.68	3.541E-73	3921	platinum
Q9FL54	Q6H7N3	AF-Q9FL54-F1-model_v3	AF-Q6H7N3-F1-model_v3	3.0e-111	322.8	2.00e-15	701.29	3.788E-25	1190	platinum
Q9FL59	Q69T22	AF-Q9FL59-F1-model_v3	AF-Q69T22-F1-model_v3	0.0e+00	1182.2	0.00e+00	2168.66	0.000E+00	5607	platinum
Q9FL69	Q69QY4	AF-Q9FL69-F1-model_v3	AF-Q69QY4-F1-model_v3	2.9e-120	360.5	1.06e-05	860.79	1.761E-38	1476	platinum
Q9FL70	Q8H348	AF-Q9FL70-F1-model_v3	AF-Q8H348-F1-model_v3	1.1e-25	104.8	2.03e-05	619.96	7.917E-15	528	platinum
Q9FL82	Q84MG7	AF-Q9FL82-F1-model_v3	AF-Q84MG7-F1-model_v3	4.4e-95	279.3	0.00e+00	666.50	3.840E-38	1531	platinum
Q9FL87	Q5JMG0	AF-Q9FL87-F1-model_v3	AF-Q5JMG0-F1-model_v3	6.2e-38	126.7	1.12e-07	347.59	3.719E-14	562	platinum
Q9FLA2	A0A0P0XF41	AF-Q9FLA2-F1-model_v3	AF-A0A0P0XF41-F1-model_v3	1.9e-14	73.9	NA	NA	NA	NA	silver
Q9FLB0	Q761Z9	AF-Q9FLB0-F1-model_v3	AF-Q761Z9-F1-model_v3	3.4e-250	702.2	0.00e+00	1625.22	5.363E-79	3376	platinum
Q9FLD3	Q6I5Q5	AF-Q9FLD3-F1-model_v3	AF-Q6I5Q5-F1-model_v3	3.1e-40	146.7	2.05e-07	657.71	4.682E-19	775	platinum
Q9FLD4	Q7XEP5	AF-Q9FLD4-F1-model_v3	AF-Q7XEP5-F1-model_v3	1.5e-90	268.9	0.00e+00	665.71	9.788E-37	1503	platinum
Q9FLD7	Q2QLJ7	AF-Q9FLD7-F1-model_v3	AF-Q2QLJ7-F1-model_v3	3.9e-198	555.4	0.00e+00	1126.83	8.447E-68	2716	platinum
Q9FLD8	Q8LPZ1	AF-Q9FLD8-F1-model_v3	AF-Q8LPZ1-F1-model_v3	1.0e-15	80.9	0.00e+00	1671.81	6.912E-41	2577	platinum
Q9FLE4	Q5VQ69	AF-Q9FLE4-F1-model_v3	AF-Q5VQ69-F1-model_v3	0.0e+00	993.4	0.00e+00	1846.17	0.000E+00	4855	platinum
Q9FLF0	Q2R1J8	AF-Q9FLF0-F1-model_v3	AF-Q2R1J8-F1-model_v3	3.6e-114	323.2	0.00e+00	561.04	4.438E-29	1303	platinum
Q9FLF3	Q6UUH5	AF-Q9FLF3-F1-model_v3	AF-Q6UUH5-F1-model_v3	2.6e-119	343.6	0.00e+00	691.55	8.800E-40	1447	platinum
Q9FLG1	Q7X6F6	AF-Q9FLG1-F1-model_v3	AF-Q7X6F6-F1-model_v3	0.0e+00	1094.7	0.00e+00	2199.32	0.000E+00	5592	platinum
Q9FLG2	Q10D38	AF-Q9FLG2-F1-model_v3	AF-Q10D38-F1-model_v3	6.2e-197	548.5	0.00e+00	968.77	3.134E-47	2069	platinum
Q9FLG8	Q7XKJ7	AF-Q9FLG8-F1-model_v3	AF-Q7XKJ7-F1-model_v3	4.1e-204	573.9	0.00e+00	1114.60	6.678E-37	2119	platinum
Q9FLH0	Q0JJ05	AF-Q9FLH0-F1-model_v3	AF-Q0JJ05-F1-model_v3	1.6e-52	199.9	2.48e-10	2380.34	1.818E-41	1286	platinum
Q9FLH2	A0A0P0W9W2	AF-Q9FLH2-F1-model_v3	AF-A0A0P0W9W2-F1-model_v3	0.0e+00	1753.0	0.00e+00	2885.99	0.000E+00	7656	platinum
Q9FLI4	A0A0P0WDQ9	AF-Q9FLI4-F1-model_v3	AF-A0A0P0WDQ9-F1-model_v3	0.0e+00	928.3	NA	NA	NA	NA	silver
Q9FLI5	Q6Z754	AF-Q9FLI5-F1-model_v3	AF-Q6Z754-F1-model_v3	1.3e-123	368.2	6.65e-09	834.82	1.829E-32	1506	platinum
Q9FLI7	Q0D6L9	AF-Q9FLI7-F1-model_v3	AF-Q0D6L9-F1-model_v3	7.3e-40	128.3	4.47e-11	269.94	1.163E-12	481	platinum
Q9FLJ3	Q5Z8T9	AF-Q9FLJ3-F1-model_v3	AF-Q5Z8T9-F1-model_v3	2.0e-06	42.0	3.74e-03	121.51	NA	NA	gold
Q9FLJ6	A0A0P0XUC4	AF-Q9FLJ6-F1-model_v3	AF-A0A0P0XUC4-F1-model_v3	3.6e-60	204.9	0.00e+00	1234.63	8.624E-28	1698	platinum
Q9FLJ8	Q10DI4	AF-Q9FLJ8-F1-model_v3	AF-Q10DI4-F1-model_v3	1.4e-298	844.7	NA	NA	0.000E+00	4819	gold
Q9FLL1	Q6Z7B7	AF-Q9FLL1-F1-model_v3	AF-Q6Z7B7-F1-model_v3	3.1e-177	514.2	1.34e-07	1026.34	3.418E-53	2045	platinum
Q9FLM8	B9EXB4	AF-Q9FLM8-F1-model_v3	AF-B9EXB4-F1-model_v3	2.3e-29	97.4	0.00e+00	143.81	2.121E-08	344	platinum
Q9FLN3	Q0JHQ5	AF-Q9FLN3-F1-model_v3	AF-Q0JHQ5-F1-model_v3	3.2e-25	88.2	0.00e+00	191.79	1.154E-09	375	platinum
Q9FLN4	O65037	AF-Q9FLN4-F1-model_v3	AF-O65037-F1-model_v3	2.8e-74	222.2	1.13e-09	420.59	1.157E-21	888	platinum
Q9FLN5	Q7XQZ9	AF-Q9FLN5-F1-model_v3	AF-Q7XQZ9-F1-model_v3	2.0e-31	104.0	0.00e+00	191.90	4.833E-08	343	platinum
Q9FLN8	Q0J998	AF-Q9FLN8-F1-model_v3	AF-Q0J998-F1-model_v3	2.8e-172	486.5	0.00e+00	1035.93	1.027E-58	2490	platinum
Q9FLP0	Q69XG1	AF-Q9FLP0-F1-model_v3	AF-Q69XG1-F1-model_v3	3.0e-255	712.2	0.00e+00	1564.64	2.472E-50	2680	platinum
Q9FLR0	Q948H5	AF-Q9FLR0-F1-model_v3	AF-Q948H5-F1-model_v3	3.5e-159	459.9	0.00e+00	1055.33	5.272E-62	2516	platinum
Q9FLR3	Q7XUV6	AF-Q9FLR3-F1-model_v3	AF-Q7XUV6-F1-model_v3	6.4e-94	282.7	NA	NA	NA	NA	silver
Q9FLT2	Q6H545	AF-Q9FLT2-F1-model_v3	AF-Q6H545-F1-model_v3	9.9e-95	282.0	0.00e+00	746.68	2.060E-38	1533	platinum
Q9FLT3	Q2R352	AF-Q9FLT3-F1-model_v3	AF-Q2R352-F1-model_v3	9.1e-60	186.8	NA	NA	1.682E-25	1102	gold
Q9FLU1	Q0E3Y8	AF-Q9FLU1-F1-model_v3	AF-Q0E3Y8-F1-model_v3	2.5e-52	179.5	4.61e-04	631.05	NA	NA	gold
Q9FLU3	Q337D0	AF-Q9FLU3-F1-model_v3	AF-Q337D0-F1-model_v3	1.1e-53	166.0	2.36e-09	308.92	9.075E-19	738	platinum
Q9FLU4	Q6K858	AF-Q9FLU4-F1-model_v3	AF-Q6K858-F1-model_v3	3.2e-84	251.5	NA	NA	5.574E-20	980	gold
Q9FLU5	A0A0P0W6H8	AF-Q9FLU5-F1-model_v3	AF-A0A0P0W6H8-F1-model_v3	1.1e-43	154.1	6.81e-08	670.01	2.970E-25	1022	platinum
Q9FLU7	B9F463	AF-Q9FLU7-F1-model_v3	AF-B9F463-F1-model_v3	2.2e-62	202.2	NA	NA	NA	NA	silver
Q9FLV1	Q69UI8	AF-Q9FLV1-F1-model_v3	AF-Q69UI8-F1-model_v3	3.5e-27	96.3	1.70e-10	277.02	8.972E-11	432	platinum
Q9FLV8	Q8RZL9	AF-Q9FLV8-F1-model_v3	AF-Q8RZL9-F1-model_v3	4.3e-08	54.7	NA	NA	NA	NA	silver
Q9FLX3	Q65X90	AF-Q9FLX3-F1-model_v3	AF-Q65X90-F1-model_v3	2.6e-53	175.3	5.78e-12	551.01	9.304E-17	878	platinum
Q9FLX7	Q10MD5	AF-Q9FLX7-F1-model_v3	AF-Q10MD5-F1-model_v3	5.7e-78	229.6	2.74e-11	406.96	8.562E-19	798	platinum
Q9FLY0	Q8LN35	AF-Q9FLY0-F1-model_v3	AF-Q8LN35-F1-model_v3	4.3e-97	290.4	0.00e+00	897.43	6.960E-46	1875	platinum
Q9FM03	Q0DY98	AF-Q9FM03-F1-model_v3	AF-Q0DY98-F1-model_v3	1.9e-40	144.4	NA	NA	NA	NA	silver
Q9FM04	Q337K6	AF-Q9FM04-F1-model_v3	AF-Q337K6-F1-model_v3	5.0e-127	360.5	0.00e+00	688.49	4.181E-39	1575	platinum
Q9FM11	A0A0P0V643	AF-Q9FM11-F1-model_v3	AF-A0A0P0V643-F1-model_v3	4.7e-128	366.3	0.00e+00	770.92	1.586E-46	1787	platinum
Q9FM19	Q6L4S3	AF-Q9FM19-F1-model_v3	AF-Q6L4S3-F1-model_v3	3.4e-180	497.7	NA	NA	1.264E-47	1912	gold
Q9FM51	Q7X6X5	AF-Q9FM51-F1-model_v3	AF-Q7X6X5-F1-model_v3	7.6e-128	369.8	0.00e+00	871.81	2.895E-42	1956	platinum
Q9FM53	Q7XRX7	AF-Q9FM53-F1-model_v3	AF-Q7XRX7-F1-model_v3	1.0e-103	319.3	1.49e-14	993.19	1.860E-36	1742	platinum
Q9FM57	A0A0N7KQZ7	AF-Q9FM57-F1-model_v3	AF-A0A0N7KQZ7-F1-model_v3	9.6e-10	63.9	3.26e-02	1583.50	7.111E-08	316	platinum
Q9FM67	Q0DXY2	AF-Q9FM67-F1-model_v3	AF-Q0DXY2-F1-model_v3	2.2e-48	154.8	0.00e+00	377.84	NA	NA	gold
Q9FM71	Q6ZBP8	AF-Q9FM71-F1-model_v3	AF-Q6ZBP8-F1-model_v3	7.5e-73	247.7	NA	NA	NA	NA	silver
Q9FM74	A0A0N7KHL5	AF-Q9FM74-F1-model_v3	AF-A0A0N7KHL5-F1-model_v3	3.0e-32	111.7	1.29e-03	175.68	NA	NA	gold
Q9FM77	Q2QQC8	AF-Q9FM77-F1-model_v3	AF-Q2QQC8-F1-model_v3	3.3e-71	224.2	7.33e-11	698.98	9.205E-21	1144	platinum
Q9FM80	Q84ZT1	AF-Q9FM80-F1-model_v3	AF-Q84ZT1-F1-model_v3	6.5e-38	145.2	2.10e-12	1111.98	7.562E-37	2041	platinum
Q9FM87	Q6Z062	AF-Q9FM87-F1-model_v3	AF-Q6Z062-F1-model_v3	1.7e-17	84.3	NA	NA	NA	NA	silver
Q9FM94	A0A0P0Y117	AF-Q9FM94-F1-model_v3	AF-A0A0P0Y117-F1-model_v3	7.7e-14	72.8	NA	NA	NA	NA	silver
Q9FM96	Q5NBP9	AF-Q9FM96-F1-model_v3	AF-Q5NBP9-F1-model_v3	2.6e-156	463.8	6.75e-10	1366.44	1.445E-56	2452	platinum
Q9FM97	Q5NBQ0	AF-Q9FM97-F1-model_v3	AF-Q5NBQ0-F1-model_v3	1.8e-291	797.3	NA	NA	5.374E-94	3886	gold
Q9FMA3	Q6ZKM0	AF-Q9FMA3-F1-model_v3	AF-Q6ZKM0-F1-model_v3	4.9e-202	588.2	1.46e-07	1494.82	1.461E-55	3143	platinum
Q9FMB4	A0A0P0XLL8	AF-Q9FMB4-F1-model_v3	AF-A0A0P0XLL8-F1-model_v3	3.4e-190	549.7	7.87e-10	1075.51	8.767E-35	1424	platinum
