Uniprot_arabadopsis	Uniprot_human	AlphaFold_arabadopsis	AlphaFold_human	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q9LSS7	Q96LD8	AF-Q9LSS7-F1-model_v3	AF-Q96LD8-F1-model_v3	4.0e-32	116.3	0.00e+00	513.97	2.848E-17	763	platinum
Q9LST0	Q9ULA0	AF-Q9LST0-F1-model_v3	AF-Q9ULA0-F1-model_v3	3.4e-163	470.3	0.00e+00	1287.67	1.600E-69	2886	platinum
Q9LSW0	Q9H773	AF-Q9LSW0-F1-model_v3	AF-Q9H773-F1-model_v3	7.6e-32	111.3	1.47e-10	292.00	2.278E-09	453	platinum
Q9LSW8	P38117	AF-Q9LSW8-F1-model_v3	AF-P38117-F1-model_v3	1.6e-101	295.8	0.00e+00	708.42	2.259E-39	1575	platinum
Q9LSZ9	O15270	AF-Q9LSZ9-F1-model_v3	AF-O15270-F1-model_v3	3.8e-169	488.8	0.00e+00	1361.87	4.347E-64	2814	platinum
Q9LT02	Q9HD20	AF-Q9LT02-F1-model_v3	AF-Q9HD20-F1-model_v3	4.0e-304	883.2	0.00e+00	3023.35	0.000E+00	5936	platinum
Q9LT08	O00487	AF-Q9LT08-F1-model_v3	AF-O00487-F1-model_v3	3.0e-174	484.6	0.00e+00	848.55	6.731E-52	1998	platinum
Q9LT25	O14776	AF-Q9LT25-F1-model_v3	AF-O14776-F1-model_v3	1.9e-42	167.5	1.15e-04	1331.33	NA	NA	gold
Q9LT31	Q14C86	AF-Q9LT31-F1-model_v3	AF-Q14C86-F1-model_v3	7.1e-32	131.0	NA	NA	NA	NA	silver
Q9LT47	O75530	AF-Q9LT47-F1-model_v3	AF-O75530-F1-model_v3	1.1e-85	266.5	0.00e+00	912.98	8.998E-45	2007	platinum
Q9LT72	Q96CM3	AF-Q9LT72-F1-model_v3	AF-Q96CM3-F1-model_v3	1.1e-25	108.2	NA	NA	2.743E-22	963	gold
Q9LT75	P60484	AF-Q9LT75-F1-model_v3	AF-P60484-F1-model_v3	6.5e-61	208.0	NA	NA	2.834E-34	1480	gold
Q9LTS6	Q9Y3D3	AF-Q9LTS6-F1-model_v3	AF-Q9Y3D3-F1-model_v3	5.6e-23	87.4	0.00e+00	262.19	1.937E-09	443	platinum
Q9LTU6	Q9NRX1	AF-Q9LTU6-F1-model_v3	AF-Q9NRX1-F1-model_v3	6.4e-79	236.9	0.00e+00	572.92	1.465E-28	1187	platinum
Q9LTV6	Q9NUI1	AF-Q9LTV6-F1-model_v3	AF-Q9NUI1-F1-model_v3	7.9e-61	195.3	0.00e+00	708.10	5.931E-32	1264	platinum
Q9LTW8	P17812	AF-Q9LTW8-F1-model_v3	AF-P17812-F1-model_v3	5.8e-240	674.1	0.00e+00	1655.41	1.466E-86	3652	platinum
Q9LTX3	Q8NCW5	AF-Q9LTX3-F1-model_v3	AF-Q8NCW5-F1-model_v3	4.0e-74	236.9	1.85e-13	689.04	3.800E-32	1303	platinum
Q9LTX7	O60524	AF-Q9LTX7-F1-model_v3	AF-O60524-F1-model_v3	2.2e-169	526.9	1.32e-08	2125.61	NA	NA	gold
Q9LU44	Q15637	AF-Q9LU44-F1-model_v3	AF-Q15637-F1-model_v3	5.4e-47	177.9	7.57e-04	833.35	1.644E-28	1125	platinum
Q9LU46	Q9UJV9	AF-Q9LU46-F1-model_v3	AF-Q9UJV9-F1-model_v3	6.0e-245	688.0	0.00e+00	1587.41	1.119E-87	3459	platinum
Q9LU59	Q86UB9	AF-Q9LU59-F1-model_v3	AF-Q86UB9-F1-model_v3	7.1e-09	58.2	2.78e-09	820.87	1.651E-11	715	platinum
Q9LU60	Q8IZ73	AF-Q9LU60-F1-model_v3	AF-Q8IZ73-F1-model_v3	1.3e-73	239.2	2.53e-11	829.13	4.963E-36	1528	platinum
Q9LU74	Q14978	AF-Q9LU74-F1-model_v3	AF-Q14978-F1-model_v3	2.4e-12	67.8	1.32e-02	436.21	1.748E-05	253	platinum
Q9LU93	Q13257	AF-Q9LU93-F1-model_v3	AF-Q13257-F1-model_v3	1.4e-60	188.3	0.00e+00	558.10	1.116E-25	1075	platinum
Q9LU97	Q9P1U0	AF-Q9LU97-F1-model_v3	AF-Q9P1U0-F1-model_v3	1.8e-14	64.7	8.06e-07	211.44	1.421E-09	410	platinum
Q9LUG5	Q9H7B2	AF-Q9LUG5-F1-model_v3	AF-Q9H7B2-F1-model_v3	4.9e-70	219.9	0.00e+00	807.81	4.899E-37	1484	platinum
Q9LUJ5	Q99848	AF-Q9LUJ5-F1-model_v3	AF-Q99848-F1-model_v3	1.8e-08	54.7	5.00e-07	489.13	1.097E-11	474	platinum
Q9LUJ9	Q8IXM3	AF-Q9LUJ9-F1-model_v3	AF-Q8IXM3-F1-model_v3	8.0e-10	52.0	4.33e-06	172.30	3.902E-05	216	platinum
Q9LUK6	P42696	AF-Q9LUK6-F1-model_v3	AF-P42696-F1-model_v3	2.0e-29	120.2	2.74e-06	647.08	2.199E-27	1065	platinum
Q9LUR0	Q6IBW4	AF-Q9LUR0-F1-model_v3	AF-Q6IBW4-F1-model_v3	6.7e-23	103.6	2.36e-02	677.92	NA	NA	gold
Q9LV09	Q9Y266	AF-Q9LV09-F1-model_v3	AF-Q9Y266-F1-model_v3	5.2e-64	204.9	7.13e-10	645.84	1.443E-27	1126	platinum
Q9LV14	Q9Y2W2	AF-Q9LV14-F1-model_v3	AF-Q9Y2W2-F1-model_v3	1.4e-07	54.3	1.90e-02	560.00	1.200E-07	331	platinum
Q9LV21	P50991	AF-Q9LV21-F1-model_v3	AF-P50991-F1-model_v3	3.4e-236	660.2	0.00e+00	1489.58	1.692E-65	3264	platinum
Q9LV27	Q9BVC4	AF-Q9LV27-F1-model_v3	AF-Q9BVC4-F1-model_v3	8.4e-68	214.5	0.00e+00	844.92	1.577E-38	1802	platinum
Q9LV31	Q5SXM2	AF-Q9LV31-F1-model_v3	AF-Q5SXM2-F1-model_v3	3.2e-39	157.9	1.17e-03	1120.79	NA	NA	gold
Q9LV35	O75083	AF-Q9LV35-F1-model_v3	AF-O75083-F1-model_v3	5.3e-111	345.5	0.00e+00	1556.86	1.741E-60	3023	platinum
Q9LV77	P08243	AF-Q9LV77-F1-model_v3	AF-P08243-F1-model_v3	3.2e-118	361.7	0.00e+00	1260.48	6.373E-48	2355	platinum
Q9LVC6	P06396	AF-Q9LVC6-F1-model_v3	AF-P06396-F1-model_v3	5.8e-126	400.6	NA	NA	NA	NA	silver
Q9LVC8	Q5HYK3	AF-Q9LVC8-F1-model_v3	AF-Q5HYK3-F1-model_v3	9.4e-103	303.1	0.00e+00	714.49	1.071E-35	1531	platinum
Q9LVD0	O43709	AF-Q9LVD0-F1-model_v3	AF-O43709-F1-model_v3	3.8e-94	279.6	0.00e+00	689.68	3.976E-39	1540	platinum
Q9LVF2	Q9UNX4	AF-Q9LVF2-F1-model_v3	AF-Q9UNX4-F1-model_v3	4.0e-76	268.9	0.00e+00	2364.62	2.297E-99	4492	platinum
Q9LVM1	O75027	AF-Q9LVM1-F1-model_v3	AF-O75027-F1-model_v3	5.6e-225	647.5	0.00e+00	1811.70	1.335E-61	3155	platinum
Q9LVN7	P28340	AF-Q9LVN7-F1-model_v3	AF-P28340-F1-model_v3	0.0e+00	1149.8	0.00e+00	2945.97	0.000E+00	6243	platinum
Q9LVP1	Q13472	AF-Q9LVP1-F1-model_v3	AF-Q13472-F1-model_v3	8.0e-249	724.9	0.00e+00	2200.19	4.158E-93	4508	platinum
Q9LVR0	P50221	AF-Q9LVR0-F1-model_v3	AF-P50221-F1-model_v3	1.0e-07	51.2	NA	NA	NA	NA	silver
Q9LVX1	Q5T8P6	AF-Q9LVX1-F1-model_v3	AF-Q5T8P6-F1-model_v3	3.9e-12	70.5	NA	NA	1.373E-25	1015	gold
Q9LW77	Q86TM6	AF-Q9LW77-F1-model_v3	AF-Q86TM6-F1-model_v3	4.0e-78	256.1	1.23e-13	1085.26	6.282E-27	1435	platinum
Q9LX07	Q5VT79	AF-Q9LX07-F1-model_v3	AF-Q5VT79-F1-model_v3	6.7e-46	158.3	NA	NA	NA	NA	silver
Q9LX12	Q9NPH2	AF-Q9LX12-F1-model_v3	AF-Q9NPH2-F1-model_v3	7.2e-219	615.9	0.00e+00	1468.15	5.152E-84	3511	platinum
Q9LX30	P19525	AF-Q9LX30-F1-model_v3	AF-P19525-F1-model_v3	2.1e-33	137.1	NA	NA	NA	NA	silver
Q9LX33	P49354	AF-Q9LX33-F1-model_v3	AF-P49354-F1-model_v3	5.5e-30	117.5	0.00e+00	756.04	3.613E-18	1054	platinum
Q9LX65	Q9UI12	AF-Q9LX65-F1-model_v3	AF-Q9UI12-F1-model_v3	2.8e-65	217.2	0.00e+00	1072.68	3.647E-20	1294	platinum
Q9LX73	O94874	AF-Q9LX73-F1-model_v3	AF-O94874-F1-model_v3	1.4e-62	225.3	1.11e-16	1796.54	NA	NA	gold
Q9LX74	Q9NQT4	AF-Q9LX74-F1-model_v3	AF-Q9NQT4-F1-model_v3	2.6e-46	154.1	0.00e+00	591.71	5.314E-28	1151	platinum
Q9LXA7	Q9H0E9	AF-Q9LXA7-F1-model_v3	AF-Q9H0E9-F1-model_v3	5.0e-13	72.4	NA	NA	NA	NA	silver
Q9LXD1	Q7L1T6	AF-Q9LXD1-F1-model_v3	AF-Q7L1T6-F1-model_v3	2.0e-33	125.2	NA	NA	NA	NA	silver
Q9LXF8	Q8WUX1	AF-Q9LXF8-F1-model_v3	AF-Q8WUX1-F1-model_v3	1.3e-13	72.4	NA	NA	NA	NA	silver
Q9LXJ8	O60506	AF-Q9LXJ8-F1-model_v3	AF-O60506-F1-model_v3	1.9e-38	147.9	NA	NA	NA	NA	silver
Q9LXN4	P54198	AF-Q9LXN4-F1-model_v3	AF-P54198-F1-model_v3	7.6e-68	246.9	2.57e-11	1797.52	NA	NA	gold
Q9LYC7	Q8N6M0	AF-Q9LYC7-F1-model_v3	AF-Q8N6M0-F1-model_v3	3.7e-44	153.3	8.76e-12	654.08	5.114E-21	986	platinum
Q9LYE1	Q86WR0	AF-Q9LYE1-F1-model_v3	AF-Q86WR0-F1-model_v3	3.8e-80	238.4	0.00e+00	567.74	3.848E-29	1201	platinum
Q9LYK7	O00541	AF-Q9LYK7-F1-model_v3	AF-O00541-F1-model_v3	1.4e-114	353.6	6.77e-15	1224.03	2.591E-44	2065	platinum
Q9LYW9	Q99615	AF-Q9LYW9-F1-model_v3	AF-Q99615-F1-model_v3	8.1e-51	180.3	9.88e-15	1210.86	1.112E-21	1282	platinum
Q9LYY3	Q8NBE8	AF-Q9LYY3-F1-model_v3	AF-Q8NBE8-F1-model_v3	3.9e-05	45.4	NA	NA	NA	NA	silver
Q9LZ82	P51513	AF-Q9LZ82-F1-model_v3	AF-P51513-F1-model_v3	4.4e-29	116.3	NA	NA	1.665E-27	1120	gold
Q9LZ97	Q9Y296	AF-Q9LZ97-F1-model_v3	AF-Q9Y296-F1-model_v3	7.3e-40	133.3	3.33e-16	325.94	4.837E-16	665	platinum
Q9LZD4	P61006	AF-Q9LZD4-F1-model_v3	AF-P61006-F1-model_v3	9.5e-88	257.7	0.00e+00	591.88	NA	NA	gold
Q9LZE2	Q6PCD5	AF-Q9LZE2-F1-model_v3	AF-Q6PCD5-F1-model_v3	4.9e-25	110.5	4.61e-11	1183.49	NA	NA	gold
Q9LZE4	Q8NFF5	AF-Q9LZE4-F1-model_v3	AF-Q8NFF5-F1-model_v3	3.6e-43	161.4	2.38e-06	652.24	8.350E-22	969	platinum
Q9LZH9	P62424	AF-Q9LZH9-F1-model_v3	AF-P62424-F1-model_v3	9.1e-93	274.2	0.00e+00	716.47	1.871E-35	1347	platinum
Q9LZI9	O60760	AF-Q9LZI9-F1-model_v3	AF-O60760-F1-model_v3	1.7e-04	41.2	NA	NA	NA	NA	silver
Q9LZK5	Q9UBS4	AF-Q9LZK5-F1-model_v3	AF-Q9UBS4-F1-model_v3	3.8e-91	276.9	0.00e+00	880.04	1.298E-43	1744	platinum
Q9LZT0	Q99880	AF-Q9LZT0-F1-model_v3	AF-Q99880-F1-model_v3	7.7e-51	158.3	NA	NA	NA	NA	silver
Q9LZU7	Q6P4R8	AF-Q9LZU7-F1-model_v3	AF-Q6P4R8-F1-model_v3	7.0e-42	168.3	2.93e-01	793.06	NA	NA	gold
Q9M033	Q92797	AF-Q9M033-F1-model_v3	AF-Q92797-F1-model_v3	3.9e-69	256.1	2.13e-07	2385.52	NA	NA	gold
Q9M038	Q9BQT8	AF-Q9M038-F1-model_v3	AF-Q9BQT8-F1-model_v3	2.2e-34	127.1	NA	NA	NA	NA	silver
Q9M041	Q7Z2E3	AF-Q9M041-F1-model_v3	AF-Q7Z2E3-F1-model_v3	5.4e-38	146.0	1.06e-03	541.03	2.000E-19	849	platinum
Q9M060	P56537	AF-Q9M060-F1-model_v3	AF-P56537-F1-model_v3	2.1e-133	375.9	0.00e+00	704.43	1.988E-45	1763	platinum
Q9M077	Q96GD4	AF-Q9M077-F1-model_v3	AF-Q96GD4-F1-model_v3	9.2e-126	362.5	NA	NA	7.904E-41	1749	gold
Q9M085	Q5TCX8	AF-Q9M085-F1-model_v3	AF-Q5TCX8-F1-model_v3	4.8e-54	193.4	NA	NA	NA	NA	silver
Q9M086	Q9Y4B6	AF-Q9M086-F1-model_v3	AF-Q9Y4B6-F1-model_v3	3.8e-65	245.4	1.24e-05	2176.11	NA	NA	gold
Q9M0A0	P08240	AF-Q9M0A0-F1-model_v3	AF-P08240-F1-model_v3	5.1e-118	365.5	9.78e-14	1265.16	NA	NA	gold
Q9M0A4	Q9UL51	AF-Q9M0A4-F1-model_v3	AF-Q9UL51-F1-model_v3	1.8e-19	93.6	NA	NA	NA	NA	silver
Q9M0B2	Q99614	AF-Q9M0B2-F1-model_v3	AF-Q99614-F1-model_v3	3.9e-36	130.6	1.18e-09	614.77	NA	NA	gold
Q9M0E5	Q99570	AF-Q9M0E5-F1-model_v3	AF-Q99570-F1-model_v3	2.3e-171	551.2	0.00e+00	2623.89	8.309E-84	4451	platinum
Q9M0V0	Q6P4F2	AF-Q9M0V0-F1-model_v3	AF-Q6P4F2-F1-model_v3	1.2e-38	131.3	1.02e-09	418.82	1.858E-17	677	platinum
Q9M0V1	O75794	AF-Q9M0V1-F1-model_v3	AF-O75794-F1-model_v3	1.2e-65	210.3	1.67e-15	686.61	2.964E-34	1355	platinum
Q9M0Y8	P46459	AF-Q9M0Y8-F1-model_v3	AF-P46459-F1-model_v3	9.0e-201	585.9	0.00e+00	1874.84	3.121E-88	3676	platinum
Q9M101	Q16566	AF-Q9M101-F1-model_v3	AF-Q16566-F1-model_v3	7.7e-78	252.3	NA	NA	NA	NA	silver
Q9M125	Q9H9Y2	AF-Q9M125-F1-model_v3	AF-Q9H9Y2-F1-model_v3	3.2e-92	279.3	0.00e+00	851.46	1.487E-43	1728	platinum
Q9M159	Q9BWS9	AF-Q9M159-F1-model_v3	AF-Q9BWS9-F1-model_v3	2.0e-78	248.4	0.00e+00	864.80	2.168E-39	1629	platinum
Q9M1A5	Q9BQC3	AF-Q9M1A5-F1-model_v3	AF-Q9BQC3-F1-model_v3	6.4e-51	180.6	1.11e-16	883.64	3.579E-34	1362	platinum
Q9M1E4	O95628	AF-Q9M1E4-F1-model_v3	AF-O95628-F1-model_v3	2.1e-53	196.8	NA	NA	NA	NA	silver
Q9M1G5	O14777	AF-Q9M1G5-F1-model_v3	AF-O14777-F1-model_v3	7.3e-21	96.7	3.90e-11	1279.76	1.320E-12	583	platinum
Q9M1H3	Q8NE71	AF-Q9M1H3-F1-model_v3	AF-Q8NE71-F1-model_v3	3.3e-168	505.0	2.22e-16	1631.19	NA	NA	gold
Q9M1J8	Q92979	AF-Q9M1J8-F1-model_v3	AF-Q92979-F1-model_v3	4.7e-62	196.8	0.00e+00	572.03	1.023E-30	1215	platinum
Q9M1J9	Q9BSC4	AF-Q9M1J9-F1-model_v3	AF-Q9BSC4-F1-model_v3	5.4e-142	431.8	2.42e-10	1398.37	6.304E-64	2811	platinum
Q9M1P5	P84077	AF-Q9M1P5-F1-model_v3	AF-P84077-F1-model_v3	7.5e-114	321.2	NA	NA	NA	NA	silver
Q9M1V2	O43704	AF-Q9M1V2-F1-model_v3	AF-O43704-F1-model_v3	4.0e-34	126.7	NA	NA	NA	NA	silver
Q9M223	Q9Y3A2	AF-Q9M223-F1-model_v3	AF-Q9Y3A2-F1-model_v3	1.4e-28	108.2	4.44e-16	503.66	1.358E-14	578	platinum
Q9M292	Q969V3	AF-Q9M292-F1-model_v3	AF-Q969V3-F1-model_v3	1.6e-77	255.4	0.00e+00	1217.22	6.754E-50	2007	platinum
Q9M2E0	P26196	AF-Q9M2E0-F1-model_v3	AF-P26196-F1-model_v3	5.7e-216	605.1	0.00e+00	1280.27	1.181E-73	2856	platinum
Q9M2L3	Q9NXW2	AF-Q9M2L3-F1-model_v3	AF-Q9NXW2-F1-model_v3	5.1e-47	164.1	2.54e-10	721.58	3.013E-22	1053	platinum
Q9M2L4	Q16720	AF-Q9M2L4-F1-model_v3	AF-Q16720-F1-model_v3	2.2e-219	659.8	NA	NA	NA	NA	silver
Q9M2Q7	Q8N954	AF-Q9M2Q7-F1-model_v3	AF-Q8N954-F1-model_v3	7.1e-20	86.7	2.41e-07	468.33	1.890E-12	531	platinum
Q9M2T9	Q96GW9	AF-Q9M2T9-F1-model_v3	AF-Q96GW9-F1-model_v3	1.6e-99	315.5	0.00e+00	1296.74	2.327E-47	2193	platinum
Q9M2U2	Q9NZ01	AF-Q9M2U2-F1-model_v3	AF-Q9NZ01-F1-model_v3	1.0e-62	201.1	0.00e+00	697.31	1.484E-25	1174	platinum
Q9M2V9	Q7L5Y9	AF-Q9M2V9-F1-model_v3	AF-Q7L5Y9-F1-model_v3	1.2e-77	246.1	0.00e+00	1076.07	6.011E-27	1379	platinum
Q9M2Y8	Q96QU6	AF-Q9M2Y8-F1-model_v3	AF-Q96QU6-F1-model_v3	4.3e-67	223.4	NA	NA	NA	NA	silver
Q9M2Z4	O00264	AF-Q9M2Z4-F1-model_v3	AF-O00264-F1-model_v3	1.7e-22	90.9	NA	NA	5.211E-14	554	gold
Q9M350	Q9UGJ1	AF-Q9M350-F1-model_v3	AF-Q9UGJ1-F1-model_v3	8.1e-104	332.8	0.00e+00	1429.72	1.551E-35	2165	platinum
Q9M358	Q2YD98	AF-Q9M358-F1-model_v3	AF-Q2YD98-F1-model_v3	2.3e-08	57.4	1.53e-04	955.13	8.193E-20	1033	platinum
Q9M367	Q14457	AF-Q9M367-F1-model_v3	AF-Q14457-F1-model_v3	2.4e-38	146.0	6.76e-10	896.90	NA	NA	gold
Q9M3B4	Q9BV38	AF-Q9M3B4-F1-model_v3	AF-Q9BV38-F1-model_v3	1.2e-38	144.8	3.69e-13	892.38	6.250E-28	1269	platinum
Q9M4B5	Q9NQP4	AF-Q9M4B5-F1-model_v3	AF-Q9NQP4-F1-model_v3	5.4e-21	82.0	1.67e-15	338.71	1.730E-10	444	platinum
Q9M548	Q9UBC3	AF-Q9M548-F1-model_v3	AF-Q9UBC3-F1-model_v3	1.2e-10	64.7	NA	NA	NA	NA	silver
Q9M5K3	P09622	AF-Q9M5K3-F1-model_v3	AF-P09622-F1-model_v3	2.5e-189	538.9	0.00e+00	1419.32	8.665E-74	3036	platinum
Q9M7Z1	P11182	AF-Q9M7Z1-F1-model_v3	AF-P11182-F1-model_v3	3.1e-104	319.7	4.61e-14	1102.03	2.681E-56	2191	platinum
Q9M837	Q9BTD8	AF-Q9M837-F1-model_v3	AF-Q9BTD8-F1-model_v3	2.1e-49	168.7	NA	NA	3.575E-19	750	gold
Q9M876	Q9Y2Z4	AF-Q9M876-F1-model_v3	AF-Q9Y2Z4-F1-model_v3	1.9e-81	261.5	0.00e+00	1082.62	3.868E-40	1827	platinum
Q9M888	P40227	AF-Q9M888-F1-model_v3	AF-P40227-F1-model_v3	1.2e-234	656.0	0.00e+00	1537.70	3.033E-69	3464	platinum
Q9M8D3	O15067	AF-Q9M8D3-F1-model_v3	AF-O15067-F1-model_v3	0.0e+00	1247.3	0.00e+00	3560.20	0.000E+00	7911	platinum
Q9M8K7	Q9H1R2	AF-Q9M8K7-F1-model_v3	AF-Q9H1R2-F1-model_v3	1.2e-24	96.7	NA	NA	NA	NA	silver
Q9M8S8	O14732	AF-Q9M8S8-F1-model_v3	AF-O14732-F1-model_v3	6.1e-69	214.9	0.00e+00	730.55	1.048E-33	1394	platinum
Q9M8X2	Q6IEG0	AF-Q9M8X2-F1-model_v3	AF-Q6IEG0-F1-model_v3	3.4e-04	43.5	6.41e-02	370.55	NA	NA	gold
Q9M8Y0	O15294	AF-Q9M8Y0-F1-model_v3	AF-O15294-F1-model_v3	2.9e-122	398.3	0.00e+00	2597.60	1.458E-75	4553	platinum
Q9M8Z5	Q9NVN8	AF-Q9M8Z5-F1-model_v3	AF-Q9NVN8-F1-model_v3	8.0e-93	296.6	1.41e-09	1052.98	1.696E-41	1698	platinum
Q9M9G6	P33240	AF-Q9M9G6-F1-model_v3	AF-P33240-F1-model_v3	3.7e-38	146.4	NA	NA	1.768E-18	796	gold
Q9M9G7	P47756	AF-Q9M9G7-F1-model_v3	AF-P47756-F1-model_v3	5.3e-82	247.3	0.00e+00	658.09	1.252E-29	1244	platinum
Q9M9L0	Q9NYG5	AF-Q9M9L0-F1-model_v3	AF-Q9NYG5-F1-model_v3	3.7e-52	157.5	1.67e-15	238.79	1.241E-13	555	platinum
Q9M9M9	Q9UI09	AF-Q9M9M9-F1-model_v3	AF-Q9UI09-F1-model_v3	7.4e-16	70.1	1.52e-07	239.85	7.263E-08	336	platinum
Q9MA55	O75521	AF-Q9MA55-F1-model_v3	AF-O75521-F1-model_v3	1.6e-10	63.5	NA	NA	NA	NA	silver
Q9MA96	P61009	AF-Q9MA96-F1-model_v3	AF-P61009-F1-model_v3	4.2e-26	97.8	0.00e+00	389.94	8.237E-14	662	platinum
Q9MA98	P07992	AF-Q9MA98-F1-model_v3	AF-P07992-F1-model_v3	5.4e-75	235.7	5.23e-07	656.45	6.249E-30	1242	platinum
Q9MAB2	Q8WUD4	AF-Q9MAB2-F1-model_v3	AF-Q8WUD4-F1-model_v3	3.1e-14	65.9	1.26e-06	273.75	4.042E-06	245	platinum
Q9MAC6	Q9H501	AF-Q9MAC6-F1-model_v3	AF-Q9H501-F1-model_v3	6.0e-55	202.6	9.96e-05	1010.04	NA	NA	gold
Q9MAR2	Q9Y3A5	AF-Q9MAR2-F1-model_v3	AF-Q9Y3A5-F1-model_v3	8.4e-83	252.7	0.00e+00	668.63	1.896E-32	1358	platinum
Q9MAT3	Q04323	AF-Q9MAT3-F1-model_v3	AF-Q04323-F1-model_v3	1.7e-11	64.7	NA	NA	NA	NA	silver
Q9MAU3	P49848	AF-Q9MAU3-F1-model_v3	AF-P49848-F1-model_v3	5.1e-84	275.0	1.21e-11	1105.55	4.450E-26	1475	platinum
Q9S7G6	Q8TCS8	AF-Q9S7G6-F1-model_v3	AF-Q8TCS8-F1-model_v3	2.1e-173	525.4	0.00e+00	1947.04	2.096E-85	3728	platinum
Q9S7R7	Q8TBC3	AF-Q9S7R7-F1-model_v3	AF-Q8TBC3-F1-model_v3	2.2e-08	56.6	NA	NA	NA	NA	silver
Q9S7V6	Q96DF8	AF-Q9S7V6-F1-model_v3	AF-Q96DF8-F1-model_v3	5.9e-38	145.2	8.02e-04	568.03	4.012E-17	713	platinum
Q9S826	Q96G21	AF-Q9S826-F1-model_v3	AF-Q96G21-F1-model_v3	1.4e-100	296.6	0.00e+00	795.17	1.341E-42	1716	platinum
Q9S9T7	Q9UK41	AF-Q9S9T7-F1-model_v3	AF-Q9UK41-F1-model_v3	1.0e-48	158.7	0.00e+00	531.36	2.603E-15	762	platinum
Q9SA27	Q9Y6V7	AF-Q9SA27-F1-model_v3	AF-Q9Y6V7-F1-model_v3	9.0e-127	377.9	NA	NA	3.576E-54	2143	gold
Q9SA34	P12268	AF-Q9SA34-F1-model_v3	AF-P12268-F1-model_v3	4.7e-151	441.4	0.00e+00	1290.68	2.482E-65	2698	platinum
Q9SA36	O15245	AF-Q9SA36-F1-model_v3	AF-O15245-F1-model_v3	9.7e-30	122.9	NA	NA	NA	NA	silver
Q9SA38	O15244	AF-Q9SA38-F1-model_v3	AF-O15244-F1-model_v3	6.6e-37	143.7	NA	NA	NA	NA	silver
Q9SA55	Q99633	AF-Q9SA55-F1-model_v3	AF-Q99633-F1-model_v3	2.2e-58	194.5	1.64e-09	672.97	6.522E-20	1100	platinum
Q9SA73	Q9NTK5	AF-Q9SA73-F1-model_v3	AF-Q9NTK5-F1-model_v3	1.2e-169	479.9	0.00e+00	1062.02	2.935E-58	2325	platinum
Q9SA98	Q13686	AF-Q9SA98-F1-model_v3	AF-Q13686-F1-model_v3	1.0e-37	139.0	2.56e-11	571.96	1.437E-25	1051	platinum
Q9SAA9	Q16850	AF-Q9SAA9-F1-model_v3	AF-Q16850-F1-model_v3	1.6e-108	331.6	0.00e+00	1229.02	7.612E-38	1990	platinum
Q9SAG7	Q9HCG8	AF-Q9SAG7-F1-model_v3	AF-Q9HCG8-F1-model_v3	4.1e-204	605.9	1.81e-11	1644.71	7.494E-43	2560	platinum
Q9SAI7	Q9H967	AF-Q9SAI7-F1-model_v3	AF-Q9H967-F1-model_v3	3.5e-28	118.6	6.89e-12	927.58	NA	NA	gold
Q9SAK4	P51649	AF-Q9SAK4-F1-model_v3	AF-P51649-F1-model_v3	1.6e-199	566.6	0.00e+00	1405.22	1.722E-75	3181	platinum
Q9SAK7	O75751	AF-Q9SAK7-F1-model_v3	AF-O75751-F1-model_v3	3.0e-32	130.2	NA	NA	NA	NA	silver
Q9SB48	P16435	AF-Q9SB48-F1-model_v3	AF-P16435-F1-model_v3	5.7e-146	441.0	0.00e+00	1527.09	2.712E-70	2921	platinum
Q9SB50	O00189	AF-Q9SB50-F1-model_v3	AF-O00189-F1-model_v3	2.4e-86	271.6	0.00e+00	1030.65	1.139E-52	2242	platinum
Q9SB68	Q3LIE5	AF-Q9SB68-F1-model_v3	AF-Q3LIE5-F1-model_v3	7.2e-75	233.4	0.00e+00	827.88	7.938E-39	1542	platinum
Q9SCJ9	Q86UV5	AF-Q9SCJ9-F1-model_v3	AF-Q86UV5-F1-model_v3	9.3e-86	299.7	8.44e-15	2004.34	2.944E-72	3325	platinum
Q9SCL4	Q9Y3E0	AF-Q9SCL4-F1-model_v3	AF-Q9Y3E0-F1-model_v3	1.1e-44	142.9	0.00e+00	382.95	2.959E-10	544	platinum
Q9SCP9	A5D8V6	AF-Q9SCP9-F1-model_v3	AF-A5D8V6-F1-model_v3	8.2e-09	54.7	NA	NA	NA	NA	silver
Q9SCQ2	Q7Z3V4	AF-Q9SCQ2-F1-model_v3	AF-Q7Z3V4-F1-model_v3	7.3e-118	391.0	4.44e-16	2164.72	1.567E-46	2990	platinum
Q9SCU0	Q9BUT1	AF-Q9SCU0-F1-model_v3	AF-Q9BUT1-F1-model_v3	4.8e-31	116.7	NA	NA	NA	NA	silver
Q9SD33	Q9BSU1	AF-Q9SD33-F1-model_v3	AF-Q9BSU1-F1-model_v3	8.1e-69	223.8	0.00e+00	811.12	5.293E-38	1577	platinum
Q9SD61	Q9Y388	AF-Q9SD61-F1-model_v3	AF-Q9Y388-F1-model_v3	7.8e-51	172.2	NA	NA	2.374E-19	742	gold
Q9SDS7	P21283	AF-Q9SDS7-F1-model_v3	AF-P21283-F1-model_v3	2.4e-86	266.5	0.00e+00	962.76	1.747E-35	1524	platinum
